epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1740767680971,2025-02-28T19.34.40.971,0.000,0.000,1.037,0.000
1740767680980,2025-02-28T19.34.40.980,0.009,-0.793,0.671,0.305
1740767680990,2025-02-28T19.34.40.990,0.019,-0.061,0.976,0.061
1740767681000,2025-02-28T19.34.41.000,0.029,0.000,0.976,0.000
1740767681011,2025-02-28T19.34.41.011,0.040,0.000,0.854,0.061
1740767681021,2025-02-28T19.34.41.021,0.050,0.000,0.793,0.061
1740767681031,2025-02-28T19.34.41.031,0.060,-0.122,0.854,0.122
1740767681040,2025-02-28T19.34.41.040,0.069,-0.122,0.854,0.122
1740767681050,2025-02-28T19.34.41.050,0.079,-0.061,0.915,0.061
1740767681060,2025-02-28T19.34.41.060,0.089,0.000,0.915,0.183
1740767681071,2025-02-28T19.34.41.071,0.100,-0.122,0.793,0.122
1740767681081,2025-02-28T19.34.41.081,0.110,-0.122,0.854,0.061
1740767681091,2025-02-28T19.34.41.091,0.120,0.000,0.976,0.061
1740767681101,2025-02-28T19.34.41.101,0.130,0.000,0.854,0.183
1740767681110,2025-02-28T19.34.41.110,0.139,0.000,0.793,0.122
1740767681120,2025-02-28T19.34.41.120,0.149,-0.061,0.915,0.122
1740767681131,2025-02-28T19.34.41.131,0.160,0.000,0.854,0.122
1740767681141,2025-02-28T19.34.41.141,0.170,0.061,0.793,0.183
1740767681151,2025-02-28T19.34.41.151,0.180,-0.061,0.915,0.122
1740767681161,2025-02-28T19.34.41.161,0.190,0.000,0.915,0.122
1740767681170,2025-02-28T19.34.41.170,0.199,0.000,0.854,0.122
1740767681180,2025-02-28T19.34.41.180,0.209,0.061,0.976,0.122
1740767681191,2025-02-28T19.34.41.191,0.220,0.000,0.976,0.061
1740767681201,2025-02-28T19.34.41.201,0.230,0.061,0.854,0.000
1740767681211,2025-02-28T19.34.41.211,0.240,0.061,0.854,0.122
1740767681221,2025-02-28T19.34.41.221,0.250,0.000,0.976,0.122
1740767681232,2025-02-28T19.34.41.232,0.261,0.000,0.976,0.061
1740767681240,2025-02-28T19.34.41.240,0.269,0.000,0.915,0.183
1740767681251,2025-02-28T19.34.41.251,0.280,0.061,0.976,0.061
1740767681261,2025-02-28T19.34.41.261,0.290,0.000,0.976,0.061
1740767681271,2025-02-28T19.34.41.271,0.300,0.061,0.976,0.000
1740767681281,2025-02-28T19.34.41.281,0.310,0.000,0.915,0.061
1740767681292,2025-02-28T19.34.41.292,0.321,0.000,0.915,0.061
1740767681302,2025-02-28T19.34.41.302,0.331,0.000,0.976,0.061
1740767681311,2025-02-28T19.34.41.311,0.340,0.000,0.976,0.122
1740767681321,2025-02-28T19.34.41.321,0.350,0.000,0.915,0.122
1740767681331,2025-02-28T19.34.41.331,0.360,0.122,0.915,0.061
1740767681342,2025-02-28T19.34.41.342,0.371,0.000,0.915,0.061
1740767681352,2025-02-28T19.34.41.352,0.381,0.061,0.915,0.000
1740767681362,2025-02-28T19.34.41.362,0.391,0.122,0.976,0.122
1740767681372,2025-02-28T19.34.41.372,0.401,0.000,0.976,0.061
1740767681381,2025-02-28T19.34.41.381,0.410,0.000,0.976,0.061
1740767681391,2025-02-28T19.34.41.391,0.420,-0.061,0.915,0.122
1740767681402,2025-02-28T19.34.41.402,0.431,0.000,0.915,0.122
1740767681412,2025-02-28T19.34.41.412,0.441,-0.122,0.976,0.183
1740767681422,2025-02-28T19.34.41.422,0.451,0.000,0.915,0.061
1740767681432,2025-02-28T19.34.41.432,0.461,0.000,0.854,0.061
1740767681441,2025-02-28T19.34.41.441,0.470,0.000,0.854,0.183
1740767681451,2025-02-28T19.34.41.451,0.480,0.000,0.915,0.122
1740767681462,2025-02-28T19.34.41.462,0.491,-0.122,0.854,0.061
1740767681472,2025-02-28T19.34.41.472,0.501,-0.061,0.915,0.000
1740767681482,2025-02-28T19.34.41.482,0.511,-0.122,0.854,0.000
1740767681492,2025-02-28T19.34.41.492,0.521,0.061,0.915,0.061
1740767681503,2025-02-28T19.34.41.503,0.532,0.061,0.915,0.122
1740767681511,2025-02-28T19.34.41.511,0.540,0.000,0.976,0.000
1740767681522,2025-02-28T19.34.41.522,0.551,0.000,0.976,0.061
1740767681532,2025-02-28T19.34.41.532,0.561,0.061,0.976,0.122
1740767681542,2025-02-28T19.34.41.542,0.571,0.061,0.976,0.122
1740767681552,2025-02-28T19.34.41.552,0.581,-0.061,0.915,0.061
1740767681563,2025-02-28T19.34.41.563,0.592,0.000,0.915,0.061
1740767681573,2025-02-28T19.34.41.573,0.602,0.000,0.915,0.122
1740767681582,2025-02-28T19.34.41.582,0.611,-0.061,0.915,0.000
1740767681592,2025-02-28T19.34.41.592,0.621,0.122,0.915,0.061
1740767681602,2025-02-28T19.34.41.602,0.631,0.000,0.915,0.061
1740767681613,2025-02-28T19.34.41.613,0.642,-0.183,0.915,0.061
1740767681623,2025-02-28T19.34.41.623,0.652,0.000,0.915,0.122
1740767681633,2025-02-28T19.34.41.633,0.662,0.122,0.915,0.000
1740767681643,2025-02-28T19.34.41.643,0.672,0.061,0.976,0.061
1740767681652,2025-02-28T19.34.41.652,0.681,0.000,0.915,0.061
1740767681662,2025-02-28T19.34.41.662,0.691,0.061,0.915,0.061
