epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739554803375,2025-02-14T18.40.03.375,0.000,0.256,-0.127,0.938
1739554803378,2025-02-14T18.40.03.378,0.003,0.259,-0.130,0.941
1739554803379,2025-02-14T18.40.03.379,0.004,0.261,-0.134,0.948
1739554803382,2025-02-14T18.40.03.382,0.007,0.262,-0.132,0.951
1739554803385,2025-02-14T18.40.03.385,0.010,0.262,-0.130,0.949
1739554803386,2025-02-14T18.40.03.386,0.011,0.265,-0.131,0.945
1739554803389,2025-02-14T18.40.03.389,0.014,0.266,-0.131,0.944
1739554803392,2025-02-14T18.40.03.392,0.017,0.263,-0.132,0.949
1739554803395,2025-02-14T18.40.03.395,0.020,0.254,-0.129,0.947
1739554803397,2025-02-14T18.40.03.397,0.022,0.257,-0.131,0.950
1739554803400,2025-02-14T18.40.03.400,0.025,0.265,-0.134,0.948
1739554803403,2025-02-14T18.40.03.403,0.028,0.261,-0.133,0.946
1739554803404,2025-02-14T18.40.03.404,0.029,0.258,-0.129,0.947
1739554803407,2025-02-14T18.40.03.407,0.032,0.258,-0.130,0.948
1739554803410,2025-02-14T18.40.03.410,0.035,0.267,-0.130,0.950
1739554803413,2025-02-14T18.40.03.413,0.038,0.261,-0.130,0.946
1739554803414,2025-02-14T18.40.03.414,0.039,0.257,-0.128,0.944
1739554803417,2025-02-14T18.40.03.417,0.042,0.257,-0.128,0.945
1739554803420,2025-02-14T18.40.03.420,0.045,0.256,-0.131,0.948
1739554803422,2025-02-14T18.40.03.422,0.047,0.258,-0.132,0.943
1739554803425,2025-02-14T18.40.03.425,0.050,0.264,-0.131,0.944
1739554803428,2025-02-14T18.40.03.428,0.053,0.259,-0.131,0.941
1739554803430,2025-02-14T18.40.03.430,0.055,0.258,-0.130,0.946
1739554803432,2025-02-14T18.40.03.432,0.057,0.260,-0.130,0.946
1739554803435,2025-02-14T18.40.03.435,0.060,0.257,-0.127,0.949
1739554803438,2025-02-14T18.40.03.438,0.063,0.260,-0.130,0.950
1739554803439,2025-02-14T18.40.03.439,0.064,0.263,-0.128,0.945
1739554803442,2025-02-14T18.40.03.442,0.067,0.266,-0.128,0.946
1739554803445,2025-02-14T18.40.03.445,0.070,0.256,-0.128,0.953
1739554803448,2025-02-14T18.40.03.448,0.073,0.264,-0.131,0.948
1739554803449,2025-02-14T18.40.03.449,0.074,0.259,-0.130,0.949
1739554803452,2025-02-14T18.40.03.452,0.077,0.260,-0.134,0.950
1739554803455,2025-02-14T18.40.03.455,0.080,0.265,-0.126,0.951
1739554803457,2025-02-14T18.40.03.457,0.082,0.257,-0.130,0.946
1739554803460,2025-02-14T18.40.03.460,0.085,0.257,-0.130,0.947
1739554803463,2025-02-14T18.40.03.463,0.088,0.261,-0.131,0.947
1739554803466,2025-02-14T18.40.03.466,0.091,0.259,-0.131,0.938
1739554803467,2025-02-14T18.40.03.467,0.092,0.258,-0.132,0.944
1739554803470,2025-02-14T18.40.03.470,0.095,0.261,-0.133,0.946
1739554803473,2025-02-14T18.40.03.473,0.098,0.264,-0.126,0.950
1739554803474,2025-02-14T18.40.03.474,0.099,0.261,-0.128,0.948
1739554803477,2025-02-14T18.40.03.477,0.102,0.258,-0.129,0.944
1739554803480,2025-02-14T18.40.03.480,0.105,0.261,-0.132,0.945
1739554803483,2025-02-14T18.40.03.483,0.108,0.266,-0.133,0.943
1739554803485,2025-02-14T18.40.03.485,0.110,0.259,-0.130,0.949
1739554803488,2025-02-14T18.40.03.488,0.113,0.258,-0.129,0.950
1739554803490,2025-02-14T18.40.03.490,0.115,0.257,-0.127,0.945
1739554803492,2025-02-14T18.40.03.492,0.117,0.254,-0.127,0.947
1739554803495,2025-02-14T18.40.03.495,0.120,0.260,-0.126,0.941
1739554803498,2025-02-14T18.40.03.498,0.123,0.264,-0.129,0.945
1739554803501,2025-02-14T18.40.03.501,0.126,0.257,-0.130,0.948
