epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739458130110,2025-02-13T15.48.50.110,0.000,0.271,-0.146,0.936
1739458130120,2025-02-13T15.48.50.120,0.010,0.271,-0.146,0.943
1739458130130,2025-02-13T15.48.50.130,0.020,0.271,-0.146,0.940
1739458130140,2025-02-13T15.48.50.140,0.030,0.271,-0.147,0.941
1739458130151,2025-02-13T15.48.50.151,0.041,0.271,-0.146,0.939
1739458130161,2025-02-13T15.48.50.161,0.051,0.272,-0.146,0.940
1739458130170,2025-02-13T15.48.50.170,0.060,0.274,-0.146,0.940
1739458130180,2025-02-13T15.48.50.180,0.070,0.277,-0.146,0.940
1739458130190,2025-02-13T15.48.50.190,0.080,0.273,-0.146,0.940
1739458130200,2025-02-13T15.48.50.200,0.090,0.276,-0.146,0.943
1739458130211,2025-02-13T15.48.50.211,0.101,0.273,-0.146,0.940
1739458130221,2025-02-13T15.48.50.221,0.111,0.273,-0.148,0.939
1739458130231,2025-02-13T15.48.50.231,0.121,0.272,-0.147,0.937
1739458130240,2025-02-13T15.48.50.240,0.130,0.275,-0.145,0.940
1739458130250,2025-02-13T15.48.50.250,0.140,0.273,-0.145,0.939
1739458130261,2025-02-13T15.48.50.261,0.151,0.272,-0.146,0.941
1739458130271,2025-02-13T15.48.50.271,0.161,0.274,-0.143,0.941
1739458130281,2025-02-13T15.48.50.281,0.171,0.274,-0.146,0.943
1739458130291,2025-02-13T15.48.50.291,0.181,0.274,-0.144,0.940
1739458130300,2025-02-13T15.48.50.300,0.190,0.271,-0.144,0.941
1739458130310,2025-02-13T15.48.50.310,0.200,0.274,-0.147,0.940
1739458130321,2025-02-13T15.48.50.321,0.211,0.272,-0.146,0.941
1739458130331,2025-02-13T15.48.50.331,0.221,0.273,-0.147,0.942
1739458130341,2025-02-13T15.48.50.341,0.231,0.274,-0.145,0.940
1739458130351,2025-02-13T15.48.50.351,0.241,0.274,-0.145,0.938
1739458130362,2025-02-13T15.48.50.362,0.252,0.272,-0.146,0.943
1739458130370,2025-02-13T15.48.50.370,0.260,0.272,-0.144,0.944
1739458130381,2025-02-13T15.48.50.381,0.271,0.273,-0.145,0.938
1739458130391,2025-02-13T15.48.50.391,0.281,0.273,-0.145,0.940
1739458130401,2025-02-13T15.48.50.401,0.291,0.273,-0.146,0.942
1739458130411,2025-02-13T15.48.50.411,0.301,0.274,-0.146,0.941
1739458130422,2025-02-13T15.48.50.422,0.312,0.272,-0.146,0.940
1739458130432,2025-02-13T15.48.50.432,0.322,0.271,-0.146,0.945
1739458130441,2025-02-13T15.48.50.441,0.331,0.273,-0.144,0.943
1739458130451,2025-02-13T15.48.50.451,0.341,0.276,-0.147,0.944
1739458130461,2025-02-13T15.48.50.461,0.351,0.273,-0.146,0.940
1739458130471,2025-02-13T15.48.50.471,0.361,0.275,-0.146,0.939
1739458130482,2025-02-13T15.48.50.482,0.372,0.273,-0.145,0.938
1739458130492,2025-02-13T15.48.50.492,0.382,0.271,-0.145,0.939
1739458130501,2025-02-13T15.48.50.501,0.391,0.273,-0.147,0.940
1739458130511,2025-02-13T15.48.50.511,0.401,0.272,-0.145,0.940
1739458130521,2025-02-13T15.48.50.521,0.411,0.272,-0.145,0.941
