epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739458366081,2025-02-13T15.52.46.081,0.000,0.266,-0.131,0.938
1739458366091,2025-02-13T15.52.46.091,0.010,0.266,-0.131,0.946
1739458366101,2025-02-13T15.52.46.101,0.020,0.267,-0.132,0.941
1739458366110,2025-02-13T15.52.46.110,0.029,0.268,-0.131,0.941
1739458366120,2025-02-13T15.52.46.120,0.039,0.268,-0.130,0.940
1739458366131,2025-02-13T15.52.46.131,0.050,0.267,-0.130,0.941
1739458366141,2025-02-13T15.52.46.141,0.060,0.266,-0.131,0.946
1739458366151,2025-02-13T15.52.46.151,0.070,0.266,-0.131,0.941
1739458366162,2025-02-13T15.52.46.162,0.081,0.268,-0.131,0.943
1739458366170,2025-02-13T15.52.46.170,0.089,0.268,-0.129,0.941
1739458366181,2025-02-13T15.52.46.181,0.100,0.268,-0.129,0.941
1739458366191,2025-02-13T15.52.46.191,0.110,0.266,-0.131,0.940
1739458366201,2025-02-13T15.52.46.201,0.120,0.268,-0.131,0.946
1739458366211,2025-02-13T15.52.46.211,0.130,0.266,-0.131,0.944
1739458366222,2025-02-13T15.52.46.222,0.141,0.269,-0.131,0.944
1739458366232,2025-02-13T15.52.46.232,0.151,0.268,-0.130,0.942
1739458366241,2025-02-13T15.52.46.241,0.160,0.265,-0.130,0.943
1739458366251,2025-02-13T15.52.46.251,0.170,0.267,-0.130,0.942
1739458366261,2025-02-13T15.52.46.261,0.180,0.266,-0.132,0.942
1739458366271,2025-02-13T15.52.46.271,0.190,0.269,-0.130,0.941
1739458366282,2025-02-13T15.52.46.282,0.201,0.268,-0.131,0.944
1739458366292,2025-02-13T15.52.46.292,0.211,0.266,-0.131,0.941
1739458366302,2025-02-13T15.52.46.302,0.221,0.267,-0.130,0.940
1739458366311,2025-02-13T15.52.46.311,0.230,0.269,-0.131,0.940
1739458366321,2025-02-13T15.52.46.321,0.240,0.268,-0.131,0.942
1739458366331,2025-02-13T15.52.46.331,0.250,0.266,-0.130,0.944
1739458366342,2025-02-13T15.52.46.342,0.261,0.268,-0.130,0.946
1739458366352,2025-02-13T15.52.46.352,0.271,0.268,-0.130,0.940
1739458366362,2025-02-13T15.52.46.362,0.281,0.269,-0.131,0.941
1739458366372,2025-02-13T15.52.46.372,0.291,0.268,-0.132,0.940
1739458366381,2025-02-13T15.52.46.381,0.300,0.267,-0.133,0.942
1739458366391,2025-02-13T15.52.46.391,0.310,0.270,-0.133,0.942
1739458366402,2025-02-13T15.52.46.402,0.321,0.267,-0.131,0.941
1739458366412,2025-02-13T15.52.46.412,0.331,0.267,-0.132,0.944
1739458366422,2025-02-13T15.52.46.422,0.341,0.269,-0.131,0.942
1739458366432,2025-02-13T15.52.46.432,0.351,0.271,-0.132,0.942
1739458366443,2025-02-13T15.52.46.443,0.362,0.268,-0.132,0.945
1739458366452,2025-02-13T15.52.46.452,0.371,0.268,-0.128,0.944
1739458366462,2025-02-13T15.52.46.462,0.381,0.267,-0.131,0.941
1739458366472,2025-02-13T15.52.46.472,0.391,0.267,-0.130,0.942
1739458366482,2025-02-13T15.52.46.482,0.401,0.266,-0.130,0.941
1739458366493,2025-02-13T15.52.46.493,0.412,0.266,-0.132,0.943
1739458366503,2025-02-13T15.52.46.503,0.422,0.267,-0.132,0.945
1739458366512,2025-02-13T15.52.46.512,0.431,0.269,-0.133,0.942
1739458366522,2025-02-13T15.52.46.522,0.441,0.265,-0.131,0.943
1739458366532,2025-02-13T15.52.46.532,0.451,0.267,-0.130,0.943
1739458366542,2025-02-13T15.52.46.542,0.461,0.267,-0.129,0.941
1739458366553,2025-02-13T15.52.46.553,0.472,0.268,-0.132,0.942
1739458366563,2025-02-13T15.52.46.563,0.482,0.264,-0.132,0.940
1739458366573,2025-02-13T15.52.46.573,0.492,0.264,-0.132,0.943
1739458366582,2025-02-13T15.52.46.582,0.501,0.268,-0.131,0.942
1739458366592,2025-02-13T15.52.46.592,0.511,0.266,-0.129,0.944
1739458366602,2025-02-13T15.52.46.602,0.521,0.266,-0.130,0.945
1739458366613,2025-02-13T15.52.46.613,0.532,0.267,-0.130,0.942
