epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739458366091,2025-02-13T15.52.46.091,0.000,0.000,1.280,0.183
1739458366101,2025-02-13T15.52.46.101,0.010,0.122,1.220,-0.244
1739458366110,2025-02-13T15.52.46.110,0.019,0.061,0.854,0.061
1739458366120,2025-02-13T15.52.46.120,0.029,-0.061,0.915,0.061
1739458366131,2025-02-13T15.52.46.131,0.040,0.061,0.915,0.000
1739458366141,2025-02-13T15.52.46.141,0.050,0.000,0.854,0.061
1739458366151,2025-02-13T15.52.46.151,0.060,-0.122,0.976,0.061
1739458366162,2025-02-13T15.52.46.162,0.071,0.000,0.915,0.061
1739458366172,2025-02-13T15.52.46.172,0.081,0.061,0.976,0.061
1739458366181,2025-02-13T15.52.46.181,0.090,0.061,0.915,0.061
1739458366191,2025-02-13T15.52.46.191,0.100,0.061,0.915,0.183
1739458366201,2025-02-13T15.52.46.201,0.110,0.000,0.915,0.122
1739458366211,2025-02-13T15.52.46.211,0.120,0.000,0.915,0.061
1739458366222,2025-02-13T15.52.46.222,0.131,0.000,0.976,0.061
1739458366232,2025-02-13T15.52.46.232,0.141,-0.061,0.976,0.122
1739458366241,2025-02-13T15.52.46.241,0.150,-0.122,0.732,0.061
1739458366251,2025-02-13T15.52.46.251,0.160,-0.061,0.854,0.122
1739458366261,2025-02-13T15.52.46.261,0.170,-0.061,0.854,0.122
1739458366271,2025-02-13T15.52.46.271,0.180,-0.122,0.854,0.061
1739458366282,2025-02-13T15.52.46.282,0.191,-0.183,0.915,0.061
1739458366292,2025-02-13T15.52.46.292,0.201,-0.244,0.915,0.000
1739458366302,2025-02-13T15.52.46.302,0.211,-0.122,0.915,0.061
1739458366311,2025-02-13T15.52.46.311,0.220,0.000,0.915,0.000
1739458366321,2025-02-13T15.52.46.321,0.230,0.000,0.793,0.122
1739458366331,2025-02-13T15.52.46.331,0.240,-0.061,0.854,0.122
1739458366342,2025-02-13T15.52.46.342,0.251,-0.183,0.915,0.122
1739458366352,2025-02-13T15.52.46.352,0.261,-0.122,0.915,0.122
1739458366362,2025-02-13T15.52.46.362,0.271,-0.122,0.915,0.122
1739458366372,2025-02-13T15.52.46.372,0.281,-0.183,0.915,0.183
1739458366381,2025-02-13T15.52.46.381,0.290,-0.122,0.976,0.183
1739458366391,2025-02-13T15.52.46.391,0.300,-0.122,0.915,0.183
1739458366402,2025-02-13T15.52.46.402,0.311,-0.061,0.915,0.122
1739458366412,2025-02-13T15.52.46.412,0.321,-0.061,0.915,0.061
1739458366422,2025-02-13T15.52.46.422,0.331,-0.122,0.793,0.183
1739458366432,2025-02-13T15.52.46.432,0.341,0.000,0.854,0.122
1739458366443,2025-02-13T15.52.46.443,0.352,0.061,0.915,0.061
1739458366452,2025-02-13T15.52.46.452,0.361,-0.061,0.915,0.061
