epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739458461480,2025-02-13T15.54.21.480,0.000,0.285,-0.113,0.933
1739458461483,2025-02-13T15.54.21.483,0.003,0.290,-0.114,0.945
1739458461486,2025-02-13T15.54.21.486,0.006,0.288,-0.111,0.945
1739458461489,2025-02-13T15.54.21.489,0.009,0.293,-0.109,0.940
1739458461491,2025-02-13T15.54.21.491,0.011,0.287,-0.112,0.936
1739458461494,2025-02-13T15.54.21.494,0.014,0.283,-0.110,0.941
1739458461496,2025-02-13T15.54.21.496,0.016,0.289,-0.117,0.942
1739458461498,2025-02-13T15.54.21.498,0.018,0.291,-0.114,0.946
1739458461501,2025-02-13T15.54.21.501,0.021,0.286,-0.110,0.939
1739458461504,2025-02-13T15.54.21.504,0.024,0.288,-0.112,0.941
1739458461507,2025-02-13T15.54.21.507,0.027,0.290,-0.107,0.938
1739458461508,2025-02-13T15.54.21.508,0.028,0.287,-0.108,0.940
1739458461511,2025-02-13T15.54.21.511,0.031,0.288,-0.113,0.944
1739458461514,2025-02-13T15.54.21.514,0.034,0.286,-0.113,0.943
1739458461516,2025-02-13T15.54.21.516,0.036,0.284,-0.109,0.943
1739458461518,2025-02-13T15.54.21.518,0.038,0.289,-0.114,0.945
1739458461521,2025-02-13T15.54.21.521,0.041,0.287,-0.111,0.943
1739458461524,2025-02-13T15.54.21.524,0.044,0.288,-0.108,0.945
1739458461526,2025-02-13T15.54.21.526,0.046,0.286,-0.113,0.938
1739458461529,2025-02-13T15.54.21.529,0.049,0.290,-0.115,0.939
1739458461532,2025-02-13T15.54.21.532,0.052,0.286,-0.115,0.940
1739458461533,2025-02-13T15.54.21.533,0.053,0.284,-0.113,0.944
1739458461536,2025-02-13T15.54.21.536,0.056,0.289,-0.111,0.940
1739458461539,2025-02-13T15.54.21.539,0.059,0.284,-0.111,0.941
1739458461542,2025-02-13T15.54.21.542,0.062,0.281,-0.110,0.938
1739458461543,2025-02-13T15.54.21.543,0.063,0.284,-0.114,0.940
1739458461546,2025-02-13T15.54.21.546,0.066,0.286,-0.113,0.941
1739458461549,2025-02-13T15.54.21.549,0.069,0.284,-0.111,0.942
1739458461551,2025-02-13T15.54.21.551,0.071,0.284,-0.114,0.940
1739458461554,2025-02-13T15.54.21.554,0.074,0.287,-0.114,0.938
