epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739398355625,2025-02-12T23.12.35.625,0.000,0.245,-0.129,0.947
1739398360512,2025-02-12T23.12.40.512,4.887,0.239,-0.140,0.943
1739398360523,2025-02-12T23.12.40.523,4.898,0.238,-0.140,0.947
1739398360531,2025-02-12T23.12.40.531,4.906,0.240,-0.139,0.944
1739398360542,2025-02-12T23.12.40.542,4.917,0.240,-0.140,0.943
1739398360552,2025-02-12T23.12.40.552,4.927,0.239,-0.140,0.945
1739398360562,2025-02-12T23.12.40.562,4.937,0.240,-0.139,0.949
1739398360572,2025-02-12T23.12.40.572,4.947,0.239,-0.140,0.945
1739398360583,2025-02-12T23.12.40.583,4.958,0.241,-0.140,0.948
1739398360593,2025-02-12T23.12.40.593,4.968,0.242,-0.137,0.950
1739398360602,2025-02-12T23.12.40.602,4.977,0.237,-0.139,0.945
1739398360612,2025-02-12T23.12.40.612,4.987,0.238,-0.140,0.945
1739398360622,2025-02-12T23.12.40.622,4.997,0.240,-0.138,0.946
1739398360632,2025-02-12T23.12.40.632,5.007,0.240,-0.139,0.946
1739398360643,2025-02-12T23.12.40.643,5.018,0.240,-0.138,0.950
1739398360653,2025-02-12T23.12.40.653,5.028,0.241,-0.141,0.948
1739398360663,2025-02-12T23.12.40.663,5.038,0.241,-0.137,0.947
1739398360672,2025-02-12T23.12.40.672,5.047,0.239,-0.139,0.949
1739398360682,2025-02-12T23.12.40.682,5.057,0.238,-0.139,0.950
1739398360693,2025-02-12T23.12.40.693,5.068,0.240,-0.141,0.944
1739398360703,2025-02-12T23.12.40.703,5.078,0.239,-0.139,0.947
1739398360713,2025-02-12T23.12.40.713,5.088,0.240,-0.139,0.951
1739398360723,2025-02-12T23.12.40.723,5.098,0.239,-0.140,0.948
1739398360734,2025-02-12T23.12.40.734,5.109,0.239,-0.141,0.947
1739398360742,2025-02-12T23.12.40.742,5.117,0.244,-0.141,0.948
1739398360753,2025-02-12T23.12.40.753,5.128,0.243,-0.139,0.950
1739398360763,2025-02-12T23.12.40.763,5.138,0.241,-0.141,0.946
1739398360773,2025-02-12T23.12.40.773,5.148,0.241,-0.140,0.944
1739398360783,2025-02-12T23.12.40.783,5.158,0.239,-0.140,0.948
1739398360794,2025-02-12T23.12.40.794,5.169,0.239,-0.140,0.948
1739398360802,2025-02-12T23.12.40.802,5.177,0.241,-0.139,0.950
1739398360813,2025-02-12T23.12.40.813,5.188,0.243,-0.142,0.950
1739398360823,2025-02-12T23.12.40.823,5.198,0.240,-0.142,0.948
1739398360833,2025-02-12T23.12.40.833,5.208,0.239,-0.141,0.948
1739398360843,2025-02-12T23.12.40.843,5.218,0.237,-0.142,0.946
1739398360854,2025-02-12T23.12.40.854,5.229,0.240,-0.139,0.951
1739398360864,2025-02-12T23.12.40.864,5.239,0.240,-0.140,0.950
1739398360873,2025-02-12T23.12.40.873,5.248,0.239,-0.138,0.945
1739398360883,2025-02-12T23.12.40.883,5.258,0.241,-0.141,0.947
1739398360893,2025-02-12T23.12.40.893,5.268,0.241,-0.140,0.950
1739398360903,2025-02-12T23.12.40.903,5.278,0.241,-0.138,0.948
