epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739817019912,2025-02-17T19.30.19.912,0.000,0.262,-0.167,0.938
1739817019915,2025-02-17T19.30.19.915,0.003,0.263,-0.167,0.945
1739817019918,2025-02-17T19.30.19.918,0.006,0.258,-0.163,0.940
1739817019921,2025-02-17T19.30.19.921,0.009,0.256,-0.162,0.938
1739817019923,2025-02-17T19.30.19.923,0.011,0.265,-0.162,0.942
1739817019926,2025-02-17T19.30.19.926,0.014,0.263,-0.165,0.943
1739817019928,2025-02-17T19.30.19.928,0.016,0.257,-0.161,0.938
1739817019930,2025-02-17T19.30.19.930,0.018,0.259,-0.165,0.942
1739817019933,2025-02-17T19.30.19.933,0.021,0.262,-0.159,0.947
1739817019936,2025-02-17T19.30.19.936,0.024,0.265,-0.161,0.948
1739817019939,2025-02-17T19.30.19.939,0.027,0.262,-0.161,0.944
1739817019940,2025-02-17T19.30.19.940,0.028,0.263,-0.162,0.947
1739817019943,2025-02-17T19.30.19.943,0.031,0.265,-0.166,0.941
1739817019946,2025-02-17T19.30.19.946,0.034,0.262,-0.170,0.943
1739817019948,2025-02-17T19.30.19.948,0.036,0.259,-0.167,0.945
1739817019950,2025-02-17T19.30.19.950,0.038,0.261,-0.160,0.940
1739817019953,2025-02-17T19.30.19.953,0.041,0.261,-0.166,0.944
1739817019956,2025-02-17T19.30.19.956,0.044,0.259,-0.164,0.944
1739817019958,2025-02-17T19.30.19.958,0.046,0.259,-0.164,0.945
1739817019961,2025-02-17T19.30.19.961,0.049,0.268,-0.162,0.941
1739817019964,2025-02-17T19.30.19.964,0.052,0.260,-0.164,0.946
1739817019965,2025-02-17T19.30.19.965,0.053,0.260,-0.165,0.946
1739817019968,2025-02-17T19.30.19.968,0.056,0.259,-0.167,0.942
1739817019971,2025-02-17T19.30.19.971,0.059,0.262,-0.167,0.942
1739817019974,2025-02-17T19.30.19.974,0.062,0.264,-0.164,0.940
1739817019975,2025-02-17T19.30.19.975,0.063,0.266,-0.162,0.944
1739817019978,2025-02-17T19.30.19.978,0.066,0.263,-0.167,0.943
1739817019981,2025-02-17T19.30.19.981,0.069,0.266,-0.159,0.943
1739817019983,2025-02-17T19.30.19.983,0.071,0.264,-0.160,0.944
1739817019986,2025-02-17T19.30.19.986,0.074,0.265,-0.157,0.947
1739817019989,2025-02-17T19.30.19.989,0.077,0.264,-0.162,0.941
1739817019991,2025-02-17T19.30.19.991,0.079,0.265,-0.165,0.940
1739817019993,2025-02-17T19.30.19.993,0.081,0.267,-0.164,0.943
