epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739816698429,2025-02-17T19.24.58.429,0.000,0.250,-0.159,0.929
1739816698431,2025-02-17T19.24.58.431,0.002,0.258,-0.156,0.946
1739816698434,2025-02-17T19.24.58.434,0.005,0.261,-0.153,0.947
1739816698436,2025-02-17T19.24.58.436,0.007,0.261,-0.160,0.945
1739816698439,2025-02-17T19.24.58.439,0.010,0.262,-0.160,0.955
1739816698441,2025-02-17T19.24.58.441,0.012,0.267,-0.152,0.969
1739816698444,2025-02-17T19.24.58.444,0.015,0.267,-0.155,0.973
1739816698447,2025-02-17T19.24.58.447,0.018,0.264,-0.155,0.964
1739816698448,2025-02-17T19.24.58.448,0.019,0.261,-0.149,0.958
1739816698451,2025-02-17T19.24.58.451,0.022,0.269,-0.155,0.947
1739816698454,2025-02-17T19.24.58.454,0.025,0.263,-0.165,0.940
1739816698457,2025-02-17T19.24.58.457,0.028,0.256,-0.163,0.934
1739816698458,2025-02-17T19.24.58.458,0.029,0.255,-0.161,0.929
1739816698461,2025-02-17T19.24.58.461,0.032,0.262,-0.159,0.929
1739816698464,2025-02-17T19.24.58.464,0.035,0.252,-0.158,0.935
1739816698466,2025-02-17T19.24.58.466,0.037,0.259,-0.158,0.946
1739816698469,2025-02-17T19.24.58.469,0.040,0.261,-0.154,0.943
1739816698472,2025-02-17T19.24.58.472,0.043,0.256,-0.152,0.944
1739816698475,2025-02-17T19.24.58.475,0.046,0.259,-0.152,0.942
1739816698476,2025-02-17T19.24.58.476,0.047,0.259,-0.158,0.942
1739816698479,2025-02-17T19.24.58.479,0.050,0.258,-0.152,0.945
1739816698482,2025-02-17T19.24.58.482,0.053,0.264,-0.154,0.944
1739816698483,2025-02-17T19.24.58.483,0.054,0.263,-0.159,0.945
1739816698486,2025-02-17T19.24.58.486,0.057,0.252,-0.158,0.940
1739816698489,2025-02-17T19.24.58.489,0.060,0.254,-0.160,0.932
1739816698492,2025-02-17T19.24.58.492,0.063,0.252,-0.161,0.933
1739816698494,2025-02-17T19.24.58.494,0.065,0.252,-0.161,0.940
1739816698497,2025-02-17T19.24.58.497,0.068,0.260,-0.160,0.959
1739816698499,2025-02-17T19.24.58.499,0.070,0.273,-0.155,0.970
1739816698501,2025-02-17T19.24.58.501,0.072,0.271,-0.155,0.970
1739816698504,2025-02-17T19.24.58.504,0.075,0.270,-0.162,0.955
1739816698507,2025-02-17T19.24.58.507,0.078,0.254,-0.156,0.942
1739816698510,2025-02-17T19.24.58.510,0.081,0.251,-0.156,0.928
1739816698511,2025-02-17T19.24.58.511,0.082,0.249,-0.164,0.919
1739816698514,2025-02-17T19.24.58.514,0.085,0.248,-0.163,0.924
1739816698517,2025-02-17T19.24.58.517,0.088,0.252,-0.164,0.929
1739816698519,2025-02-17T19.24.58.519,0.090,0.255,-0.163,0.927
1739816698521,2025-02-17T19.24.58.521,0.092,0.249,-0.168,0.924
1739816698524,2025-02-17T19.24.58.524,0.095,0.259,-0.161,0.929
