epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739816698469,2025-02-17T19.24.58.469,0.000,-1.890,2.805,0.183
1739816698472,2025-02-17T19.24.58.472,0.003,-1.707,2.866,0.000
1739816698475,2025-02-17T19.24.58.475,0.006,-1.768,2.500,0.000
1739816698476,2025-02-17T19.24.58.476,0.007,-1.890,2.561,0.061
1739816698479,2025-02-17T19.24.58.479,0.010,-1.829,2.561,-0.061
1739816698482,2025-02-17T19.24.58.482,0.013,-1.829,2.561,0.000
1739816698485,2025-02-17T19.24.58.485,0.016,-1.951,2.683,0.000
1739816698486,2025-02-17T19.24.58.486,0.017,-1.951,2.805,-0.061
1739816698489,2025-02-17T19.24.58.489,0.020,-1.890,2.683,-0.122
1739816698492,2025-02-17T19.24.58.492,0.023,-1.829,2.744,-0.122
1739816698494,2025-02-17T19.24.58.494,0.025,-1.829,2.805,-0.061
1739816698497,2025-02-17T19.24.58.497,0.028,-1.768,2.622,-0.183
1739816698499,2025-02-17T19.24.58.499,0.030,-1.829,2.744,-0.183
1739816698501,2025-02-17T19.24.58.501,0.032,-1.829,2.988,-0.244
1739816698504,2025-02-17T19.24.58.504,0.035,-1.890,3.110,-0.244
1739816698507,2025-02-17T19.24.58.507,0.038,-1.829,3.415,-0.122
1739816698510,2025-02-17T19.24.58.510,0.041,-1.951,3.232,-0.061
1739816698511,2025-02-17T19.24.58.511,0.042,-1.890,3.232,0.183
1739816698514,2025-02-17T19.24.58.514,0.045,-1.951,3.049,0.183
1739816698517,2025-02-17T19.24.58.517,0.048,-1.707,2.988,0.122
1739816698519,2025-02-17T19.24.58.519,0.050,-1.463,2.927,0.000
1739816698521,2025-02-17T19.24.58.521,0.052,-1.524,2.805,0.122
1739816698524,2025-02-17T19.24.58.524,0.055,-1.159,2.744,0.122
1739816698527,2025-02-17T19.24.58.527,0.058,-1.280,2.622,0.061
1739816698529,2025-02-17T19.24.58.529,0.060,-1.098,2.378,0.061
1739816698532,2025-02-17T19.24.58.532,0.063,-0.915,2.561,-0.061
1739816698535,2025-02-17T19.24.58.535,0.066,-1.098,2.561,0.000
1739816698536,2025-02-17T19.24.58.536,0.067,-1.159,2.622,0.122
1739816698539,2025-02-17T19.24.58.539,0.070,-1.220,2.622,0.305
1739816698542,2025-02-17T19.24.58.542,0.073,-1.098,2.561,0.244
1739816698545,2025-02-17T19.24.58.545,0.076,-0.976,2.439,0.061
1739816698546,2025-02-17T19.24.58.546,0.077,-1.159,2.256,0.000
1739816698549,2025-02-17T19.24.58.549,0.080,-1.159,2.256,0.061
1739816698552,2025-02-17T19.24.58.552,0.083,-1.159,2.378,0.061
1739816698555,2025-02-17T19.24.58.555,0.086,-1.220,2.134,0.000
1739816698557,2025-02-17T19.24.58.557,0.088,-1.159,2.012,0.183
1739816698560,2025-02-17T19.24.58.560,0.091,-1.159,2.073,0.000
1739816698562,2025-02-17T19.24.58.562,0.093,-1.341,2.134,0.000
1739816698564,2025-02-17T19.24.58.564,0.095,-1.463,2.256,-0.061
1739816698567,2025-02-17T19.24.58.567,0.098,-1.585,2.500,0.061
1739816698570,2025-02-17T19.24.58.570,0.101,-1.646,2.805,0.000
1739816698571,2025-02-17T19.24.58.571,0.102,-1.890,2.988,-0.122
1739816698574,2025-02-17T19.24.58.574,0.105,-1.829,2.927,0.183
1739816698577,2025-02-17T19.24.58.577,0.108,-2.012,2.988,0.122
1739816698580,2025-02-17T19.24.58.580,0.111,-2.012,2.866,0.122
1739816698582,2025-02-17T19.24.58.582,0.113,-1.951,2.744,0.305
1739816698584,2025-02-17T19.24.58.584,0.115,-2.073,2.744,0.305
1739816698587,2025-02-17T19.24.58.587,0.118,-2.073,2.927,0.061
1739816698589,2025-02-17T19.24.58.589,0.120,-1.951,2.744,0.122
1739816698592,2025-02-17T19.24.58.592,0.123,-2.073,2.805,0.244
1739816698595,2025-02-17T19.24.58.595,0.126,-1.768,2.805,0.244
1739816698598,2025-02-17T19.24.58.598,0.129,-1.646,2.622,0.122
1739816698599,2025-02-17T19.24.58.599,0.130,-1.524,2.622,0.183
1739816698602,2025-02-17T19.24.58.602,0.133,-1.402,2.378,0.122
1739816698605,2025-02-17T19.24.58.605,0.136,-1.524,2.317,0.244
1739816698606,2025-02-17T19.24.58.606,0.137,-1.341,2.134,0.244
1739816698609,2025-02-17T19.24.58.609,0.140,-1.402,2.073,0.122
1739816698612,2025-02-17T19.24.58.612,0.143,-1.585,2.073,0.122
1739816698615,2025-02-17T19.24.58.615,0.146,-1.402,2.317,0.122
1739816698617,2025-02-17T19.24.58.617,0.148,-1.341,2.256,0.183
1739816698620,2025-02-17T19.24.58.620,0.151,-1.402,2.317,0.061
1739816698623,2025-02-17T19.24.58.623,0.154,-1.463,2.439,0.061
1739816698624,2025-02-17T19.24.58.624,0.155,-1.402,2.744,0.000
1739816698627,2025-02-17T19.24.58.627,0.158,-1.280,2.683,0.183
1739816698630,2025-02-17T19.24.58.630,0.161,-1.159,2.683,0.244
1739816698633,2025-02-17T19.24.58.633,0.164,-1.159,2.683,0.183
1739816698634,2025-02-17T19.24.58.634,0.165,-1.159,2.683,0.183
1739816698637,2025-02-17T19.24.58.637,0.168,-0.976,2.561,0.122
1739816698640,2025-02-17T19.24.58.640,0.171,-0.854,2.622,0.366
1739816698642,2025-02-17T19.24.58.642,0.173,-0.976,2.683,0.488
1739816698645,2025-02-17T19.24.58.645,0.176,-0.854,2.561,0.183
1739816698647,2025-02-17T19.24.58.647,0.178,-0.854,2.622,0.244
1739816698650,2025-02-17T19.24.58.650,0.181,-0.732,2.683,0.183
1739816698652,2025-02-17T19.24.58.652,0.183,-0.671,2.439,0.183
1739816698655,2025-02-17T19.24.58.655,0.186,-0.549,2.561,0.122
1739816698658,2025-02-17T19.24.58.658,0.189,-0.976,2.378,0.061
1739816698659,2025-02-17T19.24.58.659,0.190,-0.549,2.378,0.366
1739816698662,2025-02-17T19.24.58.662,0.193,-0.488,2.378,0.244
1739816698665,2025-02-17T19.24.58.665,0.196,-0.549,2.256,0.122
1739816698668,2025-02-17T19.24.58.668,0.199,-0.610,2.195,0.183
1739816698669,2025-02-17T19.24.58.669,0.200,-0.366,2.195,0.183
1739816698672,2025-02-17T19.24.58.672,0.203,-0.244,2.195,0.366
1739816698675,2025-02-17T19.24.58.675,0.206,-0.183,1.890,0.305
1739816698677,2025-02-17T19.24.58.677,0.208,0.000,1.768,0.305
1739816698680,2025-02-17T19.24.58.680,0.211,-0.305,1.829,0.305
1739816698683,2025-02-17T19.24.58.683,0.214,-0.122,1.707,0.183
1739816698686,2025-02-17T19.24.58.686,0.217,0.000,1.585,0.122
1739816698687,2025-02-17T19.24.58.687,0.218,-0.122,1.524,0.183
1739816698690,2025-02-17T19.24.58.690,0.221,0.061,1.646,0.305
1739816698693,2025-02-17T19.24.58.693,0.224,0.000,1.463,0.366
1739816698694,2025-02-17T19.24.58.694,0.225,0.000,1.341,0.183
1739816698697,2025-02-17T19.24.58.697,0.228,-0.061,1.341,0.244
1739816698700,2025-02-17T19.24.58.700,0.231,-0.183,1.159,0.244
1739816698703,2025-02-17T19.24.58.703,0.234,-0.061,1.159,0.244
1739816698705,2025-02-17T19.24.58.705,0.236,0.061,1.098,0.183
1739816698707,2025-02-17T19.24.58.707,0.238,0.305,0.976,0.244
1739816698710,2025-02-17T19.24.58.710,0.241,0.122,0.915,0.244
1739816698712,2025-02-17T19.24.58.712,0.243,-0.061,0.854,0.183
1739816698715,2025-02-17T19.24.58.715,0.246,0.061,0.976,0.244
1739816698718,2025-02-17T19.24.58.718,0.249,0.183,0.915,0.183
1739816698721,2025-02-17T19.24.58.721,0.252,0.244,0.854,0.244
1739816698722,2025-02-17T19.24.58.722,0.253,0.366,0.732,0.305
1739816698725,2025-02-17T19.24.58.725,0.256,0.305,0.793,0.183
1739816698728,2025-02-17T19.24.58.728,0.259,0.366,0.732,0.183
1739816698729,2025-02-17T19.24.58.729,0.260,0.305,0.854,0.305
1739816698732,2025-02-17T19.24.58.732,0.263,0.427,0.976,0.122
1739816698735,2025-02-17T19.24.58.735,0.266,0.427,1.037,0.244
1739816698738,2025-02-17T19.24.58.738,0.269,0.488,0.976,0.244
1739816698740,2025-02-17T19.24.58.740,0.271,0.366,0.854,0.183
1739816698743,2025-02-17T19.24.58.743,0.274,0.305,0.793,0.305
1739816698746,2025-02-17T19.24.58.746,0.277,0.427,0.854,0.183
1739816698747,2025-02-17T19.24.58.747,0.278,0.305,0.976,0.061
1739816698750,2025-02-17T19.24.58.750,0.281,0.427,1.037,0.061
1739816698753,2025-02-17T19.24.58.753,0.284,0.366,1.037,0.122
1739816698756,2025-02-17T19.24.58.756,0.287,0.427,0.976,0.061
1739816698757,2025-02-17T19.24.58.757,0.288,0.610,1.098,0.183
1739816698760,2025-02-17T19.24.58.760,0.291,0.549,1.037,0.122
1739816698763,2025-02-17T19.24.58.763,0.294,0.366,1.341,-0.061
1739816698765,2025-02-17T19.24.58.765,0.296,0.427,1.280,-0.061
1739816698768,2025-02-17T19.24.58.768,0.299,0.305,1.098,0.061
1739816698770,2025-02-17T19.24.58.770,0.301,0.305,1.037,0.183
1739816698772,2025-02-17T19.24.58.772,0.303,0.061,1.220,0.122
1739816698775,2025-02-17T19.24.58.775,0.306,0.061,1.159,-0.122
1739816698778,2025-02-17T19.24.58.778,0.309,-0.061,1.098,0.000
1739816698781,2025-02-17T19.24.58.781,0.312,0.000,1.037,0.122
1739816698782,2025-02-17T19.24.58.782,0.313,0.000,1.159,0.183
1739816698785,2025-02-17T19.24.58.785,0.316,0.183,1.098,0.122
1739816698788,2025-02-17T19.24.58.788,0.319,-0.183,1.037,0.122
1739816698790,2025-02-17T19.24.58.790,0.321,-0.244,1.098,0.122
1739816698792,2025-02-17T19.24.58.792,0.323,-0.122,1.159,0.061
1739816698795,2025-02-17T19.24.58.795,0.326,0.061,1.220,0.122
1739816698798,2025-02-17T19.24.58.798,0.329,-0.061,1.341,0.305
1739816698800,2025-02-17T19.24.58.800,0.331,0.061,1.341,0.183
1739816698803,2025-02-17T19.24.58.803,0.334,0.000,1.280,0.061
1739816698806,2025-02-17T19.24.58.806,0.337,-0.061,1.220,0.183
1739816698807,2025-02-17T19.24.58.807,0.338,0.000,1.159,0.244
1739816698810,2025-02-17T19.24.58.810,0.341,0.061,0.976,0.183
1739816698813,2025-02-17T19.24.58.813,0.344,0.366,0.976,-0.061
1739816698816,2025-02-17T19.24.58.816,0.347,0.183,0.793,0.061
1739816698817,2025-02-17T19.24.58.817,0.348,0.427,0.671,0.305
1739816698820,2025-02-17T19.24.58.820,0.351,0.549,0.610,0.244
1739816698823,2025-02-17T19.24.58.823,0.354,0.549,0.488,0.061
1739816698826,2025-02-17T19.24.58.826,0.357,0.610,0.488,0.122
1739816698828,2025-02-17T19.24.58.828,0.359,0.427,0.366,0.061
1739816698831,2025-02-17T19.24.58.831,0.362,0.610,0.366,0.122
1739816698833,2025-02-17T19.24.58.833,0.364,0.854,0.366,0.122
1739816698835,2025-02-17T19.24.58.835,0.366,0.915,0.427,0.000
1739816698838,2025-02-17T19.24.58.838,0.369,0.915,0.366,0.061
1739816698841,2025-02-17T19.24.58.841,0.372,0.976,0.488,0.000
1739816698842,2025-02-17T19.24.58.842,0.373,0.793,0.366,0.000
1739816698845,2025-02-17T19.24.58.845,0.376,0.793,0.488,0.061
1739816698848,2025-02-17T19.24.58.848,0.379,0.793,0.671,0.061
1739816698851,2025-02-17T19.24.58.851,0.382,0.549,0.732,0.061
1739816698853,2025-02-17T19.24.58.853,0.384,0.610,0.793,0.183
1739816698855,2025-02-17T19.24.58.855,0.386,0.488,1.037,0.061
1739816698858,2025-02-17T19.24.58.858,0.389,0.366,0.915,0.122
1739816698860,2025-02-17T19.24.58.860,0.391,0.427,0.915,0.061
1739816698863,2025-02-17T19.24.58.863,0.394,0.549,1.220,0.061
1739816698866,2025-02-17T19.24.58.866,0.397,0.488,1.220,-0.061
1739816698869,2025-02-17T19.24.58.869,0.400,0.366,1.098,0.061
1739816698870,2025-02-17T19.24.58.870,0.401,0.549,1.220,0.122
1739816698873,2025-02-17T19.24.58.873,0.404,0.427,1.098,0.061
1739816698876,2025-02-17T19.24.58.876,0.407,0.122,0.854,0.183
1739816698877,2025-02-17T19.24.58.877,0.408,0.183,0.915,-0.061
1739816698880,2025-02-17T19.24.58.880,0.411,0.244,1.037,-0.061
1739816698883,2025-02-17T19.24.58.883,0.414,0.244,0.671,0.061
1739816698886,2025-02-17T19.24.58.886,0.417,0.244,0.488,0.061
1739816698888,2025-02-17T19.24.58.888,0.419,0.305,0.549,-0.061
1739816698891,2025-02-17T19.24.58.891,0.422,0.305,0.366,0.000
1739816698894,2025-02-17T19.24.58.894,0.425,0.122,0.488,-0.061
1739816698895,2025-02-17T19.24.58.895,0.426,0.122,0.305,0.000
1739816698898,2025-02-17T19.24.58.898,0.429,0.122,0.122,0.061
1739816698901,2025-02-17T19.24.58.901,0.432,0.122,0.061,0.122
1739816698904,2025-02-17T19.24.58.904,0.435,0.183,0.000,0.000
1739816698905,2025-02-17T19.24.58.905,0.436,0.000,0.122,0.000
1739816698908,2025-02-17T19.24.58.908,0.439,0.122,0.244,0.000
1739816698911,2025-02-17T19.24.58.911,0.442,0.122,0.183,0.000
1739816698913,2025-02-17T19.24.58.913,0.444,0.183,0.061,0.061
1739816698916,2025-02-17T19.24.58.916,0.447,0.000,0.000,0.061
1739816698918,2025-02-17T19.24.58.918,0.449,0.183,-0.061,0.122
1739816698921,2025-02-17T19.24.58.921,0.452,0.183,0.000,0.122
1739816698923,2025-02-17T19.24.58.923,0.454,0.000,0.000,0.122
1739816698926,2025-02-17T19.24.58.926,0.457,0.122,0.183,0.122
1739816698929,2025-02-17T19.24.58.929,0.460,0.183,0.183,0.061
1739816698930,2025-02-17T19.24.58.930,0.461,0.061,0.305,0.122
1739816698933,2025-02-17T19.24.58.933,0.464,-0.061,0.122,0.000
1739816698936,2025-02-17T19.24.58.936,0.467,0.000,0.122,0.061
1739816698939,2025-02-17T19.24.58.939,0.470,0.061,0.000,0.183
1739816698940,2025-02-17T19.24.58.940,0.471,0.183,0.000,0.122
1739816698943,2025-02-17T19.24.58.943,0.474,0.000,-0.061,0.061
1739816698946,2025-02-17T19.24.58.946,0.477,0.183,-0.061,0.122
1739816698948,2025-02-17T19.24.58.948,0.479,0.244,-0.122,0.061
1739816698951,2025-02-17T19.24.58.951,0.482,0.244,-0.244,0.000
1739816698954,2025-02-17T19.24.58.954,0.485,0.122,-0.122,0.061
1739816698957,2025-02-17T19.24.58.957,0.488,0.244,-0.305,0.061
1739816698958,2025-02-17T19.24.58.958,0.489,0.061,-0.427,-0.061
1739816698961,2025-02-17T19.24.58.961,0.492,-0.061,-0.549,-0.122
1739816698964,2025-02-17T19.24.58.964,0.495,0.000,-0.549,0.061
1739816698965,2025-02-17T19.24.58.965,0.496,0.122,-0.610,-0.061
1739816698968,2025-02-17T19.24.58.968,0.499,0.183,-0.671,0.061
1739816698971,2025-02-17T19.24.58.971,0.502,0.183,-0.732,0.061
1739816698974,2025-02-17T19.24.58.974,0.505,0.183,-0.549,-0.122
1739816698976,2025-02-17T19.24.58.976,0.507,0.366,-0.610,-0.061
1739816698978,2025-02-17T19.24.58.978,0.509,0.183,-0.671,0.122
1739816698981,2025-02-17T19.24.58.981,0.512,0.183,-0.854,0.122
1739816698983,2025-02-17T19.24.58.983,0.514,0.305,-1.037,-0.061
1739816698986,2025-02-17T19.24.58.986,0.517,0.549,-1.159,-0.061
1739816698989,2025-02-17T19.24.58.989,0.520,0.366,-1.159,-0.061
1739816698992,2025-02-17T19.24.58.992,0.523,0.549,-1.341,0.061
1739816698993,2025-02-17T19.24.58.993,0.524,0.610,-1.585,0.000
1739816698996,2025-02-17T19.24.58.996,0.527,0.671,-1.524,0.061
1739816698999,2025-02-17T19.24.58.999,0.530,0.732,-1.524,0.183
1739816699000,2025-02-17T19.24.59.000,0.531,0.854,-1.768,0.183
1739816699003,2025-02-17T19.24.59.003,0.534,0.915,-1.524,0.122
1739816699006,2025-02-17T19.24.59.006,0.537,1.098,-1.707,0.183
1739816699009,2025-02-17T19.24.59.009,0.540,1.159,-1.463,0.305
1739816699011,2025-02-17T19.24.59.011,0.542,1.341,-1.402,0.427
