epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739551815611,2025-02-14T17.50.15.611,0.000,0.257,-0.091,0.941
1739551815613,2025-02-14T17.50.15.613,0.002,0.255,-0.094,0.950
1739551815616,2025-02-14T17.50.15.616,0.005,0.251,-0.093,0.952
1739551815619,2025-02-14T17.50.15.619,0.008,0.259,-0.095,0.949
1739551815621,2025-02-14T17.50.15.621,0.010,0.253,-0.094,0.950
1739551815623,2025-02-14T17.50.15.623,0.012,0.254,-0.096,0.951
1739551815626,2025-02-14T17.50.15.626,0.015,0.258,-0.096,0.950
1739551815629,2025-02-14T17.50.15.629,0.018,0.258,-0.097,0.951
1739551815630,2025-02-14T17.50.15.630,0.019,0.258,-0.095,0.956
1739551815633,2025-02-14T17.50.15.633,0.022,0.255,-0.095,0.950
1739551815636,2025-02-14T17.50.15.636,0.025,0.253,-0.095,0.943
1739551815638,2025-02-14T17.50.15.638,0.027,0.255,-0.098,0.947
1739551815640,2025-02-14T17.50.15.640,0.029,0.255,-0.095,0.954
1739551815643,2025-02-14T17.50.15.643,0.032,0.256,-0.094,0.948
1739551815646,2025-02-14T17.50.15.646,0.035,0.256,-0.093,0.952
1739551815648,2025-02-14T17.50.15.648,0.037,0.253,-0.096,0.946
1739551815651,2025-02-14T17.50.15.651,0.040,0.258,-0.096,0.949
1739551815654,2025-02-14T17.50.15.654,0.043,0.258,-0.093,0.951
1739551815655,2025-02-14T17.50.15.655,0.044,0.256,-0.095,0.947
1739551815658,2025-02-14T17.50.15.658,0.047,0.258,-0.094,0.954
1739551815661,2025-02-14T17.50.15.661,0.050,0.256,-0.094,0.957
1739551815664,2025-02-14T17.50.15.664,0.053,0.255,-0.095,0.950
1739551815665,2025-02-14T17.50.15.665,0.054,0.259,-0.096,0.945
1739551815668,2025-02-14T17.50.15.668,0.057,0.256,-0.092,0.948
1739551815671,2025-02-14T17.50.15.671,0.060,0.254,-0.091,0.951
1739551815673,2025-02-14T17.50.15.673,0.062,0.254,-0.097,0.953
1739551815676,2025-02-14T17.50.15.676,0.065,0.251,-0.093,0.945
1739551815679,2025-02-14T17.50.15.679,0.068,0.252,-0.092,0.949
1739551815681,2025-02-14T17.50.15.681,0.070,0.257,-0.093,0.951
1739551815683,2025-02-14T17.50.15.683,0.072,0.254,-0.096,0.951
1739551815686,2025-02-14T17.50.15.686,0.075,0.257,-0.093,0.951
1739551815689,2025-02-14T17.50.15.689,0.078,0.256,-0.094,0.950
1739551815690,2025-02-14T17.50.15.690,0.079,0.254,-0.092,0.941
1739551815693,2025-02-14T17.50.15.693,0.082,0.250,-0.094,0.940
1739551815696,2025-02-14T17.50.15.696,0.085,0.252,-0.096,0.944
1739551815699,2025-02-14T17.50.15.699,0.088,0.250,-0.092,0.945
1739551815701,2025-02-14T17.50.15.701,0.090,0.253,-0.101,0.949
1739551815703,2025-02-14T17.50.15.703,0.092,0.258,-0.096,0.946
1739551815706,2025-02-14T17.50.15.706,0.095,0.262,-0.095,0.938
1739551815708,2025-02-14T17.50.15.708,0.097,0.255,-0.095,0.949
1739551815711,2025-02-14T17.50.15.711,0.100,0.256,-0.090,0.951
1739551815714,2025-02-14T17.50.15.714,0.103,0.258,-0.094,0.944
1739551815717,2025-02-14T17.50.15.717,0.106,0.257,-0.096,0.943
1739551815718,2025-02-14T17.50.15.718,0.107,0.254,-0.094,0.951
1739551815721,2025-02-14T17.50.15.721,0.110,0.256,-0.094,0.949
1739551815724,2025-02-14T17.50.15.724,0.113,0.254,-0.096,0.952
1739551815725,2025-02-14T17.50.15.725,0.114,0.252,-0.095,0.947
1739551815728,2025-02-14T17.50.15.728,0.117,0.258,-0.095,0.950
1739551815731,2025-02-14T17.50.15.731,0.120,0.260,-0.094,0.946
1739551815734,2025-02-14T17.50.15.734,0.123,0.252,-0.093,0.951
1739551815736,2025-02-14T17.50.15.736,0.125,0.253,-0.093,0.954
1739551815739,2025-02-14T17.50.15.739,0.128,0.254,-0.094,0.950
1739551815742,2025-02-14T17.50.15.742,0.131,0.258,-0.093,0.948
1739551815743,2025-02-14T17.50.15.743,0.132,0.259,-0.092,0.949
1739551815746,2025-02-14T17.50.15.746,0.135,0.254,-0.096,0.952
1739551815749,2025-02-14T17.50.15.749,0.138,0.254,-0.094,0.947
1739551815752,2025-02-14T17.50.15.752,0.141,0.253,-0.098,0.953
1739551815753,2025-02-14T17.50.15.753,0.142,0.261,-0.094,0.949
1739551815756,2025-02-14T17.50.15.756,0.145,0.262,-0.096,0.948
1739551815759,2025-02-14T17.50.15.759,0.148,0.261,-0.099,0.939
1739551815761,2025-02-14T17.50.15.761,0.150,0.254,-0.090,0.950
1739551815764,2025-02-14T17.50.15.764,0.153,0.255,-0.094,0.950
1739551815766,2025-02-14T17.50.15.766,0.155,0.256,-0.093,0.952
1739551815769,2025-02-14T17.50.15.769,0.158,0.260,-0.098,0.953
1739551815771,2025-02-14T17.50.15.771,0.160,0.250,-0.095,0.955
