epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739551815651,2025-02-14T17.50.15.651,0.000,0.305,0.793,0.183
1739551815654,2025-02-14T17.50.15.654,0.003,-0.183,0.854,-0.061
1739551815655,2025-02-14T17.50.15.655,0.004,-0.244,1.037,0.061
1739551815658,2025-02-14T17.50.15.658,0.007,0.000,0.854,0.183
1739551815661,2025-02-14T17.50.15.661,0.010,0.000,0.915,0.244
1739551815664,2025-02-14T17.50.15.664,0.013,0.000,0.915,0.122
1739551815665,2025-02-14T17.50.15.665,0.014,0.000,0.915,0.122
1739551815668,2025-02-14T17.50.15.668,0.017,-0.122,0.915,0.061
1739551815671,2025-02-14T17.50.15.671,0.020,0.000,0.854,0.305
1739551815674,2025-02-14T17.50.15.674,0.023,-0.244,0.854,0.244
1739551815676,2025-02-14T17.50.15.676,0.025,0.061,1.037,0.305
1739551815679,2025-02-14T17.50.15.679,0.028,0.183,0.976,0.122
1739551815681,2025-02-14T17.50.15.681,0.030,0.061,0.854,0.183
1739551815683,2025-02-14T17.50.15.683,0.032,0.061,0.915,0.244
1739551815686,2025-02-14T17.50.15.686,0.035,0.061,1.098,0.183
1739551815689,2025-02-14T17.50.15.689,0.038,0.061,1.037,0.122
1739551815690,2025-02-14T17.50.15.690,0.039,-0.183,1.037,0.183
1739551815693,2025-02-14T17.50.15.693,0.042,-0.183,0.976,0.305
1739551815696,2025-02-14T17.50.15.696,0.045,0.061,0.854,0.183
1739551815699,2025-02-14T17.50.15.699,0.048,0.061,1.098,0.061
1739551815701,2025-02-14T17.50.15.701,0.050,-0.061,1.037,0.244
1739551815703,2025-02-14T17.50.15.703,0.052,0.061,0.976,0.061
1739551815706,2025-02-14T17.50.15.706,0.055,0.183,0.976,0.122
1739551815708,2025-02-14T17.50.15.708,0.057,0.122,0.915,0.122
1739551815711,2025-02-14T17.50.15.711,0.060,0.000,0.915,0.000
1739551815714,2025-02-14T17.50.15.714,0.063,0.000,1.037,0.122
1739551815717,2025-02-14T17.50.15.717,0.066,0.061,1.098,0.061
1739551815718,2025-02-14T17.50.15.718,0.067,-0.122,1.037,0.061
1739551815721,2025-02-14T17.50.15.721,0.070,0.061,0.793,0.122
1739551815724,2025-02-14T17.50.15.724,0.073,0.000,0.854,0.183
1739551815725,2025-02-14T17.50.15.725,0.074,0.000,0.976,0.061
1739551815728,2025-02-14T17.50.15.728,0.077,0.061,0.915,0.000
1739551815731,2025-02-14T17.50.15.731,0.080,0.061,0.854,0.122
1739551815734,2025-02-14T17.50.15.734,0.083,-0.122,0.915,0.061
1739551815736,2025-02-14T17.50.15.736,0.085,-0.061,0.854,0.061
1739551815739,2025-02-14T17.50.15.739,0.088,-0.061,0.732,0.061
1739551815742,2025-02-14T17.50.15.742,0.091,-0.122,0.793,0.000
1739551815743,2025-02-14T17.50.15.743,0.092,0.183,0.793,0.183
1739551815746,2025-02-14T17.50.15.746,0.095,0.000,0.854,0.366
1739551815749,2025-02-14T17.50.15.749,0.098,-0.061,0.671,0.244
1739551815752,2025-02-14T17.50.15.752,0.101,0.000,0.793,0.122
1739551815753,2025-02-14T17.50.15.753,0.102,0.000,0.976,0.061
1739551815756,2025-02-14T17.50.15.756,0.105,-0.122,0.854,0.061
1739551815759,2025-02-14T17.50.15.759,0.108,-0.122,0.793,0.122
1739551815761,2025-02-14T17.50.15.761,0.110,-0.122,0.793,0.061
1739551815764,2025-02-14T17.50.15.764,0.113,0.000,0.915,0.244
1739551815766,2025-02-14T17.50.15.766,0.115,-0.061,0.793,0.244
1739551815769,2025-02-14T17.50.15.769,0.118,-0.061,0.793,0.061
1739551815771,2025-02-14T17.50.15.771,0.120,-0.122,0.854,0.122
1739551815774,2025-02-14T17.50.15.774,0.123,0.000,0.732,0.061
1739551815777,2025-02-14T17.50.15.777,0.126,-0.122,0.854,0.000
1739551815778,2025-02-14T17.50.15.778,0.127,-0.122,0.732,0.122
1739551815781,2025-02-14T17.50.15.781,0.130,-0.122,0.793,-0.061
1739551815784,2025-02-14T17.50.15.784,0.133,-0.244,0.976,0.000
1739551815787,2025-02-14T17.50.15.787,0.136,-0.427,0.854,0.061
1739551815788,2025-02-14T17.50.15.788,0.137,-0.183,0.915,0.000
1739551815791,2025-02-14T17.50.15.791,0.140,0.000,0.915,0.122
1739551815794,2025-02-14T17.50.15.794,0.143,-0.122,0.915,0.122
1739551815796,2025-02-14T17.50.15.796,0.145,-0.061,0.854,0.122
1739551815799,2025-02-14T17.50.15.799,0.148,-0.061,0.793,0.061
1739551815802,2025-02-14T17.50.15.802,0.151,0.061,0.732,0.061
1739551815805,2025-02-14T17.50.15.805,0.154,-0.183,0.732,0.122
1739551815806,2025-02-14T17.50.15.806,0.155,-0.244,0.732,0.061
1739551815809,2025-02-14T17.50.15.809,0.158,-0.122,0.854,0.305
1739551815812,2025-02-14T17.50.15.812,0.161,-0.183,0.854,0.244
1739551815813,2025-02-14T17.50.15.813,0.162,-0.366,0.854,0.183
1739551815816,2025-02-14T17.50.15.816,0.165,-0.366,0.854,0.061
1739551815819,2025-02-14T17.50.15.819,0.168,-0.244,0.915,0.122
1739551815822,2025-02-14T17.50.15.822,0.171,-0.244,0.671,0.183
1739551815824,2025-02-14T17.50.15.824,0.173,-0.305,0.854,0.122
1739551815827,2025-02-14T17.50.15.827,0.176,-0.061,0.915,0.122
1739551815829,2025-02-14T17.50.15.829,0.178,-0.183,0.793,0.183
1739551815831,2025-02-14T17.50.15.831,0.180,-0.244,0.793,0.061
1739551815834,2025-02-14T17.50.15.834,0.183,-0.183,0.793,0.122
1739551815837,2025-02-14T17.50.15.837,0.186,-0.244,0.793,0.122
1739551815840,2025-02-14T17.50.15.840,0.189,-0.244,0.854,0.000
1739551815841,2025-02-14T17.50.15.841,0.190,-0.122,0.915,0.122
1739551815844,2025-02-14T17.50.15.844,0.193,-0.183,0.976,0.183
1739551815847,2025-02-14T17.50.15.847,0.196,-0.305,0.976,0.122
1739551815848,2025-02-14T17.50.15.848,0.197,-0.183,0.976,0.183
1739551815851,2025-02-14T17.50.15.851,0.200,-0.183,0.915,0.122
1739551815854,2025-02-14T17.50.15.854,0.203,-0.244,0.915,0.061
1739551815857,2025-02-14T17.50.15.857,0.206,-0.244,0.854,0.183
1739551815859,2025-02-14T17.50.15.859,0.208,0.061,0.610,0.122
1739551815862,2025-02-14T17.50.15.862,0.211,0.061,0.976,0.122
1739551815865,2025-02-14T17.50.15.865,0.214,-0.244,1.037,0.000
1739551815866,2025-02-14T17.50.15.866,0.215,-0.244,0.915,0.000
1739551815869,2025-02-14T17.50.15.869,0.218,-0.061,0.915,0.061
1739551815872,2025-02-14T17.50.15.872,0.221,-0.122,0.854,0.183
1739551815875,2025-02-14T17.50.15.875,0.224,-0.122,0.976,0.366
1739551815876,2025-02-14T17.50.15.876,0.225,0.000,0.915,0.061
1739551815879,2025-02-14T17.50.15.879,0.228,-0.061,1.037,0.061
1739551815882,2025-02-14T17.50.15.882,0.231,-0.122,0.854,0.183
1739551815884,2025-02-14T17.50.15.884,0.233,-0.122,0.915,0.122
1739551815887,2025-02-14T17.50.15.887,0.236,-0.061,0.854,0.183
1739551815889,2025-02-14T17.50.15.889,0.238,-0.183,0.793,0.061
1739551815891,2025-02-14T17.50.15.891,0.240,0.122,0.915,0.183
1739551815894,2025-02-14T17.50.15.894,0.243,-0.122,0.976,0.244
1739551815897,2025-02-14T17.50.15.897,0.246,-0.305,0.915,0.244
1739551815900,2025-02-14T17.50.15.900,0.249,-0.061,0.854,0.000
1739551815901,2025-02-14T17.50.15.901,0.250,-0.122,0.915,0.183
1739551815904,2025-02-14T17.50.15.904,0.253,-0.305,0.793,0.183
1739551815907,2025-02-14T17.50.15.907,0.256,-0.122,0.915,0.061
1739551815910,2025-02-14T17.50.15.910,0.259,0.000,0.854,-0.061
1739551815911,2025-02-14T17.50.15.911,0.260,-0.183,0.793,0.244
1739551815914,2025-02-14T17.50.15.914,0.263,-0.122,0.732,0.122
1739551815917,2025-02-14T17.50.15.917,0.266,0.122,0.732,0.061
1739551815919,2025-02-14T17.50.15.919,0.268,0.122,0.915,0.122
1739551815922,2025-02-14T17.50.15.922,0.271,0.000,0.732,0.183
1739551815925,2025-02-14T17.50.15.925,0.274,-0.061,0.793,0.183
1739551815926,2025-02-14T17.50.15.926,0.275,0.000,0.976,0.000
1739551815929,2025-02-14T17.50.15.929,0.278,0.183,0.915,0.061
1739551815932,2025-02-14T17.50.15.932,0.281,0.061,0.793,0.122
1739551815935,2025-02-14T17.50.15.935,0.284,0.122,0.915,0.061
1739551815936,2025-02-14T17.50.15.936,0.285,0.061,0.793,0.183
1739551815939,2025-02-14T17.50.15.939,0.288,0.061,0.671,0.122
1739551815942,2025-02-14T17.50.15.942,0.291,0.122,0.732,0.000
1739551815944,2025-02-14T17.50.15.944,0.293,0.183,0.610,0.122
1739551815947,2025-02-14T17.50.15.947,0.296,0.183,0.671,0.061
1739551815950,2025-02-14T17.50.15.950,0.299,0.122,0.671,0.061
1739551815952,2025-02-14T17.50.15.952,0.301,0.244,0.793,0.000
1739551815954,2025-02-14T17.50.15.954,0.303,0.305,0.793,0.244
1739551815957,2025-02-14T17.50.15.957,0.306,0.000,0.732,0.122
1739551815960,2025-02-14T17.50.15.960,0.309,0.122,0.793,0.061
1739551815961,2025-02-14T17.50.15.961,0.310,0.122,0.854,0.122
1739551815964,2025-02-14T17.50.15.964,0.313,0.183,0.732,0.000
1739551815967,2025-02-14T17.50.15.967,0.316,0.061,0.671,0.122
1739551815970,2025-02-14T17.50.15.970,0.319,0.000,0.671,0.183
1739551815972,2025-02-14T17.50.15.972,0.321,-0.061,0.732,0.305
1739551815974,2025-02-14T17.50.15.974,0.323,-0.122,0.915,0.183
1739551815977,2025-02-14T17.50.15.977,0.326,-0.061,0.854,0.061
