epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1740676479030,2025-02-27T18.14.39.030,0.000,0.244,1.159,-0.061
1740676479041,2025-02-27T18.14.39.041,0.011,-0.427,0.976,0.061
1740676479051,2025-02-27T18.14.39.051,0.021,-0.183,0.854,0.000
1740676479061,2025-02-27T18.14.39.061,0.031,0.061,0.854,0.122
1740676479071,2025-02-27T18.14.39.071,0.041,-0.061,0.915,0.122
1740676479080,2025-02-27T18.14.39.080,0.050,-0.122,0.915,0.122
1740676479090,2025-02-27T18.14.39.090,0.060,0.000,0.793,0.061
1740676479101,2025-02-27T18.14.39.101,0.071,0.000,0.915,0.000
1740676479111,2025-02-27T18.14.39.111,0.081,-0.061,0.915,0.061
1740676479121,2025-02-27T18.14.39.121,0.091,-0.122,0.976,0.061
1740676479131,2025-02-27T18.14.39.131,0.101,-0.061,0.854,0.183
1740676479142,2025-02-27T18.14.39.142,0.112,0.000,0.976,0.122
1740676479151,2025-02-27T18.14.39.151,0.121,0.000,0.915,0.061
1740676479161,2025-02-27T18.14.39.161,0.131,0.061,0.915,0.061
1740676479171,2025-02-27T18.14.39.171,0.141,0.061,0.915,0.061
1740676479181,2025-02-27T18.14.39.181,0.151,-0.061,0.915,0.122
1740676479192,2025-02-27T18.14.39.192,0.162,-0.061,0.854,0.061
1740676479202,2025-02-27T18.14.39.202,0.172,0.061,0.915,0.061
1740676479212,2025-02-27T18.14.39.212,0.182,0.000,0.915,0.122
1740676479221,2025-02-27T18.14.39.221,0.191,0.000,0.976,0.122
1740676479231,2025-02-27T18.14.39.231,0.201,0.000,0.915,0.061
1740676479241,2025-02-27T18.14.39.241,0.211,0.000,0.854,-0.061
1740676479252,2025-02-27T18.14.39.252,0.222,-0.061,0.854,0.000
1740676479262,2025-02-27T18.14.39.262,0.232,-0.061,0.976,0.061
1740676479272,2025-02-27T18.14.39.272,0.242,0.061,0.976,0.061
