epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1740676760019,2025-02-27T18.19.20.019,0.000,0.214,-0.095,0.946
1740676760029,2025-02-27T18.19.20.029,0.010,0.215,-0.095,0.957
1740676760038,2025-02-27T18.19.20.038,0.019,0.216,-0.096,0.954
1740676760049,2025-02-27T18.19.20.049,0.030,0.213,-0.094,0.955
1740676760059,2025-02-27T18.19.20.059,0.040,0.214,-0.094,0.952
1740676760069,2025-02-27T18.19.20.069,0.050,0.214,-0.093,0.954
1740676760079,2025-02-27T18.19.20.079,0.060,0.217,-0.092,0.955
1740676760090,2025-02-27T18.19.20.090,0.071,0.214,-0.093,0.952
1740676760100,2025-02-27T18.19.20.100,0.081,0.214,-0.092,0.954
1740676760109,2025-02-27T18.19.20.109,0.090,0.213,-0.094,0.955
1740676760119,2025-02-27T18.19.20.119,0.100,0.213,-0.094,0.955
1740676760129,2025-02-27T18.19.20.129,0.110,0.213,-0.093,0.949
1740676760139,2025-02-27T18.19.20.139,0.120,0.214,-0.092,0.953
1740676760150,2025-02-27T18.19.20.150,0.131,0.214,-0.092,0.954
1740676760160,2025-02-27T18.19.20.160,0.141,0.215,-0.093,0.957
1740676760170,2025-02-27T18.19.20.170,0.151,0.213,-0.093,0.951
1740676760179,2025-02-27T18.19.20.179,0.160,0.214,-0.093,0.952
1740676760189,2025-02-27T18.19.20.189,0.170,0.215,-0.094,0.956
1740676760199,2025-02-27T18.19.20.199,0.180,0.216,-0.093,0.953
1740676760210,2025-02-27T18.19.20.210,0.191,0.213,-0.093,0.955
1740676760220,2025-02-27T18.19.20.220,0.201,0.215,-0.094,0.955
1740676760230,2025-02-27T18.19.20.230,0.211,0.216,-0.093,0.953
1740676760239,2025-02-27T18.19.20.239,0.220,0.216,-0.095,0.954
1740676760249,2025-02-27T18.19.20.249,0.230,0.216,-0.094,0.952
1740676760259,2025-02-27T18.19.20.259,0.240,0.214,-0.093,0.954
1740676760270,2025-02-27T18.19.20.270,0.251,0.218,-0.095,0.956
1740676760280,2025-02-27T18.19.20.280,0.261,0.215,-0.095,0.952
1740676760290,2025-02-27T18.19.20.290,0.271,0.212,-0.094,0.953
1740676760300,2025-02-27T18.19.20.300,0.281,0.214,-0.095,0.954
1740676760309,2025-02-27T18.19.20.309,0.290,0.215,-0.092,0.953
1740676760320,2025-02-27T18.19.20.320,0.301,0.212,-0.092,0.956
1740676760330,2025-02-27T18.19.20.330,0.311,0.214,-0.095,0.954
1740676760340,2025-02-27T18.19.20.340,0.321,0.214,-0.094,0.953
1740676760350,2025-02-27T18.19.20.350,0.331,0.215,-0.094,0.954
1740676760361,2025-02-27T18.19.20.361,0.342,0.215,-0.096,0.954
1740676760371,2025-02-27T18.19.20.371,0.352,0.215,-0.094,0.954
1740676760380,2025-02-27T18.19.20.380,0.361,0.215,-0.094,0.954
1740676760390,2025-02-27T18.19.20.390,0.371,0.213,-0.093,0.955
1740676760400,2025-02-27T18.19.20.400,0.381,0.215,-0.094,0.952
1740676760410,2025-02-27T18.19.20.410,0.391,0.216,-0.094,0.955
1740676760421,2025-02-27T18.19.20.421,0.402,0.213,-0.094,0.955
1740676760431,2025-02-27T18.19.20.431,0.412,0.214,-0.093,0.954
1740676760441,2025-02-27T18.19.20.441,0.422,0.217,-0.093,0.954
1740676760450,2025-02-27T18.19.20.450,0.431,0.214,-0.095,0.956
1740676760460,2025-02-27T18.19.20.460,0.441,0.211,-0.093,0.952
1740676760470,2025-02-27T18.19.20.470,0.451,0.216,-0.093,0.954
1740676760481,2025-02-27T18.19.20.481,0.462,0.212,-0.097,0.948
1740676760491,2025-02-27T18.19.20.491,0.472,0.214,-0.096,0.955
1740676760501,2025-02-27T18.19.20.501,0.482,0.217,-0.091,0.956
1740676760510,2025-02-27T18.19.20.510,0.491,0.215,-0.095,0.951
1740676760520,2025-02-27T18.19.20.520,0.501,0.214,-0.096,0.955
1740676760530,2025-02-27T18.19.20.530,0.511,0.216,-0.094,0.956
1740676760541,2025-02-27T18.19.20.541,0.522,0.214,-0.095,0.954
1740676760551,2025-02-27T18.19.20.551,0.532,0.213,-0.094,0.953
1740676760561,2025-02-27T18.19.20.561,0.542,0.215,-0.095,0.953
1740676760571,2025-02-27T18.19.20.571,0.552,0.213,-0.094,0.954
1740676760580,2025-02-27T18.19.20.580,0.561,0.213,-0.095,0.952
1740676760591,2025-02-27T18.19.20.591,0.572,0.212,-0.094,0.953
1740676760601,2025-02-27T18.19.20.601,0.582,0.216,-0.093,0.952
1740676760611,2025-02-27T18.19.20.611,0.592,0.214,-0.095,0.956
1740676760621,2025-02-27T18.19.20.621,0.602,0.212,-0.095,0.957
1740676760632,2025-02-27T18.19.20.632,0.613,0.214,-0.095,0.953
1740676760642,2025-02-27T18.19.20.642,0.623,0.214,-0.096,0.956
1740676760651,2025-02-27T18.19.20.651,0.632,0.214,-0.094,0.956
1740676760661,2025-02-27T18.19.20.661,0.642,0.215,-0.095,0.955
1740676760671,2025-02-27T18.19.20.671,0.652,0.216,-0.096,0.952
1740676760681,2025-02-27T18.19.20.681,0.662,0.214,-0.094,0.951
1740676760692,2025-02-27T18.19.20.692,0.673,0.211,-0.095,0.951
1740676760702,2025-02-27T18.19.20.702,0.683,0.212,-0.095,0.955
1740676760711,2025-02-27T18.19.20.711,0.692,0.214,-0.096,0.952
1740676760721,2025-02-27T18.19.20.721,0.702,0.212,-0.095,0.955
1740676760731,2025-02-27T18.19.20.731,0.712,0.217,-0.095,0.956
1740676760741,2025-02-27T18.19.20.741,0.722,0.214,-0.097,0.954
1740676760752,2025-02-27T18.19.20.752,0.733,0.215,-0.095,0.954
1740676760762,2025-02-27T18.19.20.762,0.743,0.213,-0.093,0.955
1740676760772,2025-02-27T18.19.20.772,0.753,0.214,-0.097,0.957
1740676760781,2025-02-27T18.19.20.781,0.762,0.216,-0.098,0.957
1740676760791,2025-02-27T18.19.20.791,0.772,0.216,-0.095,0.955
1740676760801,2025-02-27T18.19.20.801,0.782,0.215,-0.094,0.954
1740676760812,2025-02-27T18.19.20.812,0.793,0.214,-0.096,0.953
1740676760822,2025-02-27T18.19.20.822,0.803,0.214,-0.096,0.955
1740676760832,2025-02-27T18.19.20.832,0.813,0.214,-0.097,0.954
1740676760842,2025-02-27T18.19.20.842,0.823,0.215,-0.097,0.953
1740676760851,2025-02-27T18.19.20.851,0.832,0.216,-0.096,0.954
1740676760862,2025-02-27T18.19.20.862,0.843,0.214,-0.097,0.954
1740676760872,2025-02-27T18.19.20.872,0.853,0.210,-0.095,0.954
1740676760882,2025-02-27T18.19.20.882,0.863,0.214,-0.095,0.954
1740676760892,2025-02-27T18.19.20.892,0.873,0.215,-0.095,0.955
1740676760903,2025-02-27T18.19.20.903,0.884,0.212,-0.096,0.956
1740676760913,2025-02-27T18.19.20.913,0.894,0.214,-0.097,0.951
1740676760922,2025-02-27T18.19.20.922,0.903,0.213,-0.097,0.956
1740676760932,2025-02-27T18.19.20.932,0.913,0.212,-0.097,0.955
1740676760942,2025-02-27T18.19.20.942,0.923,0.213,-0.096,0.954
1740676760952,2025-02-27T18.19.20.952,0.933,0.215,-0.097,0.955
1740676760963,2025-02-27T18.19.20.963,0.944,0.214,-0.099,0.953
1740676760973,2025-02-27T18.19.20.973,0.954,0.212,-0.099,0.948
1740676760982,2025-02-27T18.19.20.982,0.963,0.212,-0.096,0.953
1740676760992,2025-02-27T18.19.20.992,0.973,0.215,-0.094,0.953
1740676761002,2025-02-27T18.19.21.002,0.983,0.216,-0.095,0.957
1740676761012,2025-02-27T18.19.21.012,0.993,0.214,-0.095,0.957
1740676761023,2025-02-27T18.19.21.023,1.004,0.215,-0.096,0.952
1740676761033,2025-02-27T18.19.21.033,1.014,0.214,-0.098,0.953
1740676761043,2025-02-27T18.19.21.043,1.024,0.215,-0.094,0.956
1740676761052,2025-02-27T18.19.21.052,1.033,0.215,-0.095,0.952
1740676761062,2025-02-27T18.19.21.062,1.043,0.212,-0.097,0.954
1740676761072,2025-02-27T18.19.21.072,1.053,0.213,-0.096,0.957
1740676761083,2025-02-27T18.19.21.083,1.064,0.214,-0.096,0.957
1740676761093,2025-02-27T18.19.21.093,1.074,0.218,-0.095,0.956
1740676761103,2025-02-27T18.19.21.103,1.084,0.218,-0.095,0.954
1740676761113,2025-02-27T18.19.21.113,1.094,0.212,-0.095,0.952
1740676761122,2025-02-27T18.19.21.122,1.103,0.214,-0.093,0.954
1740676761133,2025-02-27T18.19.21.133,1.114,0.217,-0.094,0.956
1740676761143,2025-02-27T18.19.21.143,1.124,0.212,-0.095,0.959
1740676761153,2025-02-27T18.19.21.153,1.134,0.214,-0.097,0.957
1740676761163,2025-02-27T18.19.21.163,1.144,0.216,-0.094,0.956
1740676761174,2025-02-27T18.19.21.174,1.155,0.216,-0.096,0.955
1740676761184,2025-02-27T18.19.21.184,1.165,0.216,-0.096,0.954
1740676761193,2025-02-27T18.19.21.193,1.174,0.212,-0.094,0.955
1740676761203,2025-02-27T18.19.21.203,1.184,0.214,-0.093,0.955
1740676761213,2025-02-27T18.19.21.213,1.194,0.215,-0.095,0.955
1740676761223,2025-02-27T18.19.21.223,1.204,0.215,-0.095,0.957
1740676761234,2025-02-27T18.19.21.234,1.215,0.214,-0.093,0.956
1740676761244,2025-02-27T18.19.21.244,1.225,0.213,-0.095,0.956
1740676761253,2025-02-27T18.19.21.253,1.234,0.213,-0.094,0.955
1740676761263,2025-02-27T18.19.21.263,1.244,0.214,-0.094,0.954
1740676761273,2025-02-27T18.19.21.273,1.254,0.214,-0.095,0.955
1740676761283,2025-02-27T18.19.21.283,1.264,0.213,-0.093,0.955
1740676761294,2025-02-27T18.19.21.294,1.275,0.213,-0.092,0.952
1740676761304,2025-02-27T18.19.21.304,1.285,0.212,-0.092,0.952
1740676761314,2025-02-27T18.19.21.314,1.295,0.214,-0.096,0.955
1740676761323,2025-02-27T18.19.21.323,1.304,0.216,-0.095,0.954
1740676761333,2025-02-27T18.19.21.333,1.314,0.216,-0.095,0.953
1740676761343,2025-02-27T18.19.21.343,1.324,0.213,-0.095,0.955
1740676761354,2025-02-27T18.19.21.354,1.335,0.213,-0.093,0.954
1740676761364,2025-02-27T18.19.21.364,1.345,0.216,-0.094,0.957
1740676761374,2025-02-27T18.19.21.374,1.355,0.214,-0.093,0.956
1740676761384,2025-02-27T18.19.21.384,1.365,0.216,-0.095,0.954
1740676761393,2025-02-27T18.19.21.393,1.374,0.213,-0.095,0.954
1740676761404,2025-02-27T18.19.21.404,1.385,0.213,-0.094,0.956
1740676761414,2025-02-27T18.19.21.414,1.395,0.215,-0.092,0.955
1740676761424,2025-02-27T18.19.21.424,1.405,0.216,-0.091,0.958
1740676761434,2025-02-27T18.19.21.434,1.415,0.217,-0.096,0.957
1740676761445,2025-02-27T18.19.21.445,1.426,0.215,-0.094,0.955
1740676761453,2025-02-27T18.19.21.453,1.434,0.214,-0.094,0.953
1740676761464,2025-02-27T18.19.21.464,1.445,0.214,-0.095,0.955
1740676761474,2025-02-27T18.19.21.474,1.455,0.214,-0.095,0.953
1740676761484,2025-02-27T18.19.21.484,1.465,0.212,-0.094,0.953
1740676761494,2025-02-27T18.19.21.494,1.475,0.214,-0.094,0.956
1740676761505,2025-02-27T18.19.21.505,1.486,0.215,-0.093,0.956
1740676761515,2025-02-27T18.19.21.515,1.496,0.213,-0.094,0.955
1740676761524,2025-02-27T18.19.21.524,1.505,0.217,-0.093,0.956
1740676761534,2025-02-27T18.19.21.534,1.515,0.215,-0.093,0.956
1740676761544,2025-02-27T18.19.21.544,1.525,0.213,-0.094,0.952
1740676761554,2025-02-27T18.19.21.554,1.535,0.212,-0.094,0.956
1740676761565,2025-02-27T18.19.21.565,1.546,0.214,-0.094,0.956
1740676761575,2025-02-27T18.19.21.575,1.556,0.216,-0.092,0.955
1740676761585,2025-02-27T18.19.21.585,1.566,0.215,-0.094,0.954
1740676761594,2025-02-27T18.19.21.594,1.575,0.214,-0.095,0.958
1740676761604,2025-02-27T18.19.21.604,1.585,0.215,-0.094,0.958
1740676761614,2025-02-27T18.19.21.614,1.595,0.213,-0.094,0.954
1740676761625,2025-02-27T18.19.21.625,1.606,0.216,-0.091,0.954
1740676761635,2025-02-27T18.19.21.635,1.616,0.215,-0.092,0.953
1740676761645,2025-02-27T18.19.21.645,1.626,0.214,-0.094,0.955
1740676761655,2025-02-27T18.19.21.655,1.636,0.215,-0.094,0.956
1740676761664,2025-02-27T18.19.21.664,1.645,0.215,-0.093,0.955
1740676761675,2025-02-27T18.19.21.675,1.656,0.215,-0.092,0.957
1740676761685,2025-02-27T18.19.21.685,1.666,0.216,-0.092,0.954
1740676761695,2025-02-27T18.19.21.695,1.676,0.217,-0.093,0.956
1740676761705,2025-02-27T18.19.21.705,1.686,0.215,-0.096,0.955
1740676761716,2025-02-27T18.19.21.716,1.697,0.216,-0.093,0.956
1740676761724,2025-02-27T18.19.21.724,1.705,0.213,-0.094,0.954
1740676761735,2025-02-27T18.19.21.735,1.716,0.213,-0.093,0.954
1740676761745,2025-02-27T18.19.21.745,1.726,0.214,-0.092,0.958
1740676761755,2025-02-27T18.19.21.755,1.736,0.213,-0.093,0.953
1740676761765,2025-02-27T18.19.21.765,1.746,0.211,-0.094,0.951
1740676761776,2025-02-27T18.19.21.776,1.757,0.213,-0.093,0.956
1740676761786,2025-02-27T18.19.21.786,1.767,0.213,-0.094,0.957
1740676761795,2025-02-27T18.19.21.795,1.776,0.214,-0.094,0.956
1740676761805,2025-02-27T18.19.21.805,1.786,0.215,-0.094,0.958
1740676761815,2025-02-27T18.19.21.815,1.796,0.214,-0.094,0.956
1740676761825,2025-02-27T18.19.21.825,1.806,0.215,-0.092,0.955
1740676761836,2025-02-27T18.19.21.836,1.817,0.215,-0.094,0.952
1740676761846,2025-02-27T18.19.21.846,1.827,0.213,-0.094,0.955
1740676761856,2025-02-27T18.19.21.856,1.837,0.214,-0.096,0.956
1740676761865,2025-02-27T18.19.21.865,1.846,0.215,-0.093,0.956
1740676761875,2025-02-27T18.19.21.875,1.856,0.214,-0.092,0.955
1740676761885,2025-02-27T18.19.21.885,1.866,0.212,-0.093,0.955
1740676761896,2025-02-27T18.19.21.896,1.877,0.212,-0.093,0.955
1740676761906,2025-02-27T18.19.21.906,1.887,0.214,-0.093,0.955
1740676761916,2025-02-27T18.19.21.916,1.897,0.215,-0.093,0.954
1740676761925,2025-02-27T18.19.21.925,1.906,0.214,-0.092,0.955
1740676761935,2025-02-27T18.19.21.935,1.916,0.215,-0.092,0.955
1740676761946,2025-02-27T18.19.21.946,1.927,0.215,-0.094,0.956
1740676761956,2025-02-27T18.19.21.956,1.937,0.217,-0.092,0.953
1740676761966,2025-02-27T18.19.21.966,1.947,0.213,-0.092,0.954
1740676761976,2025-02-27T18.19.21.976,1.957,0.214,-0.092,0.958
1740676761987,2025-02-27T18.19.21.987,1.968,0.213,-0.092,0.958
1740676761995,2025-02-27T18.19.21.995,1.976,0.214,-0.092,0.956
1740676762007,2025-02-27T18.19.22.007,1.988,0.215,-0.092,0.957
1740676762016,2025-02-27T18.19.22.016,1.997,0.214,-0.093,0.953
1740676762026,2025-02-27T18.19.22.026,2.007,0.216,-0.092,0.952
1740676762036,2025-02-27T18.19.22.036,2.017,0.213,-0.095,0.954
1740676762047,2025-02-27T18.19.22.047,2.028,0.211,-0.094,0.956
1740676762057,2025-02-27T18.19.22.057,2.038,0.214,-0.093,0.955
1740676762066,2025-02-27T18.19.22.066,2.047,0.215,-0.092,0.958
1740676762076,2025-02-27T18.19.22.076,2.057,0.215,-0.094,0.951
1740676762086,2025-02-27T18.19.22.086,2.067,0.216,-0.095,0.955
1740676762096,2025-02-27T18.19.22.096,2.077,0.217,-0.094,0.956
1740676762107,2025-02-27T18.19.22.107,2.088,0.213,-0.091,0.956
1740676762117,2025-02-27T18.19.22.117,2.098,0.214,-0.093,0.952
1740676762127,2025-02-27T18.19.22.127,2.108,0.214,-0.092,0.954
1740676762136,2025-02-27T18.19.22.136,2.117,0.211,-0.094,0.954
1740676762146,2025-02-27T18.19.22.146,2.127,0.214,-0.094,0.955
1740676762156,2025-02-27T18.19.22.156,2.137,0.213,-0.093,0.952
1740676762167,2025-02-27T18.19.22.167,2.148,0.213,-0.094,0.953
1740676762177,2025-02-27T18.19.22.177,2.158,0.215,-0.093,0.954
1740676762187,2025-02-27T18.19.22.187,2.168,0.217,-0.093,0.958
1740676762197,2025-02-27T18.19.22.197,2.178,0.215,-0.092,0.955
1740676762206,2025-02-27T18.19.22.206,2.187,0.216,-0.093,0.953
1740676762216,2025-02-27T18.19.22.216,2.197,0.216,-0.094,0.957
1740676762227,2025-02-27T18.19.22.227,2.208,0.216,-0.092,0.956
1740676762237,2025-02-27T18.19.22.237,2.218,0.217,-0.091,0.956
