epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1740775998499,2025-02-28T21.53.18.499,0.000,-0.122,1.341,-0.244
1740775998509,2025-02-28T21.53.18.509,0.010,-0.061,0.915,0.244
1740775998519,2025-02-28T21.53.18.519,0.020,-0.122,1.037,0.061
1740775998530,2025-02-28T21.53.18.530,0.031,-0.122,1.098,0.061
1740775998540,2025-02-28T21.53.18.540,0.041,-0.061,0.976,0.061
1740775998549,2025-02-28T21.53.18.549,0.050,0.061,0.976,0.000
1740775998559,2025-02-28T21.53.18.559,0.060,0.061,1.037,0.061
1740775998569,2025-02-28T21.53.18.569,0.070,0.061,1.098,0.061
1740775998579,2025-02-28T21.53.18.579,0.080,0.000,1.037,0.061
1740775998590,2025-02-28T21.53.18.590,0.091,0.061,0.976,0.061
1740775998600,2025-02-28T21.53.18.600,0.101,0.122,0.915,0.061
1740775998610,2025-02-28T21.53.18.610,0.111,0.183,0.854,0.061
1740775998619,2025-02-28T21.53.18.619,0.120,0.122,0.854,0.061
1740775998629,2025-02-28T21.53.18.629,0.130,0.000,0.854,0.000
1740775998639,2025-02-28T21.53.18.639,0.140,0.122,0.854,0.061
1740775998650,2025-02-28T21.53.18.650,0.151,0.000,0.854,0.061
1740775998660,2025-02-28T21.53.18.660,0.161,-0.183,0.854,0.122
1740775998670,2025-02-28T21.53.18.670,0.171,-0.183,0.915,0.061
1740775998679,2025-02-28T21.53.18.679,0.180,-0.061,0.793,0.000
1740775998689,2025-02-28T21.53.18.689,0.190,-0.061,0.854,0.000
1740775998699,2025-02-28T21.53.18.699,0.200,-0.061,0.732,0.000
1740775998710,2025-02-28T21.53.18.710,0.211,0.000,0.732,0.000
1740775998720,2025-02-28T21.53.18.720,0.221,0.122,0.732,0.000
1740775998730,2025-02-28T21.53.18.730,0.231,0.122,0.671,-0.061
1740775998740,2025-02-28T21.53.18.740,0.241,0.122,0.610,-0.061
1740775998749,2025-02-28T21.53.18.749,0.250,0.122,0.793,0.061
1740775998760,2025-02-28T21.53.18.760,0.261,0.122,0.732,0.000
1740775998770,2025-02-28T21.53.18.770,0.271,0.061,0.610,0.122
1740775998780,2025-02-28T21.53.18.780,0.281,-0.183,0.610,0.061
1740775998790,2025-02-28T21.53.18.790,0.291,-0.244,0.671,0.061
1740775998801,2025-02-28T21.53.18.801,0.302,-0.183,0.671,0.061
1740775998811,2025-02-28T21.53.18.811,0.312,-0.122,0.732,0.000
1740775998820,2025-02-28T21.53.18.820,0.321,-0.061,0.915,0.061
1740775998830,2025-02-28T21.53.18.830,0.331,-0.122,0.793,0.061
1740775998840,2025-02-28T21.53.18.840,0.341,-0.122,0.671,0.061
1740775998850,2025-02-28T21.53.18.850,0.351,-0.122,0.671,0.122
1740775998861,2025-02-28T21.53.18.861,0.362,-0.122,0.671,0.183
1740775998871,2025-02-28T21.53.18.871,0.372,-0.061,0.732,0.061
1740775998881,2025-02-28T21.53.18.881,0.382,-0.061,0.732,0.061
1740775998890,2025-02-28T21.53.18.890,0.391,-0.183,0.732,0.122
1740775998900,2025-02-28T21.53.18.900,0.401,-0.122,0.793,0.122
1740775998910,2025-02-28T21.53.18.910,0.411,-0.122,0.793,0.122
1740775998921,2025-02-28T21.53.18.921,0.422,0.000,0.793,0.061
1740775998931,2025-02-28T21.53.18.931,0.432,0.000,0.854,0.061
1740775998941,2025-02-28T21.53.18.941,0.442,-0.122,0.793,0.061
1740775998950,2025-02-28T21.53.18.950,0.451,-0.122,0.854,0.061
1740775998960,2025-02-28T21.53.18.960,0.461,-0.061,0.793,0.000
1740775998970,2025-02-28T21.53.18.970,0.471,-0.122,0.793,0.183
1740775998981,2025-02-28T21.53.18.981,0.482,-0.122,0.915,0.122
1740775998991,2025-02-28T21.53.18.991,0.492,-0.122,0.915,0.061
1740775999001,2025-02-28T21.53.19.001,0.502,-0.061,0.793,0.061
1740775999011,2025-02-28T21.53.19.011,0.512,-0.061,0.854,0.122
1740775999020,2025-02-28T21.53.19.020,0.521,0.122,0.915,0.122
1740775999031,2025-02-28T21.53.19.031,0.532,0.183,0.793,0.061
1740775999041,2025-02-28T21.53.19.041,0.542,0.061,0.854,0.061
1740775999051,2025-02-28T21.53.19.051,0.552,0.061,0.793,0.122
1740775999061,2025-02-28T21.53.19.061,0.562,0.183,0.793,0.122
1740775999072,2025-02-28T21.53.19.072,0.573,0.061,0.854,0.061
1740775999082,2025-02-28T21.53.19.082,0.583,0.000,0.854,0.000
1740775999091,2025-02-28T21.53.19.091,0.592,0.000,0.915,0.061
1740775999101,2025-02-28T21.53.19.101,0.602,0.000,0.915,0.061
1740775999111,2025-02-28T21.53.19.111,0.612,0.000,0.915,0.061
1740775999121,2025-02-28T21.53.19.121,0.622,0.061,0.976,0.122
1740775999132,2025-02-28T21.53.19.132,0.633,0.122,0.976,0.061
1740775999142,2025-02-28T21.53.19.142,0.643,0.183,0.976,0.000
1740775999151,2025-02-28T21.53.19.151,0.652,0.061,0.915,0.061
1740775999161,2025-02-28T21.53.19.161,0.662,0.122,0.854,0.122
1740775999171,2025-02-28T21.53.19.171,0.672,0.061,0.915,0.061
1740775999181,2025-02-28T21.53.19.181,0.682,0.061,0.854,0.000
1740775999192,2025-02-28T21.53.19.192,0.693,0.122,0.915,0.061
1740775999202,2025-02-28T21.53.19.202,0.703,0.244,0.976,0.061
1740775999212,2025-02-28T21.53.19.212,0.713,0.122,0.915,0.061
1740775999221,2025-02-28T21.53.19.221,0.722,0.061,0.976,0.122
1740775999231,2025-02-28T21.53.19.231,0.732,0.061,1.037,0.061
1740775999241,2025-02-28T21.53.19.241,0.742,0.061,1.098,0.061
1740775999252,2025-02-28T21.53.19.252,0.753,-0.061,0.976,0.122
1740775999262,2025-02-28T21.53.19.262,0.763,-0.061,1.037,0.061
1740775999272,2025-02-28T21.53.19.272,0.773,-0.061,1.037,0.122
1740775999282,2025-02-28T21.53.19.282,0.783,0.000,0.976,0.122
1740775999291,2025-02-28T21.53.19.291,0.792,0.061,0.976,0.061
1740775999302,2025-02-28T21.53.19.302,0.803,-0.061,1.037,0.000
1740775999312,2025-02-28T21.53.19.312,0.813,0.061,1.037,0.000
1740775999322,2025-02-28T21.53.19.322,0.823,0.122,1.037,0.000
1740775999332,2025-02-28T21.53.19.332,0.833,0.061,0.976,0.183
1740775999343,2025-02-28T21.53.19.343,0.844,0.061,0.915,0.061
1740775999353,2025-02-28T21.53.19.353,0.854,0.061,0.976,0.000
1740775999362,2025-02-28T21.53.19.362,0.863,0.122,1.098,0.122
1740775999372,2025-02-28T21.53.19.372,0.873,0.000,1.037,0.122
1740775999382,2025-02-28T21.53.19.382,0.883,0.000,1.037,0.122
1740775999392,2025-02-28T21.53.19.392,0.893,0.061,0.976,0.122
1740775999403,2025-02-28T21.53.19.403,0.904,0.000,1.037,0.183
1740775999413,2025-02-28T21.53.19.413,0.914,0.000,1.037,0.061
1740775999422,2025-02-28T21.53.19.422,0.923,0.000,1.037,0.183
1740775999432,2025-02-28T21.53.19.432,0.933,0.000,0.976,0.122
1740775999442,2025-02-28T21.53.19.442,0.943,-0.061,1.037,0.122
1740775999452,2025-02-28T21.53.19.452,0.953,0.061,0.976,0.122
1740775999463,2025-02-28T21.53.19.463,0.964,0.061,1.037,0.122
1740775999473,2025-02-28T21.53.19.473,0.974,-0.061,1.037,0.061
1740775999483,2025-02-28T21.53.19.483,0.984,-0.061,1.037,0.000
1740775999492,2025-02-28T21.53.19.492,0.993,0.000,0.976,0.000
1740775999502,2025-02-28T21.53.19.502,1.003,0.000,1.037,0.061
1740775999512,2025-02-28T21.53.19.512,1.013,0.000,1.037,0.122
1740775999523,2025-02-28T21.53.19.523,1.024,0.000,1.098,0.122
1740775999533,2025-02-28T21.53.19.533,1.034,-0.061,1.037,0.183
1740775999543,2025-02-28T21.53.19.543,1.044,-0.122,0.976,0.244
1740775999553,2025-02-28T21.53.19.553,1.054,0.000,1.098,0.122
1740775999562,2025-02-28T21.53.19.562,1.063,0.000,0.915,0.122
1740775999573,2025-02-28T21.53.19.573,1.074,0.061,0.976,0.061
1740775999583,2025-02-28T21.53.19.583,1.084,0.244,1.037,0.122
1740775999593,2025-02-28T21.53.19.593,1.094,0.244,0.915,0.122
1740775999603,2025-02-28T21.53.19.603,1.104,0.061,0.915,0.061
1740775999614,2025-02-28T21.53.19.614,1.115,0.061,0.854,0.000
1740775999624,2025-02-28T21.53.19.624,1.125,0.000,0.976,0.000
1740775999633,2025-02-28T21.53.19.633,1.134,0.061,0.915,0.061
1740775999643,2025-02-28T21.53.19.643,1.144,0.061,0.854,0.061
1740775999653,2025-02-28T21.53.19.653,1.154,0.061,0.915,0.122
1740775999663,2025-02-28T21.53.19.663,1.164,0.061,0.915,0.122
1740775999674,2025-02-28T21.53.19.674,1.175,0.122,0.915,0.183
1740775999684,2025-02-28T21.53.19.684,1.185,0.244,0.854,0.122
1740775999693,2025-02-28T21.53.19.693,1.194,0.244,0.976,0.122
1740775999703,2025-02-28T21.53.19.703,1.204,0.183,0.915,0.122
1740775999713,2025-02-28T21.53.19.713,1.214,0.183,0.854,0.061
1740775999723,2025-02-28T21.53.19.723,1.224,0.183,0.915,0.000
1740775999734,2025-02-28T21.53.19.734,1.235,0.244,0.976,0.061
1740775999744,2025-02-28T21.53.19.744,1.245,0.183,0.854,0.000
1740775999754,2025-02-28T21.53.19.754,1.255,0.244,0.854,0.061
1740775999763,2025-02-28T21.53.19.763,1.264,0.122,0.915,0.244
1740775999773,2025-02-28T21.53.19.773,1.274,0.122,0.915,0.122
1740775999783,2025-02-28T21.53.19.783,1.284,0.061,0.915,0.122
1740775999794,2025-02-28T21.53.19.794,1.295,0.122,0.793,0.061
1740775999804,2025-02-28T21.53.19.804,1.305,0.122,0.793,0.061
1740775999814,2025-02-28T21.53.19.814,1.315,0.000,0.915,0.061
1740775999824,2025-02-28T21.53.19.824,1.325,0.061,0.915,0.000
1740775999833,2025-02-28T21.53.19.833,1.334,0.061,0.915,0.122
1740775999844,2025-02-28T21.53.19.844,1.345,0.000,0.976,0.000
1740775999854,2025-02-28T21.53.19.854,1.355,0.122,0.854,0.061
1740775999864,2025-02-28T21.53.19.864,1.365,0.122,0.854,0.061
1740775999874,2025-02-28T21.53.19.874,1.375,0.122,0.793,0.061
1740775999885,2025-02-28T21.53.19.885,1.386,0.000,0.854,0.000
1740775999895,2025-02-28T21.53.19.895,1.396,0.000,0.976,0.122
1740775999904,2025-02-28T21.53.19.904,1.405,-0.122,0.976,0.122
1740775999914,2025-02-28T21.53.19.914,1.415,-0.061,0.915,0.122
1740775999924,2025-02-28T21.53.19.924,1.425,0.061,0.854,0.000
1740775999934,2025-02-28T21.53.19.934,1.435,0.000,0.915,0.061
1740775999945,2025-02-28T21.53.19.945,1.446,0.061,0.854,0.000
1740775999955,2025-02-28T21.53.19.955,1.456,0.122,0.793,0.061
1740775999964,2025-02-28T21.53.19.964,1.465,0.000,0.854,0.061
