Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,-0.366,0.854,-0.183,0.254,-0.098,0.941
0.003,-0.244,1.098,0.427,0.255,-0.097,0.952
0.007,0.061,0.793,0.061,0.253,-0.099,0.947
0.01,-0.061,1.037,0.061,0.254,-0.1,0.952
0.015,-0.122,0.732,0.061,0.253,-0.095,0.95
0.018,-0.244,0.854,0.0,0.257,-0.1,0.951
0.021,-0.366,0.793,-0.061,0.254,-0.096,0.952
0.025,-0.061,0.793,0.122,0.256,-0.096,0.956
0.028,0.061,0.915,0.183,0.253,-0.097,0.955
0.032,-0.122,0.976,0.183,0.26,-0.1,0.951
0.035,-0.061,0.793,0.122,0.258,-0.101,0.952
0.038,-0.183,0.915,-0.061,0.255,-0.101,0.957
0.045,-0.061,0.915,0.0,0.256,-0.102,0.952
0.05,-0.061,0.915,-0.061,0.258,-0.1,0.95
0.053,0.183,0.854,-0.061,0.257,-0.1,0.953
0.056,-0.061,0.671,0.061,0.256,-0.097,0.954
0.06,0.122,0.732,0.122,0.26,-0.097,0.947
0.063,0.0,0.671,-0.061,0.257,-0.098,0.953
0.067,0.061,0.732,0.183,0.255,-0.097,0.953
0.07,-0.061,0.61,0.061,0.254,-0.099,0.948
0.073,-0.122,0.671,0.0,0.255,-0.101,0.946
0.078,-0.122,0.793,0.061,0.25,-0.099,0.945
0.081,0.061,0.732,0.061,0.253,-0.102,0.952
0.085,-0.061,0.793,0.061,0.259,-0.098,0.937
0.088,0.061,0.61,-0.061,0.254,-0.102,0.945
0.091,-0.061,0.793,0.0,0.254,-0.102,0.949
0.095,-0.061,0.427,0.0,0.255,-0.096,0.949
0.098,-0.061,0.854,-0.183,0.254,-0.098,0.951
0.103,-0.061,0.793,-0.122,0.256,-0.102,0.949
0.108,0.0,0.854,0.0,0.252,-0.102,0.949
0.113,-0.122,0.854,-0.122,0.259,-0.098,0.947
0.116,-0.183,0.854,0.061,0.255,-0.096,0.948
0.12,-0.244,0.854,0.061,0.259,-0.101,0.946
0.123,-0.061,0.915,0.061,0.257,-0.101,0.95
0.126,-0.122,0.915,0.0,0.259,-0.1,0.955
