Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,-0.061,0.854,-0.122,0.256,-0.174,0.938
0.031,-0.061,0.915,0.122,0.258,-0.175,0.945
0.041,0.0,0.854,-0.061,0.258,-0.176,0.941
0.091,-0.061,0.915,0.061,0.258,-0.175,0.943
0.101,-0.061,0.915,0.122,0.258,-0.177,0.943
0.151,-0.061,0.976,0.122,0.259,-0.177,0.942
0.161,0.061,0.976,0.0,0.256,-0.176,0.941
0.211,0.061,0.915,0.122,0.259,-0.177,0.941
0.221,0.0,0.915,0.0,0.256,-0.176,0.942
0.271,0.122,0.915,0.061,0.252,-0.175,0.94
0.302,-0.061,0.854,0.183,0.259,-0.177,0.943
0.312,-0.061,0.854,0.122,0.258,-0.174,0.942
0.362,-0.122,0.976,0.122,0.256,-0.175,0.942
0.372,-0.122,0.976,0.061,0.257,-0.176,0.942
0.422,0.061,0.976,0.061,0.256,-0.177,0.941
0.432,0.061,0.915,0.061,0.255,-0.177,0.941
0.482,0.061,0.915,0.061,0.256,-0.175,0.944
0.492,0.122,0.976,0.122,0.258,-0.175,0.944
0.542,0.0,0.854,0.0,0.259,-0.177,0.943
0.573,0.0,0.976,0.061,0.258,-0.173,0.944
0.602,0.0,0.915,0.061,0.257,-0.176,0.943
0.633,0.0,0.915,0.061,0.257,-0.176,0.942
0.643,0.0,0.854,0.061,0.258,-0.175,0.942
0.693,-0.061,0.915,0.061,0.257,-0.174,0.942
0.703,-0.122,0.915,0.061,0.259,-0.175,0.943
0.753,0.061,0.976,0.061,0.261,-0.175,0.942
0.763,0.0,0.915,0.061,0.257,-0.175,0.945
0.803,-0.061,0.915,0.122,0.258,-0.176,0.944
0.813,0.0,0.915,0.061,0.258,-0.177,0.94
0.844,-0.061,0.976,0.061,0.256,-0.175,0.943
0.873,-0.061,0.915,0.061,0.257,-0.176,0.941
0.904,0.061,0.976,0.061,0.256,-0.176,0.944
0.914,0.0,0.915,0.0,0.257,-0.176,0.945
0.964,0.061,0.915,0.061,0.258,-0.175,0.943
0.974,0.0,0.854,0.061,0.259,-0.174,0.944
1.024,-0.061,0.976,0.061,0.253,-0.176,0.943
1.034,0.0,0.915,0.122,0.256,-0.176,0.944
1.074,-0.061,0.854,0.122,0.257,-0.176,0.944
1.084,0.061,0.854,0.061,0.256,-0.177,0.944
1.115,0.0,0.915,0.0,0.258,-0.177,0.943
1.144,0.0,0.915,0.122,0.255,-0.175,0.94
1.175,-0.061,0.854,0.061,0.26,-0.175,0.944
1.185,-0.061,0.915,0.122,0.257,-0.175,0.944
1.235,0.0,0.854,0.061,0.257,-0.175,0.944
1.245,-0.122,0.915,0.183,0.259,-0.177,0.944
1.295,-0.061,0.915,0.061,0.259,-0.177,0.942
1.305,-0.122,0.915,0.061,0.259,-0.178,0.944
1.345,-0.122,0.915,0.0,0.255,-0.177,0.943
1.355,0.0,0.854,0.061,0.255,-0.177,0.941
1.386,0.0,0.976,0.061,0.258,-0.177,0.944
1.415,0.0,0.915,0.122,0.258,-0.176,0.942
1.446,-0.061,0.915,0.0,0.257,-0.177,0.942
1.475,-0.061,0.915,0.061,0.257,-0.175,0.944
1.506,0.061,0.854,0.061,0.257,-0.175,0.941
1.516,0.0,0.915,0.0,0.254,-0.177,0.942
