Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,0.0,0.61,0.122,0.256,-0.127,0.938
0.003,0.122,0.793,0.0,0.259,-0.13,0.941
0.011,-0.061,0.732,0.183,0.265,-0.131,0.945
0.014,0.0,0.854,0.122,0.266,-0.131,0.944
0.025,0.183,0.732,0.0,0.265,-0.134,0.948
0.028,0.061,0.915,0.122,0.261,-0.133,0.946
0.035,0.061,0.854,0.183,0.267,-0.13,0.95
0.038,-0.183,0.732,0.183,0.261,-0.13,0.946
0.053,0.061,0.732,0.122,0.259,-0.131,0.941
0.06,0.183,0.671,0.061,0.257,-0.127,0.949
0.063,-0.122,0.854,0.183,0.26,-0.13,0.95
0.074,0.0,0.671,0.061,0.259,-0.13,0.949
0.088,0.061,0.854,0.122,0.261,-0.131,0.947
0.091,0.061,0.793,0.122,0.259,-0.131,0.938
0.098,0.061,0.732,0.122,0.264,-0.126,0.95
0.113,0.061,0.976,0.122,0.258,-0.129,0.95
0.123,-0.061,0.854,0.0,0.264,-0.129,0.945
0.126,0.0,0.854,0.122,0.257,-0.13,0.948
0.137,0.061,0.793,0.122,0.26,-0.127,0.954
0.148,-0.061,0.732,0.183,0.26,-0.13,0.946
0.151,0.122,1.037,0.061,0.259,-0.133,0.943
0.159,-0.122,0.793,0.244,0.261,-0.13,0.945
0.176,-0.244,0.793,0.061,0.261,-0.125,0.945
0.183,-0.122,0.793,0.183,0.259,-0.126,0.951
0.186,0.0,0.854,0.244,0.26,-0.13,0.943
0.2,-0.122,0.854,0.061,0.258,-0.128,0.941
0.211,0.061,0.854,0.122,0.266,-0.128,0.95
0.214,-0.122,0.793,0.122,0.264,-0.129,0.947
0.222,0.0,0.976,0.122,0.264,-0.129,0.941
0.236,-0.122,0.732,0.122,0.265,-0.13,0.947
0.239,-0.183,0.671,0.122,0.263,-0.131,0.948
0.243,0.0,0.732,0.122,0.257,-0.131,0.947
0.246,-0.061,0.854,0.366,0.26,-0.131,0.947
0.261,-0.122,0.976,0.244,0.256,-0.128,0.948
0.271,-0.244,0.488,0.183,0.26,-0.126,0.948
0.274,-0.122,0.854,0.183,0.257,-0.128,0.947
0.282,-0.061,0.915,0.244,0.258,-0.128,0.946
0.296,0.061,0.793,0.183,0.259,-0.13,0.947
0.299,0.0,0.854,0.183,0.267,-0.134,0.94
0.306,0.122,0.732,0.122,0.26,-0.129,0.945
0.309,0.061,1.037,0.122,0.265,-0.134,0.947
0.323,0.122,0.854,0.122,0.26,-0.126,0.946
0.331,0.061,0.61,0.244,0.257,-0.132,0.943
0.334,0.0,0.854,0.061,0.256,-0.13,0.944
0.345,0.244,0.793,0.244,0.264,-0.135,0.934
0.359,-0.061,0.732,0.244,0.267,-0.129,0.944
0.362,-0.061,0.915,0.0,0.259,-0.126,0.945
0.369,0.122,0.854,0.183,0.267,-0.133,0.949
0.384,0.122,0.793,0.244,0.265,-0.132,0.949
0.394,0.061,0.915,0.122,0.261,-0.132,0.946
0.397,-0.061,0.793,0.122,0.257,-0.13,0.948
0.408,0.122,0.854,0.0,0.261,-0.126,0.947
0.419,0.122,0.732,0.183,0.261,-0.133,0.945
0.422,0.061,0.793,-0.061,0.265,-0.127,0.947
0.432,0.244,0.61,0.122,0.262,-0.13,0.949
0.447,-0.122,0.793,0.183,0.254,-0.131,0.945
0.454,0.122,0.854,0.366,0.263,-0.128,0.944
0.457,0.0,0.854,0.061,0.26,-0.133,0.948
0.471,-0.061,0.976,0.244,0.258,-0.124,0.938
0.482,0.0,0.61,0.122,0.258,-0.13,0.943
0.485,-0.061,0.793,0.122,0.26,-0.129,0.946
0.493,0.0,0.976,0.061,0.266,-0.128,0.947
