Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,0.0,0.427,0.061,0.271,-0.146,0.936
0.01,-0.122,0.854,0.122,0.271,-0.146,0.943
0.06,0.0,0.915,0.061,0.274,-0.146,0.94
0.07,0.061,0.976,0.0,0.277,-0.146,0.94
0.101,0.122,0.976,0.0,0.273,-0.146,0.94
0.151,0.122,0.976,0.0,0.272,-0.146,0.941
0.161,0.061,0.915,0.0,0.274,-0.143,0.941
0.211,0.061,0.915,0.061,0.272,-0.146,0.941
0.221,0.061,0.854,0.122,0.273,-0.147,0.942
0.271,0.0,1.098,0.061,0.273,-0.145,0.938
0.281,0.061,1.098,0.122,0.273,-0.145,0.94
0.331,0.061,1.037,0.122,0.273,-0.144,0.943
0.341,0.061,1.037,0.061,0.276,-0.147,0.944
0.391,0.0,0.976,0.0,0.273,-0.147,0.94
0.422,0.122,1.037,0.061,0.275,-0.144,0.94
0.432,0.061,0.976,0.061,0.275,-0.145,0.94
0.482,0.122,1.037,0.0,0.273,-0.146,0.941
0.492,0.061,0.976,0.0,0.274,-0.146,0.943
0.542,0.122,0.854,0.061,0.272,-0.146,0.942
0.552,0.0,0.915,0.061,0.273,-0.146,0.941
0.602,0.0,0.854,0.122,0.273,-0.143,0.942
0.612,-0.061,0.854,0.122,0.273,-0.145,0.943
0.662,-0.183,0.915,0.0,0.274,-0.145,0.943
0.693,-0.244,0.915,0.122,0.275,-0.145,0.939
0.703,-0.122,0.915,0.183,0.273,-0.145,0.943
0.753,-0.122,0.976,0.122,0.272,-0.146,0.941
0.763,-0.122,1.098,0.061,0.273,-0.145,0.943
0.813,-0.122,0.915,0.122,0.274,-0.146,0.941
0.823,-0.183,0.915,0.122,0.275,-0.145,0.937
0.873,-0.183,0.976,0.183,0.275,-0.143,0.941
0.883,-0.183,0.915,0.122,0.271,-0.145,0.941
0.933,-0.122,0.915,0.0,0.271,-0.145,0.94
0.964,0.0,0.915,0.061,0.273,-0.146,0.942
0.974,0.0,0.915,0.061,0.272,-0.145,0.941
1.024,0.183,0.976,0.061,0.273,-0.145,0.943
1.034,0.122,1.037,0.0,0.274,-0.145,0.942
1.084,0.122,0.854,0.061,0.275,-0.146,0.942
1.094,0.122,0.854,0.061,0.273,-0.146,0.94
1.144,0.0,0.915,0.122,0.272,-0.146,0.944
1.154,0.061,0.976,0.061,0.273,-0.145,0.943
1.204,0.0,0.976,0.061,0.275,-0.146,0.941
1.235,0.0,0.976,0.122,0.273,-0.144,0.946
1.245,0.061,0.915,0.122,0.273,-0.146,0.942
1.295,-0.061,1.098,0.061,0.276,-0.147,0.942
1.305,0.0,1.037,0.0,0.271,-0.146,0.939
1.355,0.0,0.976,0.122,0.274,-0.144,0.944
1.365,-0.061,1.098,0.122,0.272,-0.146,0.943
1.415,0.0,0.915,0.061,0.273,-0.146,0.942
1.425,-0.061,0.976,0.061,0.273,-0.145,0.943
1.456,0.122,0.976,0.0,0.271,-0.146,0.941
1.506,0.244,0.915,0.0,0.272,-0.146,0.941
1.516,0.183,0.915,-0.122,0.272,-0.145,0.941
1.566,0.305,0.915,0.0,0.274,-0.145,0.941
1.576,0.305,1.037,0.0,0.273,-0.146,0.942
1.626,0.305,0.732,0.0,0.273,-0.146,0.941
1.636,0.244,0.854,0.0,0.274,-0.145,0.941
1.686,0.061,0.793,0.061,0.272,-0.145,0.941
1.696,0.061,0.732,0.122,0.274,-0.144,0.942
1.746,0.061,0.793,0.061,0.273,-0.145,0.941
1.756,0.122,0.915,0.122,0.275,-0.144,0.941
1.787,0.0,0.976,0.061,0.274,-0.146,0.942
1.837,0.122,0.915,0.122,0.272,-0.143,0.939
1.847,0.122,0.915,0.0,0.272,-0.145,0.942
1.897,0.183,0.915,0.122,0.273,-0.144,0.94
1.907,0.183,0.976,0.061,0.273,-0.145,0.943
1.957,0.122,0.976,0.061,0.274,-0.143,0.943
1.967,0.122,0.915,0.122,0.274,-0.143,0.941
2.017,0.0,0.915,0.061,0.272,-0.141,0.943
2.027,0.0,0.854,0.061,0.274,-0.145,0.944
2.058,0.0,0.915,0.122,0.272,-0.144,0.942
2.108,0.061,0.854,0.061,0.274,-0.143,0.943
2.118,-0.061,0.854,0.061,0.271,-0.142,0.941
2.168,0.061,0.732,0.122,0.272,-0.144,0.943
2.178,0.061,0.854,0.061,0.272,-0.141,0.943
2.228,-0.061,0.915,0.061,0.273,-0.144,0.942
2.238,0.0,1.037,0.061,0.271,-0.145,0.941
2.288,-0.061,0.854,0.183,0.272,-0.143,0.941
2.298,-0.122,0.976,0.183,0.273,-0.142,0.942
2.329,0.122,0.976,0.0,0.273,-0.146,0.943
2.379,-0.061,1.037,0.122,0.274,-0.146,0.947
2.389,-0.122,0.976,0.244,0.277,-0.145,0.945
2.439,0.0,0.915,0.122,0.274,-0.144,0.938
2.449,0.061,0.915,0.061,0.272,-0.145,0.941
2.499,-0.122,0.854,0.122,0.273,-0.143,0.944
2.509,-0.122,0.854,0.183,0.271,-0.145,0.943
2.559,-0.061,0.793,0.183,0.275,-0.144,0.942
2.569,0.0,0.732,0.183,0.273,-0.144,0.944
2.6,-0.122,0.732,0.122,0.272,-0.143,0.946
2.65,-0.183,0.854,0.122,0.271,-0.144,0.94
2.66,-0.183,0.854,0.122,0.274,-0.146,0.943
2.71,-0.061,0.915,0.122,0.274,-0.145,0.942
2.72,0.0,0.976,0.122,0.273,-0.142,0.94
2.77,-0.061,0.976,0.122,0.274,-0.146,0.942
2.78,-0.122,0.915,0.061,0.273,-0.144,0.944
2.83,-0.061,0.915,0.122,0.272,-0.144,0.94
2.84,-0.061,0.854,0.122,0.272,-0.144,0.942
2.871,0.0,0.854,0.061,0.274,-0.145,0.943
2.921,-0.122,0.915,0.122,0.271,-0.146,0.94
2.931,-0.061,0.915,0.122,0.273,-0.145,0.944
2.981,-0.061,1.037,0.183,0.276,-0.145,0.944
2.991,-0.061,1.098,0.122,0.275,-0.146,0.943
3.041,0.061,0.976,0.122,0.271,-0.144,0.94
3.051,0.122,0.915,0.122,0.275,-0.144,0.942
3.082,0.0,0.976,0.061,0.274,-0.144,0.943
3.101,0.061,0.915,0.061,0.272,-0.143,0.944
3.111,0.061,0.915,0.061,0.273,-0.145,0.942
3.142,0.0,0.976,0.122,0.273,-0.146,0.944
3.192,-0.061,0.915,0.183,0.276,-0.144,0.942
3.202,0.0,0.915,0.122,0.272,-0.143,0.942
3.252,0.0,0.915,0.122,0.272,-0.145,0.942
3.262,0.061,0.915,0.061,0.273,-0.141,0.943
3.312,-0.122,0.915,0.122,0.273,-0.144,0.94
3.322,-0.122,0.915,0.061,0.271,-0.143,0.939
3.372,-0.122,0.976,0.061,0.274,-0.144,0.943
3.382,0.0,0.915,0.122,0.275,-0.145,0.943
3.413,0.0,1.098,0.122,0.276,-0.144,0.944
3.463,0.0,0.976,0.061,0.273,-0.146,0.94
3.473,0.0,0.976,0.122,0.276,-0.141,0.944
3.523,0.0,0.976,0.061,0.272,-0.144,0.942
3.533,0.0,1.037,0.122,0.275,-0.144,0.941
3.583,0.061,0.854,0.122,0.273,-0.145,0.943
3.593,0.122,0.854,0.122,0.272,-0.145,0.94
