Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,1.768,3.415,-1.037,0.277,-0.125,0.936
0.003,0.793,2.744,-0.671,0.28,-0.124,0.947
0.006,-0.122,0.793,0.183,0.279,-0.128,0.943
0.009,0.061,0.915,0.061,0.282,-0.128,0.936
0.01,0.183,1.22,0.305,0.279,-0.125,0.943
0.013,0.122,1.22,0.183,0.278,-0.126,0.943
0.016,0.183,1.22,0.183,0.282,-0.125,0.943
0.018,0.244,1.098,0.061,0.282,-0.127,0.944
0.021,0.0,1.159,0.061,0.283,-0.125,0.94
0.028,-0.122,0.976,0.122,0.283,-0.127,0.938
0.031,-0.183,0.976,0.0,0.279,-0.125,0.936
0.034,-0.061,1.098,0.061,0.278,-0.124,0.947
0.035,0.122,0.976,0.061,0.282,-0.127,0.946
0.038,0.061,1.037,0.061,0.279,-0.124,0.94
0.041,0.061,1.037,0.061,0.279,-0.125,0.941
0.044,0.0,1.037,0.0,0.275,-0.123,0.943
0.051,-0.061,0.976,0.0,0.28,-0.129,0.938
0.053,-0.183,1.098,0.122,0.277,-0.12,0.946
0.056,-0.061,0.915,0.061,0.281,-0.126,0.944
0.059,-0.061,0.976,0.122,0.281,-0.125,0.939
0.062,0.0,1.28,0.061,0.278,-0.128,0.938
0.063,0.122,1.159,0.061,0.281,-0.128,0.94
0.066,0.122,1.037,0.122,0.277,-0.124,0.943
0.069,0.183,1.159,-0.061,0.277,-0.125,0.94
0.07,0.183,1.098,0.061,0.277,-0.122,0.938
0.073,0.0,1.098,0.183,0.284,-0.125,0.943
0.076,0.0,1.098,-0.061,0.278,-0.128,0.94
0.079,0.244,1.037,0.0,0.281,-0.127,0.939
0.081,0.305,0.915,0.244,0.28,-0.127,0.941
0.084,0.061,1.159,0.0,0.285,-0.121,0.938
0.091,0.0,1.098,0.122,0.279,-0.124,0.935
0.094,0.061,1.098,0.122,0.282,-0.128,0.943
0.097,0.0,0.976,0.061,0.281,-0.126,0.941
0.098,-0.183,1.037,0.061,0.275,-0.128,0.945
0.101,0.061,1.037,0.061,0.277,-0.127,0.944
0.104,-0.122,0.976,0.061,0.279,-0.127,0.938
0.111,-0.061,0.854,0.061,0.282,-0.125,0.938
0.114,-0.061,0.915,0.0,0.281,-0.128,0.944
0.116,0.122,0.915,0.0,0.279,-0.125,0.947
0.119,0.0,0.976,0.061,0.28,-0.125,0.942
0.122,-0.061,1.159,-0.061,0.278,-0.125,0.938
0.123,0.061,1.22,0.061,0.276,-0.127,0.942
0.126,-0.122,1.098,0.061,0.279,-0.125,0.935
0.129,-0.305,0.915,0.061,0.282,-0.126,0.939
0.132,-0.183,0.915,0.122,0.279,-0.125,0.94
0.133,0.0,1.159,0.122,0.275,-0.123,0.94
0.136,-0.122,1.159,0.061,0.279,-0.126,0.941
0.139,0.061,1.159,0.122,0.276,-0.124,0.943
0.141,-0.061,1.037,0.061,0.281,-0.123,0.943
0.144,0.0,0.976,0.0,0.275,-0.125,0.94
