Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,0.0,1.28,0.183,0.266,-0.131,0.938
0.01,0.122,1.22,-0.244,0.266,-0.131,0.946
0.029,-0.061,0.915,0.061,0.268,-0.131,0.941
0.05,0.0,0.854,0.061,0.267,-0.13,0.941
0.06,-0.122,0.976,0.061,0.266,-0.131,0.946
0.081,0.061,0.976,0.061,0.268,-0.131,0.943
0.1,0.061,0.915,0.183,0.268,-0.129,0.941
0.11,0.0,0.915,0.122,0.266,-0.131,0.94
0.12,0.0,0.915,0.061,0.268,-0.131,0.946
0.141,-0.061,0.976,0.122,0.269,-0.131,0.944
0.16,-0.061,0.854,0.122,0.265,-0.13,0.943
0.17,-0.061,0.854,0.122,0.267,-0.13,0.942
0.18,-0.122,0.854,0.061,0.266,-0.132,0.942
0.201,-0.244,0.915,0.0,0.268,-0.131,0.944
0.211,-0.122,0.915,0.061,0.266,-0.131,0.941
0.23,0.0,0.793,0.122,0.269,-0.131,0.94
0.24,-0.061,0.854,0.122,0.268,-0.131,0.942
0.261,-0.122,0.915,0.122,0.268,-0.13,0.946
0.271,-0.122,0.915,0.122,0.268,-0.13,0.94
0.281,-0.183,0.915,0.183,0.269,-0.131,0.941
0.3,-0.122,0.915,0.183,0.267,-0.133,0.942
0.321,-0.061,0.915,0.061,0.267,-0.131,0.941
0.331,-0.122,0.793,0.183,0.267,-0.132,0.944
0.341,0.0,0.854,0.122,0.269,-0.131,0.942
0.371,-0.061,0.915,0.122,0.268,-0.128,0.944
0.381,0.0,0.915,0.122,0.267,-0.131,0.941
0.391,0.0,0.915,0.122,0.267,-0.13,0.942
0.412,0.061,0.854,0.183,0.266,-0.132,0.943
0.431,0.0,0.976,0.122,0.269,-0.133,0.942
0.441,0.061,0.915,0.061,0.265,-0.131,0.943
0.451,0.0,0.854,0.122,0.267,-0.13,0.943
0.472,0.061,0.915,0.061,0.268,-0.132,0.942
0.482,0.0,0.854,0.122,0.264,-0.132,0.94
0.501,0.061,0.976,0.061,0.268,-0.131,0.942
0.511,0.122,0.915,0.061,0.266,-0.129,0.944
0.532,-0.061,0.915,0.061,0.267,-0.13,0.942
0.542,0.0,0.915,0.061,0.267,-0.13,0.943
0.552,0.061,0.915,0.061,0.269,-0.131,0.943
0.571,-0.061,0.854,0.061,0.265,-0.131,0.943
0.592,0.0,0.976,0.061,0.269,-0.13,0.942
0.602,0.122,0.915,0.061,0.265,-0.133,0.941
0.612,0.122,0.854,0.122,0.266,-0.132,0.944
0.642,0.122,0.915,0.122,0.269,-0.131,0.941
0.652,0.061,0.915,0.122,0.269,-0.131,0.946
0.662,0.122,0.915,0.0,0.267,-0.131,0.944
0.683,0.122,1.037,0.183,0.267,-0.128,0.944
0.702,0.061,0.915,0.122,0.269,-0.131,0.942
0.712,0.061,0.976,0.122,0.267,-0.131,0.944
0.722,0.061,0.915,0.061,0.267,-0.131,0.942
0.743,0.122,0.915,0.122,0.269,-0.132,0.942
0.753,-0.061,0.915,0.061,0.268,-0.131,0.942
0.772,0.061,0.854,0.183,0.267,-0.129,0.944
0.782,0.0,0.854,0.061,0.268,-0.132,0.941
0.803,0.0,0.915,0.0,0.267,-0.13,0.944
0.813,-0.122,0.915,0.122,0.271,-0.129,0.943
0.823,0.0,0.915,0.122,0.269,-0.13,0.945
0.842,-0.061,0.976,0.183,0.266,-0.131,0.943
0.863,-0.122,0.915,0.122,0.268,-0.131,0.94
0.873,-0.122,0.976,0.183,0.266,-0.131,0.941
0.883,-0.122,0.976,0.122,0.264,-0.13,0.943
0.913,-0.061,0.915,0.061,0.266,-0.133,0.941
0.923,0.0,0.915,0.122,0.266,-0.132,0.941
0.933,0.061,0.915,0.061,0.269,-0.13,0.944
0.954,0.0,0.793,0.061,0.267,-0.13,0.947
0.973,-0.061,0.915,0.122,0.267,-0.131,0.939
0.983,0.0,0.854,0.061,0.267,-0.13,0.942
0.993,0.0,0.915,0.061,0.269,-0.132,0.943
1.014,0.061,0.976,0.0,0.267,-0.132,0.944
1.024,0.183,0.976,0.0,0.267,-0.132,0.943
1.043,0.0,0.854,0.183,0.267,-0.131,0.944
1.053,-0.122,0.915,0.122,0.266,-0.13,0.944
1.074,-0.061,0.854,0.061,0.266,-0.13,0.94
1.084,-0.183,0.854,0.061,0.267,-0.13,0.942
1.094,-0.122,0.915,0.061,0.266,-0.13,0.944
1.113,-0.244,0.793,0.0,0.268,-0.132,0.943
1.134,-0.122,0.854,0.122,0.268,-0.129,0.943
1.144,-0.061,0.854,0.061,0.27,-0.129,0.94
1.154,0.0,0.976,0.061,0.266,-0.131,0.943
1.184,0.0,0.915,0.122,0.269,-0.128,0.941
1.194,-0.061,0.915,0.061,0.267,-0.131,0.943
1.204,0.0,0.915,0.122,0.266,-0.131,0.944
1.225,0.061,0.915,0.061,0.264,-0.133,0.94
1.244,0.061,0.915,0.061,0.27,-0.129,0.947
1.254,0.122,0.915,0.061,0.265,-0.132,0.944
1.264,-0.061,1.037,0.183,0.268,-0.131,0.943
1.285,0.122,0.976,0.122,0.263,-0.132,0.943
1.295,0.0,0.915,0.122,0.266,-0.131,0.947
1.314,0.061,0.915,0.061,0.268,-0.131,0.944
1.324,0.061,0.854,0.0,0.268,-0.131,0.944
1.345,0.061,0.854,0.122,0.266,-0.131,0.944
1.355,0.0,0.854,0.061,0.267,-0.133,0.944
1.365,-0.061,0.854,0.183,0.265,-0.133,0.943
1.384,0.061,0.915,0.061,0.268,-0.13,0.946
1.405,-0.061,0.915,0.0,0.266,-0.132,0.942
1.415,0.0,0.915,0.061,0.267,-0.132,0.945
1.425,0.0,0.915,0.061,0.268,-0.131,0.944
1.455,-0.122,0.915,0.061,0.268,-0.132,0.943
1.465,-0.061,0.915,0.061,0.268,-0.133,0.943
1.475,-0.061,0.854,0.061,0.266,-0.13,0.945
1.496,-0.122,0.854,0.122,0.267,-0.13,0.942
1.515,0.061,0.915,0.122,0.266,-0.131,0.944
1.525,-0.061,0.915,0.122,0.266,-0.13,0.943
1.535,-0.061,0.915,0.061,0.267,-0.133,0.945
1.556,0.0,0.793,0.061,0.268,-0.131,0.945
1.566,-0.061,0.854,0.122,0.269,-0.131,0.945
1.585,-0.061,0.976,0.061,0.268,-0.132,0.945
1.595,-0.122,0.915,0.0,0.266,-0.132,0.94
1.616,0.0,0.915,0.061,0.268,-0.131,0.944
1.626,0.0,0.915,0.122,0.269,-0.131,0.946
1.636,0.0,0.915,0.0,0.266,-0.131,0.943
1.655,-0.061,0.854,0.183,0.266,-0.131,0.945
1.676,0.0,0.915,0.061,0.268,-0.131,0.943
1.686,0.0,1.037,0.122,0.268,-0.13,0.946
1.696,-0.061,1.037,0.122,0.268,-0.131,0.941
1.726,-0.061,0.976,0.061,0.267,-0.13,0.941
1.736,0.061,0.976,0.122,0.266,-0.131,0.943
1.746,0.183,0.976,0.183,0.263,-0.132,0.943
1.767,0.0,0.915,0.122,0.267,-0.131,0.944
1.786,0.0,0.976,0.061,0.271,-0.13,0.945
1.796,-0.061,0.915,0.061,0.267,-0.131,0.943
1.806,0.061,0.854,0.183,0.267,-0.131,0.944
1.827,0.061,0.915,0.122,0.268,-0.132,0.942
1.837,0.122,0.915,0.183,0.266,-0.133,0.946
1.856,0.0,1.037,0.061,0.268,-0.129,0.945
1.866,0.0,0.976,0.061,0.269,-0.134,0.945
1.887,0.122,1.037,0.183,0.267,-0.131,0.943
1.897,0.122,0.976,0.183,0.268,-0.131,0.942
1.907,0.0,0.976,0.122,0.265,-0.129,0.942
1.916,0.183,1.037,0.122,0.267,-0.132,0.947
1.926,0.244,0.976,0.0,0.268,-0.134,0.943
1.947,0.366,0.915,0.122,0.267,-0.133,0.945
1.957,0.305,0.854,0.061,0.265,-0.131,0.94
1.967,0.061,0.976,0.061,0.271,-0.13,0.95
1.997,0.061,0.915,0.061,0.267,-0.129,0.944
2.007,0.183,0.854,0.0,0.265,-0.133,0.942
2.017,0.183,0.915,0.0,0.269,-0.129,0.944
2.038,0.183,1.037,0.061,0.269,-0.129,0.946
2.057,0.061,0.915,0.061,0.266,-0.131,0.946
2.067,0.0,0.915,0.122,0.271,-0.13,0.944
2.077,0.0,0.976,0.122,0.268,-0.13,0.944
2.098,0.061,0.854,0.061,0.268,-0.131,0.943
2.108,0.061,0.976,0.061,0.266,-0.132,0.942
