Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,1.951,3.049,-0.915,0.285,-0.113,0.933
0.016,0.122,0.976,0.061,0.289,-0.117,0.942
0.027,-0.061,0.854,0.061,0.29,-0.107,0.938
0.038,-0.122,0.915,0.061,0.289,-0.114,0.945
0.041,-0.061,0.854,0.061,0.287,-0.111,0.943
0.052,0.122,0.854,0.122,0.286,-0.115,0.94
0.063,0.0,0.915,0.183,0.284,-0.114,0.94
0.079,0.061,0.854,0.061,0.284,-0.108,0.941
0.087,-0.061,0.915,0.122,0.283,-0.116,0.936
0.101,0.061,0.915,0.061,0.287,-0.109,0.938
0.104,-0.061,0.854,0.061,0.289,-0.111,0.945
0.115,-0.061,0.793,0.061,0.289,-0.111,0.94
0.123,-0.061,0.915,0.061,0.29,-0.111,0.94
0.14,0.122,0.854,0.061,0.288,-0.112,0.938
0.15,-0.061,0.854,0.061,0.288,-0.111,0.937
0.161,0.0,1.037,0.183,0.287,-0.114,0.944
0.164,-0.122,0.793,0.122,0.29,-0.112,0.942
0.167,0.0,0.854,0.183,0.29,-0.116,0.937
0.175,-0.183,0.915,0.061,0.288,-0.108,0.942
0.186,-0.122,0.915,0.061,0.287,-0.113,0.947
0.203,0.061,0.793,0.122,0.289,-0.111,0.949
0.21,0.0,0.854,0.0,0.287,-0.115,0.943
0.224,0.0,0.915,0.122,0.287,-0.109,0.935
0.227,0.122,1.037,0.183,0.288,-0.112,0.935
0.238,0.0,0.854,0.122,0.288,-0.11,0.944
0.246,0.0,0.854,0.061,0.286,-0.11,0.937
0.249,0.0,1.037,0.122,0.284,-0.113,0.94
0.263,0.244,0.854,-0.061,0.285,-0.109,0.941
0.287,0.061,0.915,0.0,0.288,-0.11,0.941
0.298,0.061,0.854,0.061,0.288,-0.109,0.939
0.309,0.0,0.854,0.061,0.287,-0.111,0.941
0.312,-0.061,0.976,-0.061,0.292,-0.109,0.942
0.323,0.122,0.915,0.244,0.287,-0.108,0.944
0.333,-0.122,1.037,-0.061,0.289,-0.111,0.939
0.35,0.0,0.915,0.183,0.286,-0.108,0.939
0.358,0.0,0.915,0.0,0.286,-0.113,0.936
0.369,0.183,0.915,0.061,0.288,-0.109,0.942
0.372,0.183,0.732,0.061,0.284,-0.112,0.942
0.375,-0.122,0.854,0.0,0.29,-0.11,0.939
0.386,0.0,0.915,0.061,0.286,-0.111,0.942
0.394,-0.183,1.037,0.183,0.289,-0.112,0.945
0.411,-0.061,0.915,0.061,0.289,-0.108,0.94
0.421,-0.122,0.976,0.244,0.291,-0.112,0.934
0.432,0.061,1.098,0.183,0.288,-0.108,0.944
0.435,-0.122,1.037,0.061,0.285,-0.111,0.946
0.446,0.0,0.854,0.061,0.284,-0.113,0.944
0.454,-0.061,0.854,0.183,0.284,-0.113,0.943
0.457,-0.061,0.854,0.061,0.289,-0.111,0.942
0.471,0.061,0.976,0.122,0.286,-0.109,0.939
0.481,0.061,1.159,0.0,0.287,-0.111,0.934
0.49,0.244,0.915,0.122,0.288,-0.11,0.939
0.495,0.122,1.098,0.122,0.291,-0.11,0.941
0.498,0.0,0.915,0.122,0.287,-0.111,0.94
0.506,0.0,0.854,0.061,0.288,-0.113,0.941
0.517,0.0,0.976,0.183,0.283,-0.116,0.943
0.52,0.061,1.098,0.061,0.287,-0.111,0.945
0.534,-0.061,0.915,0.061,0.291,-0.113,0.944
0.542,-0.122,0.976,0.0,0.287,-0.11,0.94
0.558,0.0,0.976,0.0,0.291,-0.108,0.94
0.569,-0.061,0.976,0.183,0.285,-0.114,0.938
0.58,0.0,0.854,0.0,0.283,-0.112,0.935
0.583,0.061,0.854,0.061,0.286,-0.111,0.941
0.594,-0.061,0.976,0.122,0.288,-0.114,0.942
0.604,-0.061,0.854,0.122,0.286,-0.114,0.939
0.621,0.183,0.915,0.061,0.283,-0.115,0.938
0.629,-0.183,0.976,0.0,0.282,-0.115,0.939
0.64,0.061,0.915,0.183,0.287,-0.116,0.943
0.643,0.0,0.976,0.0,0.284,-0.111,0.94
0.646,0.061,0.976,-0.061,0.283,-0.109,0.94
0.654,0.183,0.854,0.061,0.292,-0.113,0.939
0.657,0.183,0.915,0.183,0.289,-0.112,0.938
0.665,0.122,0.915,0.122,0.29,-0.112,0.939
0.673,-0.061,0.915,0.183,0.287,-0.11,0.945
0.682,0.0,0.915,0.061,0.288,-0.112,0.939
0.689,0.122,0.854,0.0,0.284,-0.112,0.941
0.703,0.366,0.976,0.0,0.284,-0.107,0.94
0.706,0.366,0.854,0.061,0.289,-0.111,0.941
0.717,0.0,0.854,-0.061,0.287,-0.11,0.941
0.725,0.122,0.976,-0.061,0.285,-0.109,0.941
0.728,-0.061,0.976,0.122,0.287,-0.109,0.94
0.742,0.122,0.854,0.0,0.283,-0.115,0.944
0.752,-0.061,1.037,0.122,0.289,-0.109,0.939
0.766,-0.061,1.037,0.0,0.287,-0.112,0.939
0.769,0.061,1.098,0.0,0.29,-0.113,0.943
0.777,0.122,0.915,0.061,0.284,-0.113,0.938
0.788,0.244,0.793,0.122,0.289,-0.107,0.943
0.791,0.305,0.854,0.061,0.285,-0.113,0.943
0.805,0.061,1.037,0.0,0.29,-0.114,0.939
0.813,0.061,0.915,0.122,0.288,-0.109,0.936
0.829,0.0,0.915,0.061,0.287,-0.112,0.941
0.84,-0.061,0.854,0.061,0.284,-0.112,0.94
0.851,0.061,0.976,0.061,0.286,-0.11,0.942
0.854,0.122,0.915,0.122,0.287,-0.111,0.939
0.865,0.0,0.915,0.122,0.292,-0.113,0.942
0.875,0.366,0.854,0.0,0.288,-0.109,0.94
0.892,0.244,1.037,0.0,0.286,-0.11,0.944
0.9,0.061,0.854,0.061,0.286,-0.113,0.942
0.911,0.122,0.915,0.061,0.286,-0.113,0.941
0.914,0.244,0.732,0.0,0.288,-0.111,0.94
0.917,0.122,1.037,0.0,0.289,-0.11,0.942
0.925,0.061,0.915,0.061,0.287,-0.114,0.943
0.936,0.0,0.732,0.244,0.286,-0.11,0.94
0.953,0.122,0.854,0.061,0.289,-0.114,0.939
0.96,0.122,0.793,0.061,0.285,-0.114,0.941
0.974,-0.061,0.976,0.244,0.289,-0.115,0.941
0.977,0.244,0.915,0.0,0.284,-0.111,0.944
0.988,0.0,0.915,0.122,0.285,-0.11,0.934
0.996,-0.061,0.732,0.061,0.289,-0.112,0.944
0.999,-0.183,0.976,0.183,0.287,-0.11,0.945
1.013,-0.061,0.976,0.244,0.288,-0.113,0.945
1.023,0.061,1.037,0.122,0.283,-0.111,0.945
1.037,0.0,0.976,0.244,0.29,-0.104,0.941
1.04,-0.122,0.976,0.0,0.286,-0.113,0.94
1.048,0.122,0.976,0.061,0.286,-0.11,0.942
1.059,-0.122,0.915,0.183,0.286,-0.113,0.941
1.062,-0.244,0.854,0.122,0.286,-0.11,0.939
1.076,-0.122,0.915,0.0,0.285,-0.11,0.941
1.083,-0.061,1.037,0.122,0.288,-0.109,0.944
1.1,-0.183,0.854,0.183,0.289,-0.11,0.941
1.119,-0.183,1.159,-0.061,0.286,-0.112,0.939
1.122,-0.183,1.037,0.061,0.284,-0.111,0.94
1.125,-0.061,0.793,0.183,0.287,-0.112,0.938
1.136,0.061,0.854,0.244,0.292,-0.109,0.939
1.144,-0.061,0.976,0.183,0.289,-0.114,0.943
1.161,0.0,0.915,0.122,0.286,-0.11,0.942
1.171,-0.244,0.915,0.122,0.288,-0.11,0.94
1.182,-0.183,0.976,0.122,0.287,-0.109,0.94
1.185,-0.122,0.976,0.183,0.285,-0.108,0.945
1.188,-0.061,0.915,0.122,0.292,-0.112,0.944
1.196,-0.183,0.915,0.244,0.282,-0.109,0.937
1.207,-0.122,0.854,0.183,0.288,-0.113,0.938
1.224,-0.183,1.037,0.305,0.286,-0.11,0.948
1.231,-0.061,1.037,-0.061,0.286,-0.11,0.943
1.245,0.061,0.915,0.0,0.286,-0.114,0.936
1.248,0.061,1.098,0.0,0.287,-0.114,0.943
1.259,-0.061,0.915,0.122,0.293,-0.113,0.938
1.267,0.0,0.854,0.122,0.285,-0.116,0.946
1.27,0.061,0.915,0.183,0.286,-0.11,0.94
1.284,-0.061,0.793,0.122,0.284,-0.113,0.941
1.294,-0.122,1.037,0.122,0.287,-0.113,0.936
1.308,-0.183,0.915,0.183,0.283,-0.111,0.941
1.311,0.122,0.976,0.183,0.289,-0.112,0.94
1.319,0.122,0.915,0.122,0.286,-0.108,0.941
1.33,-0.061,0.793,-0.061,0.288,-0.112,0.936
1.333,0.183,0.976,0.122,0.29,-0.11,0.936
1.347,0.0,0.793,0.122,0.286,-0.113,0.941
1.354,-0.183,0.915,0.061,0.291,-0.11,0.944
1.371,0.061,1.098,0.0,0.283,-0.111,0.942
1.379,-0.061,0.976,0.061,0.288,-0.109,0.936
1.39,0.0,1.037,0.183,0.289,-0.11,0.942
1.393,-0.122,0.976,0.244,0.285,-0.112,0.945
1.396,0.183,0.976,0.305,0.29,-0.113,0.942
1.398,0.183,0.854,0.061,0.286,-0.109,0.939
1.407,0.0,0.915,0.122,0.286,-0.11,0.946
1.415,-0.061,0.915,0.122,0.29,-0.116,0.939
1.432,0.122,0.854,0.061,0.289,-0.112,0.935
1.442,0.061,0.976,0.061,0.289,-0.108,0.944
1.453,0.122,0.854,0.0,0.287,-0.11,0.942
1.456,0.122,0.854,0.061,0.282,-0.111,0.945
1.467,0.0,0.854,0.122,0.282,-0.113,0.943
1.478,0.061,0.793,0.061,0.292,-0.115,0.943
1.494,0.122,0.915,0.122,0.285,-0.113,0.94
1.516,0.183,0.61,0.0,0.285,-0.111,0.944
1.519,0.305,0.915,-0.061,0.288,-0.112,0.935
1.53,0.244,0.915,0.061,0.285,-0.11,0.938
1.541,0.244,1.037,-0.122,0.292,-0.111,0.938
1.555,0.183,0.915,0.122,0.286,-0.112,0.943
1.565,0.244,0.732,0.0,0.29,-0.113,0.936
1.579,0.0,0.793,0.061,0.29,-0.109,0.942
1.59,0.122,0.854,0.061,0.284,-0.109,0.941
1.601,0.244,0.915,0.122,0.288,-0.108,0.948
1.604,0.122,0.915,0.061,0.289,-0.11,0.942
1.625,0.0,1.098,0.0,0.286,-0.111,0.949
1.642,0.305,0.915,0.122,0.288,-0.109,0.94
1.661,0.0,0.793,0.0,0.286,-0.111,0.944
1.664,0.122,0.915,0.0,0.284,-0.111,0.94
1.667,0.0,0.976,0.122,0.288,-0.112,0.94
1.678,0.061,1.037,0.122,0.287,-0.113,0.943
1.686,-0.122,0.854,0.061,0.287,-0.113,0.938
1.703,0.122,0.976,0.0,0.289,-0.111,0.938
1.713,0.061,0.793,0.122,0.285,-0.113,0.941
1.724,0.061,0.915,-0.061,0.289,-0.111,0.941
1.727,0.122,0.793,0.122,0.286,-0.111,0.94
1.738,-0.183,0.793,0.183,0.286,-0.11,0.944
1.749,0.0,0.732,0.0,0.286,-0.109,0.938
1.765,0.183,0.854,0.244,0.285,-0.11,0.941
1.773,-0.122,0.854,0.0,0.283,-0.114,0.942
1.787,0.061,0.915,0.183,0.288,-0.109,0.947
