Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,0.122,0.61,0.366,0.245,-0.152,0.943
0.003,-0.549,1.037,0.366,0.252,-0.147,0.95
0.008,-0.183,0.854,0.122,0.252,-0.149,0.95
0.015,-0.244,0.854,0.122,0.242,-0.15,0.95
0.018,-0.061,0.61,0.122,0.246,-0.152,0.945
0.021,0.061,0.854,0.183,0.249,-0.148,0.946
0.025,-0.122,0.732,0.061,0.25,-0.142,0.951
0.028,-0.183,0.793,0.183,0.247,-0.146,0.948
0.035,-0.366,0.793,0.122,0.244,-0.145,0.948
0.038,-0.183,0.793,0.061,0.246,-0.147,0.946
0.043,-0.305,0.793,0.061,0.247,-0.146,0.951
0.046,-0.366,0.793,0.183,0.246,-0.147,0.945
0.05,-0.183,0.732,0.122,0.248,-0.147,0.95
0.053,-0.305,0.793,0.122,0.248,-0.151,0.954
0.056,-0.183,0.854,0.183,0.254,-0.15,0.951
0.06,-0.183,0.854,0.244,0.253,-0.147,0.944
0.063,-0.183,0.793,0.122,0.25,-0.149,0.952
0.068,-0.244,0.793,0.122,0.248,-0.15,0.948
0.071,-0.244,0.793,0.244,0.251,-0.146,0.95
0.078,-0.305,0.793,0.061,0.244,-0.15,0.949
0.081,-0.305,0.854,0.061,0.247,-0.149,0.945
0.085,-0.244,0.671,0.0,0.251,-0.147,0.954
0.088,0.0,0.793,0.122,0.249,-0.145,0.949
0.091,0.061,0.976,0.122,0.242,-0.147,0.952
0.098,-0.122,0.854,0.183,0.247,-0.146,0.95
0.103,-0.183,0.793,0.061,0.25,-0.148,0.948
0.106,-0.183,0.976,0.122,0.246,-0.145,0.946
0.109,-0.122,0.732,0.122,0.249,-0.145,0.947
0.113,-0.244,0.793,0.061,0.248,-0.149,0.948
0.116,0.0,0.732,0.122,0.246,-0.147,0.947
0.12,-0.061,0.732,0.244,0.249,-0.147,0.947
0.123,-0.366,0.732,0.183,0.251,-0.151,0.95
0.126,-0.244,0.915,0.183,0.247,-0.15,0.942
0.131,0.061,0.854,0.183,0.249,-0.148,0.952
0.134,0.061,0.732,0.0,0.247,-0.148,0.951
0.138,-0.305,1.037,0.183,0.25,-0.146,0.948
0.141,-0.305,0.732,0.244,0.25,-0.15,0.95
0.144,-0.488,0.793,0.183,0.245,-0.149,0.944
0.145,-0.244,0.793,0.244,0.246,-0.147,0.945
0.148,-0.244,0.854,0.305,0.251,-0.146,0.949
0.151,-0.122,0.732,0.244,0.247,-0.146,0.953
0.156,-0.122,0.793,0.183,0.248,-0.148,0.947
0.163,-0.122,0.854,0.305,0.244,-0.151,0.941
0.166,-0.244,0.854,0.244,0.248,-0.152,0.95
0.169,0.0,0.976,0.183,0.25,-0.152,0.949
0.173,-0.122,0.915,0.122,0.248,-0.146,0.949
0.176,-0.061,0.915,0.183,0.248,-0.148,0.948
0.18,-0.122,0.976,0.122,0.244,-0.145,0.946
0.183,-0.366,0.976,0.183,0.244,-0.148,0.945
0.186,-0.122,0.793,0.122,0.242,-0.149,0.946
0.191,-0.122,0.732,0.061,0.249,-0.148,0.945
0.194,-0.122,0.915,0.0,0.248,-0.148,0.947
0.197,0.0,0.854,0.061,0.249,-0.146,0.945
0.198,-0.183,0.793,0.122,0.251,-0.147,0.954
0.201,-0.122,0.671,0.244,0.254,-0.147,0.951
0.204,-0.122,0.915,0.122,0.249,-0.147,0.951
0.208,0.0,0.793,0.061,0.245,-0.148,0.943
0.211,-0.061,0.793,0.122,0.245,-0.148,0.94
0.216,-0.061,0.915,0.122,0.244,-0.151,0.954
0.226,-0.305,0.793,0.122,0.25,-0.148,0.946
0.229,-0.122,0.549,0.122,0.243,-0.147,0.952
0.232,-0.061,0.671,0.122,0.239,-0.147,0.95
0.233,-0.183,0.793,0.122,0.248,-0.146,0.945
0.236,-0.183,0.732,0.183,0.252,-0.143,0.95
0.239,-0.122,0.732,0.122,0.243,-0.146,0.948
0.243,-0.244,0.732,0.244,0.245,-0.149,0.946
0.246,-0.366,0.793,0.183,0.247,-0.147,0.957
0.251,-0.122,0.61,0.305,0.243,-0.149,0.94
0.254,-0.366,0.793,0.183,0.244,-0.146,0.945
0.257,-0.305,0.732,0.183,0.246,-0.149,0.954
0.261,-0.183,0.915,0.183,0.248,-0.15,0.945
0.264,-0.061,0.976,0.122,0.245,-0.15,0.942
0.268,-0.183,0.793,0.061,0.247,-0.146,0.948
0.271,-0.305,0.732,0.183,0.248,-0.151,0.942
0.274,-0.061,0.732,0.183,0.247,-0.151,0.943
0.279,-0.244,0.854,0.244,0.248,-0.15,0.952
0.284,-0.122,0.671,0.244,0.249,-0.148,0.95
0.286,-0.244,0.793,0.244,0.25,-0.148,0.949
0.289,-0.061,0.915,0.061,0.252,-0.148,0.948
0.292,-0.122,0.854,0.183,0.253,-0.15,0.948
0.296,-0.183,0.732,0.122,0.247,-0.147,0.95
0.299,-0.122,0.793,0.183,0.244,-0.148,0.951
0.306,-0.183,0.732,0.244,0.248,-0.147,0.95
0.309,0.0,0.732,0.244,0.251,-0.145,0.952
0.314,-0.305,0.793,0.122,0.248,-0.15,0.949
0.317,-0.305,0.854,0.183,0.256,-0.149,0.947
0.321,0.0,0.793,0.122,0.246,-0.146,0.949
0.324,-0.061,0.732,0.122,0.25,-0.146,0.949
0.327,-0.244,0.793,0.122,0.249,-0.148,0.949
0.331,-0.244,0.793,0.061,0.246,-0.149,0.952
0.334,0.061,0.854,-0.061,0.244,-0.146,0.949
0.339,-0.061,0.915,0.122,0.25,-0.146,0.942
0.342,-0.122,0.976,0.183,0.242,-0.149,0.953
0.349,-0.183,0.854,0.122,0.25,-0.143,0.95
0.352,0.0,0.732,0.183,0.253,-0.149,0.948
0.356,0.122,0.732,-0.183,0.244,-0.147,0.948
0.359,0.0,0.793,-0.061,0.243,-0.147,0.943
0.362,0.0,0.793,0.244,0.246,-0.149,0.946
0.369,-0.183,0.854,0.122,0.251,-0.147,0.947
0.374,-0.061,0.854,0.183,0.252,-0.144,0.951
0.377,-0.305,0.732,0.244,0.25,-0.146,0.951
0.38,0.061,0.854,0.122,0.254,-0.151,0.948
0.384,0.0,0.793,0.122,0.238,-0.144,0.931
0.387,0.122,0.793,0.061,0.243,-0.155,0.934
0.391,-0.183,0.793,0.183,0.247,-0.151,0.95
0.394,-0.305,0.915,0.061,0.249,-0.146,0.951
0.397,-0.305,0.854,0.122,0.242,-0.145,0.952
0.402,-0.122,0.793,0.183,0.25,-0.141,0.948
0.405,-0.244,0.915,0.0,0.246,-0.143,0.946
0.409,-0.122,0.915,0.122,0.252,-0.145,0.952
0.412,0.0,0.915,0.0,0.246,-0.143,0.95
0.415,-0.183,0.793,0.0,0.245,-0.149,0.946
0.419,-0.183,0.976,0.122,0.247,-0.146,0.95
0.422,-0.061,0.793,0.122,0.252,-0.145,0.949
0.427,-0.061,0.793,0.061,0.245,-0.147,0.955
0.432,-0.366,0.915,0.244,0.25,-0.151,0.949
0.437,-0.122,0.854,0.122,0.25,-0.146,0.946
0.44,-0.122,0.915,0.244,0.249,-0.146,0.949
0.444,0.061,0.915,-0.061,0.25,-0.145,0.943
0.447,-0.061,1.037,0.061,0.249,-0.148,0.949
0.45,-0.061,0.854,0.183,0.25,-0.146,0.947
0.454,-0.122,0.915,0.183,0.252,-0.145,0.951
0.457,0.061,0.854,0.244,0.247,-0.145,0.947
0.462,-0.122,0.854,0.122,0.251,-0.149,0.949
0.465,-0.061,0.732,0.0,0.248,-0.15,0.95
0.468,-0.122,1.037,0.122,0.247,-0.147,0.951
0.469,-0.183,0.854,0.244,0.245,-0.148,0.945
0.472,-0.122,0.854,0.122,0.243,-0.151,0.948
0.475,-0.122,0.732,0.0,0.25,-0.147,0.946
0.479,0.0,0.854,0.183,0.251,-0.149,0.948
0.482,0.0,0.915,0.244,0.25,-0.147,0.949
0.485,-0.183,0.854,0.244,0.244,-0.148,0.944
0.497,0.122,0.793,0.122,0.246,-0.146,0.947
0.5,0.061,0.793,0.244,0.25,-0.147,0.949
0.504,0.122,0.854,0.122,0.248,-0.143,0.948
0.507,0.122,0.793,0.122,0.244,-0.142,0.949
0.51,-0.183,0.671,0.061,0.248,-0.146,0.955
0.514,0.0,0.854,0.0,0.247,-0.147,0.947
0.517,-0.061,0.854,0.183,0.25,-0.146,0.951
