Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,-0.61,0.915,-0.061,0.262,-0.167,0.938
0.003,-0.427,1.159,0.305,0.263,-0.167,0.945
0.011,-0.183,0.793,0.0,0.265,-0.162,0.942
0.018,-0.061,0.854,0.122,0.259,-0.165,0.942
0.021,0.0,0.793,0.122,0.262,-0.159,0.947
0.028,-0.305,0.915,0.122,0.263,-0.162,0.947
0.036,-0.183,0.793,0.122,0.259,-0.167,0.945
0.038,-0.244,0.793,0.183,0.261,-0.16,0.94
0.046,-0.183,1.037,0.122,0.259,-0.164,0.945
0.049,-0.244,1.037,0.183,0.268,-0.162,0.941
0.053,-0.122,0.915,0.122,0.26,-0.165,0.946
0.056,-0.122,0.915,0.122,0.259,-0.167,0.942
0.063,-0.122,0.854,0.061,0.266,-0.162,0.944
0.071,0.0,0.793,0.183,0.264,-0.16,0.944
0.074,-0.061,0.793,0.183,0.265,-0.157,0.947
0.081,0.0,0.915,0.061,0.267,-0.164,0.943
0.088,-0.061,0.732,0.0,0.262,-0.163,0.941
0.091,-0.061,0.793,0.0,0.263,-0.16,0.942
0.099,-0.061,0.854,0.0,0.26,-0.162,0.94
0.106,-0.183,1.037,0.061,0.264,-0.159,0.939
0.109,-0.122,0.793,0.061,0.264,-0.165,0.939
0.116,-0.244,1.037,0.061,0.261,-0.162,0.939
0.123,-0.244,0.976,0.122,0.261,-0.164,0.946
0.126,-0.183,1.037,-0.061,0.263,-0.161,0.945
0.134,-0.061,1.037,0.122,0.258,-0.165,0.942
0.141,-0.183,0.854,0.0,0.267,-0.163,0.942
0.144,0.0,0.976,0.122,0.264,-0.16,0.948
0.151,-0.305,0.976,0.0,0.26,-0.16,0.936
0.159,-0.305,1.159,-0.061,0.261,-0.157,0.948
0.169,0.122,0.915,-0.122,0.263,-0.166,0.949
0.176,0.061,0.976,0.0,0.262,-0.168,0.94
0.179,0.0,1.037,0.0,0.266,-0.167,0.943
0.186,-0.061,0.854,0.0,0.265,-0.162,0.943
0.194,0.0,0.915,0.061,0.26,-0.16,0.939
0.197,-0.061,0.976,-0.061,0.264,-0.163,0.942
0.204,-0.061,0.854,0.061,0.261,-0.164,0.937
0.211,0.0,0.976,0.122,0.263,-0.163,0.94
0.214,-0.122,0.915,0.061,0.255,-0.157,0.947
0.222,-0.183,0.793,0.0,0.266,-0.163,0.942
0.229,0.0,0.915,0.122,0.263,-0.163,0.94
0.232,0.0,0.976,0.061,0.259,-0.163,0.943
0.239,-0.183,0.976,0.183,0.264,-0.16,0.939
0.246,0.0,0.976,0.061,0.265,-0.161,0.945
0.249,0.0,0.915,-0.061,0.266,-0.162,0.942
0.257,0.0,0.854,0.122,0.263,-0.162,0.94
0.264,0.244,0.793,0.0,0.264,-0.165,0.945
0.267,0.122,0.976,-0.122,0.261,-0.163,0.943
0.271,0.122,0.854,0.122,0.256,-0.161,0.946
0.274,0.122,0.854,0.061,0.26,-0.164,0.945
0.282,-0.122,0.915,0.122,0.266,-0.164,0.938
0.289,0.183,0.915,0.0,0.261,-0.157,0.942
0.292,0.244,0.854,-0.061,0.259,-0.16,0.943
0.299,-0.061,0.854,-0.061,0.263,-0.163,0.941
0.309,-0.122,0.854,0.244,0.26,-0.163,0.94
0.317,0.0,0.976,0.061,0.264,-0.16,0.94
0.324,-0.061,0.854,0.122,0.261,-0.164,0.942
0.327,0.0,1.098,0.061,0.264,-0.159,0.937
0.334,0.122,0.915,0.061,0.262,-0.164,0.938
0.342,0.0,1.037,0.0,0.262,-0.167,0.943
0.345,0.0,0.915,0.0,0.259,-0.163,0.946
0.352,0.122,1.159,0.061,0.26,-0.167,0.95
0.359,-0.061,1.037,0.061,0.262,-0.163,0.942
0.362,0.061,0.976,0.122,0.258,-0.164,0.941
0.377,-0.061,1.037,0.122,0.267,-0.165,0.943
0.38,-0.244,0.915,0.183,0.267,-0.162,0.943
0.387,0.0,0.915,0.0,0.26,-0.161,0.942
0.394,-0.122,1.037,0.0,0.259,-0.164,0.94
0.397,0.122,1.098,0.0,0.261,-0.162,0.939
0.405,-0.061,0.854,0.122,0.262,-0.162,0.94
0.412,-0.061,0.976,0.0,0.262,-0.162,0.938
0.415,0.0,0.854,0.061,0.264,-0.161,0.942
0.422,-0.061,1.037,0.061,0.268,-0.166,0.943
0.43,0.061,1.037,0.061,0.262,-0.163,0.938
0.44,-0.061,1.098,0.122,0.256,-0.165,0.948
0.447,-0.183,0.915,0.122,0.263,-0.167,0.943
0.45,-0.183,0.976,0.061,0.265,-0.165,0.941
0.457,0.0,0.915,0.183,0.263,-0.16,0.94
0.465,0.061,0.976,0.061,0.266,-0.163,0.942
0.468,0.0,0.854,0.061,0.264,-0.166,0.947
0.475,0.061,1.037,0.0,0.264,-0.161,0.944
0.482,0.061,0.854,0.122,0.261,-0.164,0.943
0.485,0.0,0.793,0.183,0.262,-0.162,0.945
0.493,0.0,0.915,0.183,0.261,-0.161,0.945
0.5,-0.183,0.915,0.183,0.26,-0.166,0.941
0.503,-0.183,0.976,0.061,0.264,-0.162,0.948
0.51,-0.061,0.976,0.183,0.268,-0.157,0.942
0.517,-0.244,0.915,0.183,0.262,-0.162,0.949
0.52,-0.183,0.915,0.244,0.261,-0.16,0.942
0.525,-0.244,0.854,0.183,0.266,-0.167,0.942
0.528,0.0,0.793,0.244,0.255,-0.161,0.945
0.535,-0.122,0.915,0.061,0.267,-0.164,0.941
0.538,-0.061,0.915,0.183,0.264,-0.164,0.941
0.542,0.0,0.976,0.122,0.264,-0.163,0.937
0.545,-0.122,1.037,0.183,0.26,-0.162,0.945
0.553,-0.183,0.915,0.061,0.26,-0.163,0.947
0.56,0.061,0.976,0.183,0.256,-0.163,0.938
0.563,-0.122,1.037,0.122,0.265,-0.164,0.946
0.57,-0.183,0.854,0.183,0.256,-0.16,0.942
0.578,0.0,0.915,0.122,0.259,-0.164,0.945
0.58,-0.183,0.976,0.183,0.264,-0.164,0.945
0.588,-0.183,0.976,0.244,0.265,-0.161,0.946
0.595,0.061,0.793,0.183,0.262,-0.164,0.943
0.598,-0.061,0.915,0.122,0.263,-0.162,0.941
0.605,0.122,0.854,0.061,0.264,-0.163,0.947
0.613,-0.183,0.854,0.0,0.261,-0.162,0.94
0.616,-0.061,0.793,0.244,0.258,-0.165,0.941
0.623,-0.244,0.915,0.0,0.265,-0.161,0.944
0.63,-0.061,1.037,0.0,0.257,-0.162,0.944
0.633,-0.061,0.976,0.0,0.263,-0.161,0.947
0.648,-0.061,0.915,0.183,0.263,-0.158,0.943
0.651,0.0,0.976,0.122,0.265,-0.161,0.946
0.658,0.061,0.976,0.122,0.266,-0.164,0.941
0.665,-0.183,0.915,0.122,0.262,-0.166,0.938
0.668,-0.183,1.037,0.061,0.255,-0.164,0.941
0.676,-0.122,0.976,0.122,0.262,-0.163,0.941
0.683,0.061,0.976,0.061,0.26,-0.165,0.94
0.686,0.0,1.037,0.183,0.26,-0.163,0.944
0.693,0.061,1.159,0.0,0.268,-0.162,0.938
0.701,-0.061,1.098,0.061,0.262,-0.161,0.938
0.703,-0.061,0.915,0.122,0.262,-0.162,0.94
0.711,-0.122,1.098,0.061,0.264,-0.164,0.945
0.718,-0.122,1.28,0.0,0.265,-0.164,0.946
0.721,-0.183,1.159,0.0,0.262,-0.165,0.948
0.728,-0.061,1.098,-0.122,0.263,-0.166,0.94
0.736,-0.061,0.854,0.0,0.262,-0.165,0.945
0.739,-0.122,0.976,-0.061,0.264,-0.167,0.939
0.746,0.183,1.037,-0.061,0.263,-0.161,0.945
0.753,0.0,0.976,-0.061,0.26,-0.163,0.942
0.756,0.183,1.037,0.0,0.262,-0.173,0.942
0.764,0.183,0.976,0.183,0.267,-0.165,0.942
0.771,0.0,0.976,0.0,0.26,-0.16,0.944
0.774,-0.244,0.915,0.0,0.26,-0.162,0.943
0.781,-0.061,0.915,-0.061,0.26,-0.166,0.943
0.788,0.061,0.915,0.061,0.263,-0.162,0.943
0.796,0.183,0.915,0.061,0.261,-0.163,0.947
0.799,-0.122,0.976,0.061,0.268,-0.167,0.943
0.806,0.122,0.976,0.061,0.259,-0.16,0.941
0.813,0.0,0.793,0.061,0.251,-0.163,0.941
0.816,0.0,0.915,0.122,0.26,-0.165,0.939
0.824,-0.061,0.976,0.183,0.264,-0.162,0.945
0.831,0.061,0.976,0.061,0.261,-0.162,0.943
0.834,0.061,0.915,0.183,0.262,-0.16,0.94
0.841,0.122,0.854,0.061,0.262,-0.161,0.941
0.849,0.305,0.854,0.061,0.257,-0.165,0.946
0.851,0.183,0.976,0.122,0.264,-0.165,0.944
0.859,0.0,0.854,0.0,0.264,-0.161,0.945
0.866,-0.122,0.854,0.061,0.266,-0.163,0.943
0.869,-0.061,0.915,0.061,0.261,-0.164,0.945
0.876,-0.061,0.976,0.183,0.264,-0.166,0.939
0.884,-0.061,0.793,0.122,0.264,-0.163,0.945
0.887,-0.061,0.854,0.061,0.259,-0.165,0.941
0.894,-0.122,0.854,0.061,0.259,-0.161,0.945
0.901,0.244,0.854,0.122,0.261,-0.165,0.944
0.904,0.061,0.793,0.122,0.258,-0.164,0.943
0.919,0.305,0.732,0.061,0.259,-0.16,0.944
0.922,0.122,0.854,0.122,0.265,-0.163,0.939
0.929,0.0,0.854,0.061,0.263,-0.163,0.938
0.936,0.122,0.854,0.061,0.265,-0.163,0.942
0.939,0.061,0.854,0.244,0.265,-0.164,0.942
0.947,0.0,0.915,0.122,0.26,-0.162,0.938
0.954,0.183,0.732,0.183,0.266,-0.163,0.941
0.957,0.183,0.793,0.183,0.265,-0.166,0.94
0.964,0.122,0.854,0.183,0.261,-0.164,0.938
0.972,-0.061,0.915,0.122,0.266,-0.16,0.944
0.974,-0.061,1.159,0.122,0.265,-0.163,0.944
0.982,-0.122,0.854,0.061,0.26,-0.163,0.938
0.989,-0.061,0.854,0.122,0.261,-0.166,0.943
0.992,-0.061,0.854,0.122,0.264,-0.165,0.949
0.999,-0.061,0.854,0.183,0.259,-0.167,0.939
1.007,0.061,0.671,0.122,0.268,-0.163,0.944
1.01,0.366,0.732,0.183,0.264,-0.161,0.943
1.017,-0.061,0.915,0.122,0.263,-0.162,0.942
1.024,-0.122,0.915,0.0,0.262,-0.161,0.943
1.027,-0.061,0.976,0.0,0.262,-0.163,0.942
1.032,-0.122,0.915,0.122,0.265,-0.163,0.942
1.035,-0.061,0.915,-0.061,0.264,-0.164,0.945
1.042,0.061,0.976,0.183,0.266,-0.162,0.941
1.049,-0.244,0.915,0.183,0.262,-0.161,0.938
1.052,-0.061,0.854,0.122,0.266,-0.165,0.938
1.059,-0.061,0.915,0.122,0.263,-0.161,0.942
1.062,0.0,0.793,0.061,0.263,-0.165,0.94
1.067,-0.244,0.854,0.061,0.265,-0.161,0.946
1.07,-0.244,0.854,0.183,0.261,-0.163,0.944
1.077,-0.183,0.854,0.061,0.264,-0.165,0.944
1.084,0.122,0.915,0.122,0.265,-0.166,0.939
1.087,-0.183,0.854,0.183,0.26,-0.165,0.941
1.095,0.0,0.976,0.061,0.26,-0.164,0.943
1.105,0.061,0.854,0.122,0.263,-0.166,0.945
1.112,0.0,0.793,0.122,0.264,-0.166,0.944
1.122,-0.061,0.976,0.122,0.257,-0.164,0.945
1.13,0.122,0.976,0.122,0.262,-0.166,0.945
1.137,0.061,1.037,0.0,0.256,-0.162,0.942
1.14,-0.061,1.037,0.0,0.261,-0.164,0.94
1.147,0.122,0.915,0.0,0.261,-0.162,0.945
1.155,-0.061,0.854,0.183,0.258,-0.164,0.938
1.158,-0.122,0.854,0.0,0.268,-0.161,0.941
1.165,-0.305,0.854,-0.061,0.263,-0.162,0.936
1.172,-0.061,0.793,0.0,0.259,-0.16,0.942
1.175,-0.122,0.854,0.0,0.265,-0.164,0.946
1.19,-0.061,1.037,0.061,0.263,-0.162,0.941
1.193,0.061,0.793,0.061,0.259,-0.161,0.943
1.2,-0.244,0.854,0.0,0.262,-0.164,0.945
1.207,-0.061,0.976,0.061,0.269,-0.162,0.941
1.21,0.122,0.915,0.122,0.264,-0.164,0.945
1.218,0.122,0.793,0.122,0.261,-0.162,0.942
1.225,0.122,0.793,0.122,0.264,-0.163,0.943
1.228,0.183,0.976,0.183,0.258,-0.166,0.938
1.235,-0.061,0.854,-0.061,0.259,-0.166,0.938
1.243,0.061,0.793,0.122,0.261,-0.165,0.939
1.245,-0.244,0.854,0.061,0.258,-0.164,0.937
1.253,0.0,0.854,0.061,0.263,-0.161,0.948
1.26,0.061,0.915,0.244,0.262,-0.159,0.948
1.263,-0.183,0.793,0.244,0.262,-0.162,0.943
1.27,-0.122,0.732,0.122,0.264,-0.163,0.943
1.278,-0.244,0.915,0.122,0.261,-0.163,0.939
1.281,-0.122,0.854,0.183,0.264,-0.166,0.942
1.288,-0.244,0.915,0.061,0.264,-0.165,0.943
1.295,-0.061,0.915,0.122,0.26,-0.164,0.942
1.303,-0.061,0.854,0.183,0.262,-0.164,0.944
1.306,0.122,0.793,0.183,0.259,-0.162,0.94
