Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,-1.89,2.805,0.183,0.25,-0.159,0.929
0.007,-1.89,2.561,0.061,0.261,-0.16,0.945
0.01,-1.829,2.561,-0.061,0.262,-0.16,0.955
0.025,-1.829,2.805,-0.061,0.263,-0.165,0.94
0.028,-1.768,2.622,-0.183,0.256,-0.163,0.934
0.032,-1.829,2.988,-0.244,0.262,-0.159,0.929
0.035,-1.89,3.11,-0.244,0.252,-0.158,0.935
0.05,-1.463,2.927,0.0,0.258,-0.152,0.945
0.06,-1.098,2.378,0.061,0.254,-0.16,0.932
0.063,-0.915,2.561,-0.061,0.252,-0.161,0.933
0.07,-1.22,2.622,0.305,0.273,-0.155,0.97
0.088,-1.159,2.012,0.183,0.252,-0.164,0.929
0.095,-1.463,2.256,-0.061,0.259,-0.161,0.929
0.098,-1.585,2.5,0.061,0.251,-0.168,0.935
0.113,-1.951,2.744,0.305,0.251,-0.162,0.932
0.12,-1.951,2.744,0.122,0.256,-0.161,0.938
0.123,-2.073,2.805,0.244,0.26,-0.157,0.935
0.133,-1.402,2.378,0.122,0.267,-0.158,0.97
0.148,-1.341,2.256,0.183,0.246,-0.16,0.939
0.151,-1.402,2.317,0.061,0.248,-0.153,0.941
0.155,-1.402,2.744,0.0,0.257,-0.16,0.951
0.158,-1.28,2.683,0.183,0.258,-0.164,0.944
0.173,-0.976,2.683,0.488,0.255,-0.166,0.932
0.176,-0.854,2.561,0.183,0.253,-0.164,0.93
0.183,-0.671,2.439,0.183,0.259,-0.162,0.95
0.186,-0.549,2.561,0.122,0.257,-0.159,0.955
0.208,0.0,1.768,0.305,0.255,-0.165,0.941
0.211,-0.305,1.829,0.305,0.252,-0.167,0.939
0.218,-0.122,1.524,0.183,0.246,-0.164,0.935
0.221,0.061,1.646,0.305,0.252,-0.161,0.94
0.236,0.061,1.098,0.183,0.249,-0.171,0.928
0.243,-0.061,0.854,0.183,0.248,-0.166,0.922
0.246,0.061,0.976,0.244,0.245,-0.162,0.93
0.271,0.366,0.854,0.183,0.249,-0.161,0.93
0.274,0.305,0.793,0.305,0.248,-0.162,0.934
0.278,0.305,0.976,0.061,0.244,-0.167,0.936
0.281,0.427,1.037,0.061,0.246,-0.164,0.936
