Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,0.305,0.793,0.183,0.257,-0.091,0.941
0.01,0.0,0.915,0.244,0.253,-0.094,0.95
0.025,0.061,1.037,0.305,0.253,-0.095,0.943
0.032,0.061,0.915,0.244,0.256,-0.094,0.948
0.035,0.061,1.098,0.183,0.256,-0.093,0.952
0.05,-0.061,1.037,0.244,0.256,-0.094,0.957
0.057,0.122,0.915,0.122,0.256,-0.092,0.948
0.06,0.0,0.915,0.0,0.254,-0.091,0.951
0.07,0.061,0.793,0.122,0.257,-0.093,0.951
0.085,-0.061,0.854,0.061,0.252,-0.096,0.944
0.088,-0.061,0.732,0.061,0.25,-0.092,0.945
0.092,0.183,0.793,0.183,0.258,-0.096,0.946
0.095,0.0,0.854,0.366,0.262,-0.095,0.938
0.11,-0.122,0.793,0.061,0.256,-0.094,0.949
0.113,0.0,0.915,0.244,0.254,-0.096,0.952
0.12,-0.122,0.854,0.122,0.26,-0.094,0.946
0.123,0.0,0.732,0.061,0.252,-0.093,0.951
0.145,-0.061,0.854,0.122,0.262,-0.096,0.948
0.148,-0.061,0.793,0.061,0.261,-0.099,0.939
0.155,-0.244,0.732,0.061,0.256,-0.093,0.952
0.158,-0.122,0.854,0.305,0.26,-0.098,0.953
0.173,-0.305,0.854,0.122,0.256,-0.096,0.948
0.176,-0.061,0.915,0.122,0.26,-0.096,0.953
0.18,-0.244,0.793,0.061,0.25,-0.096,0.947
0.183,-0.183,0.793,0.122,0.253,-0.094,0.952
0.208,0.061,0.61,0.122,0.254,-0.094,0.953
0.211,0.061,0.976,0.122,0.256,-0.095,0.945
0.218,-0.061,0.915,0.061,0.257,-0.091,0.95
0.233,-0.122,0.915,0.122,0.252,-0.095,0.944
0.236,-0.061,0.854,0.183,0.258,-0.095,0.946
0.24,0.122,0.915,0.183,0.253,-0.094,0.953
0.243,-0.122,0.976,0.244,0.259,-0.093,0.946
0.268,0.122,0.915,0.122,0.252,-0.096,0.95
0.271,0.0,0.732,0.183,0.257,-0.095,0.956
0.278,0.183,0.915,0.061,0.251,-0.096,0.949
0.293,0.183,0.61,0.122,0.257,-0.095,0.951
0.296,0.183,0.671,0.061,0.259,-0.096,0.943
0.299,0.122,0.671,0.061,0.256,-0.098,0.945
0.303,0.305,0.793,0.244,0.256,-0.09,0.954
0.306,0.0,0.732,0.122,0.254,-0.094,0.952
0.321,-0.061,0.732,0.305,0.251,-0.097,0.944
0.328,0.0,0.854,0.122,0.253,-0.094,0.938
0.331,-0.061,0.976,0.122,0.257,-0.095,0.95
0.341,-0.244,0.732,0.122,0.252,-0.091,0.948
0.356,0.061,0.732,0.183,0.259,-0.095,0.949
0.359,-0.122,0.732,0.183,0.254,-0.092,0.947
0.363,0.0,0.793,-0.061,0.254,-0.092,0.943
0.366,-0.183,0.854,0.0,0.256,-0.093,0.95
0.381,0.0,1.037,0.061,0.258,-0.097,0.949
0.384,-0.122,0.854,0.122,0.251,-0.094,0.946
0.391,-0.183,0.976,0.183,0.256,-0.094,0.941
0.394,0.061,0.854,0.122,0.253,-0.094,0.948
0.416,-0.122,0.793,0.122,0.252,-0.092,0.948
0.419,-0.061,0.671,0.183,0.254,-0.095,0.948
0.426,-0.122,0.793,0.122,0.252,-0.091,0.959
0.429,-0.122,0.732,0.183,0.26,-0.091,0.955
0.444,-0.244,0.915,0.061,0.257,-0.094,0.952
0.447,-0.244,0.854,0.183,0.253,-0.096,0.949
0.451,0.0,0.854,0.122,0.255,-0.095,0.948
0.454,-0.183,0.732,0.122,0.253,-0.095,0.95
0.479,-0.244,0.915,0.122,0.253,-0.091,0.952
0.482,-0.122,0.915,0.061,0.253,-0.094,0.958
0.489,-0.183,0.671,0.244,0.251,-0.088,0.951
0.504,-0.183,0.793,0.122,0.256,-0.089,0.952
0.507,-0.061,0.61,0.122,0.254,-0.09,0.944
0.514,0.0,0.854,0.061,0.257,-0.095,0.954
0.529,0.244,0.854,0.0,0.256,-0.098,0.947
0.539,-0.061,0.793,0.0,0.255,-0.098,0.947
0.542,0.0,0.732,0.122,0.251,-0.097,0.952
0.549,-0.061,0.549,0.122,0.256,-0.096,0.953
0.552,-0.122,0.732,0.0,0.256,-0.098,0.951
0.564,-0.183,0.793,0.122,0.252,-0.093,0.946
0.567,-0.122,0.732,0.122,0.257,-0.095,0.948
0.574,-0.122,0.732,-0.122,0.258,-0.098,0.949
0.577,-0.122,0.854,-0.122,0.259,-0.091,0.95
0.592,-0.183,0.793,0.061,0.255,-0.093,0.947
0.599,-0.122,0.854,0.305,0.256,-0.092,0.954
0.602,-0.061,0.854,0.244,0.255,-0.094,0.944
0.612,-0.122,0.793,0.122,0.254,-0.096,0.944
