Timestamp,Wx,Wy,Wz,Gx,Gy,Gz
0.0,0.366,1.098,-0.366,0.214,-0.095,0.946
0.009,0.061,0.793,0.366,0.21366666666666667,-0.09466666666666666,0.949
0.02,0.183,0.854,0.183,0.21333333333333332,-0.09433333333333334,0.952
0.03,0.244,0.854,0.061,0.213,-0.094,0.955
0.04,0.244,0.854,0.122,0.214,-0.094,0.952
0.05,0.183,0.854,0.061,0.214,-0.093,0.954
0.061,0.122,0.976,0.061,0.214,-0.093,0.953
0.071,0.122,0.976,0.122,0.214,-0.093,0.952
0.08,0.122,0.854,0.061,0.2135,-0.0935,0.9535
0.09,0.183,0.976,0.061,0.213,-0.094,0.955
0.1,0.244,0.854,0.122,0.213,-0.094,0.955
0.11,0.183,0.793,0.122,0.213,-0.093,0.949
0.121,0.183,0.915,0.183,0.2135,-0.0925,0.9515
0.131,0.122,0.854,0.122,0.214,-0.092,0.954
0.141,0.061,0.854,0.122,0.215,-0.093,0.957
0.15,0.061,0.915,0.122,0.2145,-0.093,0.9544999999999999
0.16,0.0,0.915,0.061,0.214,-0.093,0.952
0.17,-0.122,0.915,0.122,0.215,-0.094,0.956
0.181,-0.061,0.915,0.122,0.214,-0.0935,0.9555
0.191,-0.183,0.915,-0.061,0.213,-0.093,0.955
0.201,-0.183,1.037,0.061,0.215,-0.094,0.955
0.21,-0.122,1.037,0.061,0.2155,-0.0945,0.9544999999999999
0.22,-0.305,0.915,0.122,0.216,-0.095,0.954
0.23,-0.183,0.976,0.061,0.216,-0.094,0.952
0.241,-0.183,1.037,0.061,0.217,-0.0945,0.954
0.251,-0.183,1.037,0.061,0.218,-0.095,0.956
0.261,-0.061,1.037,0.061,0.215,-0.095,0.952
0.271,-0.061,0.976,0.122,0.212,-0.094,0.953
0.28,-0.122,0.915,0.061,0.212,-0.09333333333333334,0.954
0.291,-0.122,0.976,0.061,0.212,-0.09266666666666666,0.955
0.301,-0.244,0.976,0.122,0.212,-0.092,0.956
0.311,-0.183,1.037,0.122,0.214,-0.095,0.954
0.321,-0.122,1.037,0.122,0.214,-0.094,0.953
0.332,-0.244,0.976,0.122,0.2145,-0.095,0.9535
0.342,-0.244,1.037,0.183,0.215,-0.096,0.954
0.351,-0.366,0.976,0.122,0.215,-0.095,0.954
0.361,-0.305,0.976,0.183,0.215,-0.094,0.954
0.371,-0.122,0.915,0.183,0.213,-0.093,0.955
0.381,-0.244,0.854,0.122,0.215,-0.094,0.952
0.392,-0.244,0.854,0.244,0.214,-0.094,0.9535
0.402,-0.183,0.915,0.183,0.213,-0.094,0.955
0.412,-0.244,0.915,0.122,0.214,-0.093,0.954
0.421,-0.366,0.976,0.061,0.214,-0.094,0.955
0.431,-0.244,1.037,0.122,0.214,-0.095,0.956
0.441,-0.305,1.037,0.122,0.211,-0.093,0.952
0.452,-0.305,1.037,0.183,0.2115,-0.095,0.95
0.462,-0.061,0.915,0.122,0.212,-0.097,0.948
0.472,-0.061,0.915,0.122,0.214,-0.096,0.955
0.481,-0.183,1.037,0.122,0.2145,-0.0955,0.953
0.491,-0.061,0.976,0.122,0.215,-0.095,0.951
0.501,-0.183,0.915,0.061,0.214,-0.096,0.955
0.512,-0.244,0.915,0.183,0.214,-0.0955,0.9544999999999999
0.522,-0.244,0.976,0.183,0.214,-0.095,0.954
0.532,-0.122,0.915,0.122,0.213,-0.094,0.953
0.542,-0.183,0.854,0.122,0.215,-0.095,0.953
0.551,-0.244,0.915,0.183,0.214,-0.09466666666666666,0.953
0.562,-0.244,0.976,0.183,0.213,-0.09433333333333334,0.953
0.572,-0.305,0.915,0.183,0.212,-0.094,0.953
0.582,-0.244,0.915,0.183,0.216,-0.093,0.952
0.592,-0.305,0.976,0.183,0.214,-0.095,0.956
0.603,-0.305,0.976,0.122,0.214,-0.095,0.9544999999999999
0.613,-0.305,0.915,0.183,0.214,-0.095,0.953
0.622,-0.427,1.037,0.122,0.214,-0.0945,0.9544999999999999
0.632,-0.427,1.22,0.122,0.214,-0.094,0.956
0.642,-0.366,1.098,0.183,0.215,-0.095,0.955
0.652,-0.305,1.037,0.183,0.216,-0.096,0.952
0.663,-0.305,1.037,0.122,0.2135,-0.0955,0.9515
0.673,-0.244,0.976,0.122,0.211,-0.095,0.951
0.683,-0.305,0.976,0.061,0.212,-0.095,0.955
0.692,-0.305,1.037,0.122,0.214,-0.096,0.952
0.702,-0.183,0.976,0.061,0.212,-0.095,0.955
0.712,-0.183,0.915,0.061,0.217,-0.095,0.956
0.723,-0.305,0.976,0.061,0.216,-0.095,0.955
0.733,-0.183,0.976,0.122,0.215,-0.095,0.954
0.743,-0.183,0.976,0.061,0.213,-0.093,0.955
0.753,-0.183,0.915,0.061,0.214,-0.097,0.957
0.762,-0.183,0.915,0.061,0.216,-0.098,0.957
0.772,-0.244,0.976,0.061,0.216,-0.095,0.955
0.783,-0.122,1.037,0.061,0.215,-0.0955,0.954
0.793,-0.305,1.037,0.0,0.214,-0.096,0.953
0.803,-0.366,0.915,0.122,0.214,-0.096,0.955
0.813,-0.183,0.976,0.183,0.214,-0.097,0.954
0.822,-0.183,0.915,0.061,0.214,-0.097,0.954
0.833,-0.183,1.037,0.061,0.214,-0.097,0.954
0.843,-0.183,1.037,0.061,0.214,-0.097,0.954
0.853,-0.244,0.976,0.061,0.21,-0.095,0.954
0.863,-0.183,0.976,0.061,0.214,-0.095,0.954
0.874,-0.061,0.976,0.122,0.213,-0.0955,0.955
0.884,-0.122,0.976,0.0,0.212,-0.096,0.956
0.893,-0.183,0.976,0.061,0.2125,-0.0965,0.956
0.903,-0.061,0.976,0.061,0.213,-0.097,0.956
0.913,-0.122,1.037,0.0,0.212,-0.097,0.955
0.923,-0.061,0.976,0.061,0.213,-0.096,0.954
0.934,0.061,0.915,0.0,0.2135,-0.0975,0.9535
0.944,0.122,0.915,0.0,0.214,-0.099,0.953
0.953,0.183,0.915,-0.061,0.213,-0.0975,0.953
0.963,0.366,0.854,-0.061,0.212,-0.096,0.953
0.973,0.366,0.793,-0.061,0.215,-0.094,0.953
0.983,0.244,0.793,0.061,0.216,-0.095,0.957
0.994,0.183,0.854,0.061,0.2155,-0.0955,0.9544999999999999
1.004,0.305,0.793,-0.122,0.215,-0.096,0.952
1.014,0.366,0.793,-0.061,0.214,-0.098,0.953
1.023,0.305,0.732,0.0,0.2145,-0.0965,0.9524999999999999
1.033,0.366,0.732,0.0,0.215,-0.095,0.952
1.043,0.366,0.732,-0.061,0.212,-0.097,0.954
1.054,0.305,0.732,-0.061,0.213,-0.0965,0.9555
1.064,0.305,0.854,0.0,0.214,-0.096,0.957
1.074,0.427,0.976,0.061,0.218,-0.095,0.956
1.084,0.366,0.915,0.122,0.218,-0.095,0.954
1.093,0.427,0.854,0.061,0.21766666666666667,-0.09466666666666666,0.9546666666666667
1.104,0.427,0.793,0.0,0.21733333333333332,-0.09433333333333334,0.9553333333333333
1.114,0.427,0.915,0.061,0.217,-0.094,0.956
1.124,0.305,0.915,0.0,0.212,-0.095,0.959
1.134,0.366,0.915,-0.061,0.214,-0.097,0.957
1.145,0.366,0.854,0.0,0.215,-0.0965,0.956
1.155,0.244,0.854,0.0,0.216,-0.096,0.955
1.164,0.244,0.854,0.061,0.214,-0.095,0.955
1.174,0.183,0.793,-0.061,0.212,-0.094,0.955
1.184,0.183,0.976,-0.061,0.214,-0.093,0.955
1.194,0.122,0.854,0.0,0.215,-0.095,0.955
1.205,0.122,0.854,0.0,0.2145,-0.094,0.9555
1.215,0.183,0.915,0.061,0.214,-0.093,0.956
1.224,0.122,0.793,0.122,0.2135,-0.0935,0.9555
1.234,0.061,0.854,0.0,0.213,-0.094,0.955
1.244,0.122,0.915,0.122,0.214,-0.094,0.954
1.254,0.061,0.915,0.122,0.214,-0.095,0.955
1.265,0.122,0.915,0.061,0.2135,-0.0935,0.9535
1.275,0.061,0.915,0.122,0.213,-0.092,0.952
1.285,0.061,0.915,0.122,0.212,-0.092,0.952
1.294,0.122,0.915,0.061,0.214,-0.0935,0.953
1.304,0.0,0.915,0.061,0.216,-0.095,0.954
1.314,0.061,0.976,0.122,0.216,-0.095,0.953
1.325,0.122,0.915,0.122,0.2145,-0.094,0.9535
1.335,0.183,0.854,0.183,0.213,-0.093,0.954
1.345,0.183,0.976,0.061,0.216,-0.094,0.957
1.355,0.122,0.915,0.122,0.214,-0.093,0.956
1.364,0.244,0.854,0.0,0.21366666666666667,-0.09333333333333334,0.956
1.375,0.183,0.854,0.061,0.21333333333333332,-0.09366666666666666,0.956
1.385,0.122,0.915,0.061,0.213,-0.094,0.956
1.395,0.244,0.976,0.061,0.215,-0.092,0.955
1.405,0.122,0.915,0.122,0.216,-0.091,0.958
1.416,0.0,0.915,0.061,0.2155,-0.0925,0.9564999999999999
1.426,0.0,0.976,0.122,0.215,-0.094,0.955
1.435,0.061,0.976,0.183,0.2145,-0.0945,0.955
1.445,0.061,0.915,0.122,0.214,-0.095,0.955
1.455,0.061,0.976,0.122,0.214,-0.095,0.953
1.465,0.122,0.915,0.061,0.212,-0.094,0.953
1.476,0.061,0.854,0.061,0.2135,-0.0935,0.9544999999999999
1.486,0.122,0.915,0.061,0.215,-0.093,0.956
1.496,0.122,0.915,0.122,0.213,-0.094,0.955
1.505,0.061,0.915,0.061,0.217,-0.093,0.956
1.515,0.122,0.854,0.122,0.215,-0.093,0.956
1.525,0.183,0.915,0.122,0.213,-0.094,0.952
1.536,0.183,0.854,0.061,0.2135,-0.094,0.954
1.546,0.305,0.854,0.0,0.214,-0.094,0.956
1.556,0.305,0.915,0.0,0.216,-0.092,0.955
1.565,0.244,0.854,0.061,0.215,-0.0935,0.9564999999999999
1.575,0.183,0.793,0.061,0.214,-0.095,0.958
1.585,0.305,0.854,0.061,0.215,-0.094,0.958
1.596,0.122,0.854,0.061,0.2155,-0.0925,0.956
1.606,0.061,0.854,0.122,0.216,-0.091,0.954
1.616,0.061,0.915,0.183,0.215,-0.092,0.953
1.626,0.061,0.915,0.122,0.214,-0.094,0.955
1.635,0.122,0.976,0.0,0.21433333333333332,-0.09333333333333334,0.9556666666666667
1.646,0.0,0.854,0.061,0.21466666666666667,-0.09266666666666666,0.9563333333333333
1.656,0.0,0.915,0.122,0.215,-0.092,0.957
1.666,-0.122,0.915,0.061,0.216,-0.092,0.954
1.676,0.0,0.854,0.0,0.217,-0.093,0.956
1.687,0.122,0.915,0.061,0.216,-0.093,0.9555
1.695,0.0,0.976,0.061,0.215,-0.093,0.955
1.706,0.061,0.976,0.061,0.214,-0.093,0.9544999999999999
1.716,0.061,0.915,0.061,0.213,-0.093,0.954
1.726,-0.061,1.037,0.122,0.214,-0.092,0.958
1.736,-0.122,0.976,0.061,0.213,-0.093,0.953
1.747,-0.122,0.976,0.122,0.213,-0.093,0.9544999999999999
1.757,-0.122,0.976,0.122,0.213,-0.093,0.956
1.766,-0.061,0.976,0.122,0.2135,-0.0935,0.956
1.776,0.061,0.976,0.122,0.214,-0.094,0.956
1.786,0.122,0.915,0.183,0.215,-0.094,0.958
1.796,0.0,0.976,0.061,0.214,-0.094,0.956
1.807,0.0,0.976,0.061,0.2145,-0.094,0.954
1.817,0.061,0.915,0.183,0.215,-0.094,0.952
1.827,0.061,0.976,0.122,0.213,-0.094,0.955
1.836,0.122,0.976,0.061,0.214,-0.0935,0.9555
1.846,0.0,1.037,0.183,0.215,-0.093,0.956
1.856,0.122,0.976,0.183,0.214,-0.092,0.955
1.867,0.061,0.915,0.183,0.213,-0.0925,0.955
1.877,0.122,0.976,0.183,0.212,-0.093,0.955
1.887,0.061,0.976,0.183,0.214,-0.093,0.955
1.896,0.061,0.854,0.061,0.214,-0.0925,0.955
1.906,0.061,1.037,0.061,0.214,-0.092,0.955
1.917,0.061,0.915,0.122,0.2145,-0.093,0.9555
1.927,0.122,0.915,0.122,0.215,-0.094,0.956
1.937,0.061,1.037,0.122,0.217,-0.092,0.953
1.947,-0.061,0.976,0.122,0.213,-0.092,0.954
1.958,-0.061,0.915,0.244,0.2132,-0.0922,0.9538
1.966,0.0,1.098,0.183,0.2134,-0.0924,0.9536
1.978,0.0,0.976,0.183,0.21359999999999998,-0.0926,0.9533999999999999
1.987,0.0,0.976,0.122,0.2138,-0.0928,0.9531999999999999
1.997,-0.061,0.976,0.122,0.214,-0.093,0.953
2.007,0.0,1.037,0.122,0.216,-0.092,0.952
2.018,0.061,0.976,0.122,0.2135,-0.093,0.954
2.028,0.0,0.915,0.183,0.211,-0.094,0.956
2.037,-0.122,0.793,0.0,0.213,-0.093,0.957
2.047,-0.183,0.854,-0.061,0.215,-0.092,0.958
2.057,0.061,0.976,0.061,0.215,-0.094,0.951
2.067,0.061,0.915,0.122,0.216,-0.095,0.955
2.078,0.122,0.854,0.122,0.2145,-0.093,0.9555
2.088,0.122,1.037,0.183,0.213,-0.091,0.956
2.098,0.122,0.915,0.061,0.214,-0.093,0.952
2.107,0.061,0.915,0.061,0.2125,-0.0935,0.953
2.117,0.061,0.915,0.122,0.211,-0.094,0.954
2.127,0.061,0.915,0.122,0.214,-0.094,0.955
2.138,0.061,0.854,0.061,0.2135,-0.094,0.954
2.148,0.0,0.854,0.061,0.213,-0.094,0.953
2.158,0.183,0.793,0.061,0.215,-0.093,0.954
2.168,0.122,0.732,0.061,0.217,-0.093,0.958
2.177,0.061,0.793,0.061,0.2165,-0.093,0.9555
2.187,0.305,0.854,-0.061,0.216,-0.093,0.953
2.198,0.244,0.793,0.0,0.216,-0.0925,0.9544999999999999
2.208,0.183,0.793,0.061,0.216,-0.092,0.956
