epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739551580077,2025-02-14T17.46.20.077,0.000,0.254,-0.098,0.941
1739551580080,2025-02-14T17.46.20.080,0.003,0.255,-0.097,0.952
1739551580083,2025-02-14T17.46.20.083,0.006,0.254,-0.096,0.949
1739551580084,2025-02-14T17.46.20.084,0.007,0.253,-0.099,0.947
1739551580087,2025-02-14T17.46.20.087,0.010,0.254,-0.100,0.952
1739551580090,2025-02-14T17.46.20.090,0.013,0.255,-0.095,0.953
1739551580092,2025-02-14T17.46.20.092,0.015,0.253,-0.095,0.950
1739551580095,2025-02-14T17.46.20.095,0.018,0.257,-0.100,0.951
1739551580098,2025-02-14T17.46.20.098,0.021,0.254,-0.096,0.952
1739551580100,2025-02-14T17.46.20.100,0.023,0.254,-0.093,0.951
1739551580102,2025-02-14T17.46.20.102,0.025,0.256,-0.096,0.956
1739551580105,2025-02-14T17.46.20.105,0.028,0.253,-0.097,0.955
1739551580108,2025-02-14T17.46.20.108,0.031,0.259,-0.100,0.955
1739551580109,2025-02-14T17.46.20.109,0.032,0.260,-0.100,0.951
1739551580112,2025-02-14T17.46.20.112,0.035,0.258,-0.101,0.952
1739551580115,2025-02-14T17.46.20.115,0.038,0.255,-0.101,0.957
1739551580118,2025-02-14T17.46.20.118,0.041,0.259,-0.096,0.952
1739551580119,2025-02-14T17.46.20.119,0.042,0.258,-0.099,0.954
1739551580122,2025-02-14T17.46.20.122,0.045,0.256,-0.102,0.952
1739551580125,2025-02-14T17.46.20.125,0.048,0.259,-0.096,0.941
1739551580127,2025-02-14T17.46.20.127,0.050,0.258,-0.100,0.950
1739551580130,2025-02-14T17.46.20.130,0.053,0.257,-0.100,0.953
1739551580133,2025-02-14T17.46.20.133,0.056,0.256,-0.097,0.954
1739551580136,2025-02-14T17.46.20.136,0.059,0.253,-0.100,0.951
1739551580137,2025-02-14T17.46.20.137,0.060,0.260,-0.097,0.947
1739551580140,2025-02-14T17.46.20.140,0.063,0.257,-0.098,0.953
1739551580143,2025-02-14T17.46.20.143,0.066,0.255,-0.101,0.954
1739551580144,2025-02-14T17.46.20.144,0.067,0.255,-0.097,0.953
1739551580147,2025-02-14T17.46.20.147,0.070,0.254,-0.099,0.948
1739551580150,2025-02-14T17.46.20.150,0.073,0.255,-0.101,0.946
1739551580153,2025-02-14T17.46.20.153,0.076,0.249,-0.101,0.945
1739551580155,2025-02-14T17.46.20.155,0.078,0.250,-0.099,0.945
1739551580158,2025-02-14T17.46.20.158,0.081,0.253,-0.102,0.952
1739551580160,2025-02-14T17.46.20.160,0.083,0.254,-0.102,0.950
1739551580162,2025-02-14T17.46.20.162,0.085,0.259,-0.098,0.937
1739551580165,2025-02-14T17.46.20.165,0.088,0.254,-0.102,0.945
1739551580168,2025-02-14T17.46.20.168,0.091,0.254,-0.102,0.949
1739551580171,2025-02-14T17.46.20.171,0.094,0.258,-0.101,0.947
1739551580172,2025-02-14T17.46.20.172,0.095,0.255,-0.096,0.949
1739551580175,2025-02-14T17.46.20.175,0.098,0.254,-0.098,0.951
1739551580178,2025-02-14T17.46.20.178,0.101,0.255,-0.097,0.948
1739551580180,2025-02-14T17.46.20.180,0.103,0.256,-0.102,0.949
1739551580182,2025-02-14T17.46.20.182,0.105,0.253,-0.102,0.954
1739551580185,2025-02-14T17.46.20.185,0.108,0.252,-0.102,0.949
1739551580188,2025-02-14T17.46.20.188,0.111,0.260,-0.101,0.949
1739551580190,2025-02-14T17.46.20.190,0.113,0.259,-0.098,0.947
1739551580193,2025-02-14T17.46.20.193,0.116,0.255,-0.096,0.948
1739551580196,2025-02-14T17.46.20.196,0.119,0.258,-0.097,0.945
1739551580197,2025-02-14T17.46.20.197,0.120,0.259,-0.101,0.946
1739551580200,2025-02-14T17.46.20.200,0.123,0.257,-0.101,0.950
1739551580203,2025-02-14T17.46.20.203,0.126,0.259,-0.100,0.955
1739551580206,2025-02-14T17.46.20.206,0.129,0.255,-0.096,0.945
1739551580207,2025-02-14T17.46.20.207,0.130,0.250,-0.101,0.949
1739551580210,2025-02-14T17.46.20.210,0.133,0.250,-0.102,0.945
1739551580213,2025-02-14T17.46.20.213,0.136,0.256,-0.097,0.950
1739551580215,2025-02-14T17.46.20.215,0.138,0.256,-0.096,0.951
1739551580218,2025-02-14T17.46.20.218,0.141,0.255,-0.100,0.952
1739551580221,2025-02-14T17.46.20.221,0.144,0.252,-0.102,0.945
1739551580223,2025-02-14T17.46.20.223,0.146,0.251,-0.101,0.952
1739551580225,2025-02-14T17.46.20.225,0.148,0.259,-0.100,0.949
1739551580228,2025-02-14T17.46.20.228,0.151,0.260,-0.098,0.953
1739551580231,2025-02-14T17.46.20.231,0.154,0.253,-0.098,0.952
1739551580232,2025-02-14T17.46.20.232,0.155,0.255,-0.100,0.950
1739551580235,2025-02-14T17.46.20.235,0.158,0.252,-0.100,0.946
1739551580238,2025-02-14T17.46.20.238,0.161,0.254,-0.097,0.945
1739551580240,2025-02-14T17.46.20.240,0.163,0.257,-0.098,0.944
1739551580243,2025-02-14T17.46.20.243,0.166,0.252,-0.099,0.951
1739551580245,2025-02-14T17.46.20.245,0.168,0.254,-0.101,0.952
1739551580248,2025-02-14T17.46.20.248,0.171,0.254,-0.102,0.951
1739551580250,2025-02-14T17.46.20.250,0.173,0.256,-0.098,0.952
1739551580253,2025-02-14T17.46.20.253,0.176,0.253,-0.092,0.948
1739551580256,2025-02-14T17.46.20.256,0.179,0.250,-0.101,0.949
1739551580257,2025-02-14T17.46.20.257,0.180,0.256,-0.103,0.950
1739551580260,2025-02-14T17.46.20.260,0.183,0.259,-0.097,0.948
1739551580263,2025-02-14T17.46.20.263,0.186,0.255,-0.093,0.949
1739551580266,2025-02-14T17.46.20.266,0.189,0.256,-0.098,0.947
1739551580267,2025-02-14T17.46.20.267,0.190,0.256,-0.100,0.956
1739551580270,2025-02-14T17.46.20.270,0.193,0.255,-0.097,0.954
1739551580273,2025-02-14T17.46.20.273,0.196,0.256,-0.099,0.945
1739551580275,2025-02-14T17.46.20.275,0.198,0.257,-0.098,0.952
1739551580278,2025-02-14T17.46.20.278,0.201,0.256,-0.098,0.951
1739551580281,2025-02-14T17.46.20.281,0.204,0.261,-0.096,0.950
1739551580284,2025-02-14T17.46.20.284,0.207,0.258,-0.096,0.950
1739551580285,2025-02-14T17.46.20.285,0.208,0.255,-0.098,0.949
1739551580288,2025-02-14T17.46.20.288,0.211,0.253,-0.101,0.945
1739551580291,2025-02-14T17.46.20.291,0.214,0.253,-0.097,0.948
1739551580294,2025-02-14T17.46.20.294,0.217,0.257,-0.098,0.954
1739551580295,2025-02-14T17.46.20.295,0.218,0.255,-0.098,0.950
1739551580298,2025-02-14T17.46.20.298,0.221,0.258,-0.098,0.951
1739551580301,2025-02-14T17.46.20.301,0.224,0.260,-0.098,0.949
1739551580303,2025-02-14T17.46.20.303,0.226,0.260,-0.097,0.955
1739551580306,2025-02-14T17.46.20.306,0.229,0.258,-0.101,0.954
1739551580308,2025-02-14T17.46.20.308,0.231,0.260,-0.097,0.952
1739551580311,2025-02-14T17.46.20.311,0.234,0.259,-0.100,0.950
1739551580313,2025-02-14T17.46.20.313,0.236,0.255,-0.100,0.955
1739551580316,2025-02-14T17.46.20.316,0.239,0.255,-0.098,0.951
1739551580319,2025-02-14T17.46.20.319,0.242,0.257,-0.102,0.949
1739551580320,2025-02-14T17.46.20.320,0.243,0.257,-0.097,0.946
1739551580323,2025-02-14T17.46.20.323,0.246,0.256,-0.096,0.952
1739551580326,2025-02-14T17.46.20.326,0.249,0.258,-0.098,0.953
1739551580327,2025-02-14T17.46.20.327,0.250,0.256,-0.095,0.951
1739551580330,2025-02-14T17.46.20.330,0.253,0.259,-0.096,0.951
1739551580333,2025-02-14T17.46.20.333,0.256,0.259,-0.098,0.949
1739551580336,2025-02-14T17.46.20.336,0.259,0.259,-0.102,0.946
1739551580338,2025-02-14T17.46.20.338,0.261,0.256,-0.099,0.947
1739551580341,2025-02-14T17.46.20.341,0.264,0.256,-0.095,0.948
1739551580344,2025-02-14T17.46.20.344,0.267,0.259,-0.098,0.947
1739551580345,2025-02-14T17.46.20.345,0.268,0.260,-0.099,0.948
1739551580348,2025-02-14T17.46.20.348,0.271,0.256,-0.102,0.953
1739551580351,2025-02-14T17.46.20.351,0.274,0.257,-0.098,0.949
1739551580354,2025-02-14T17.46.20.354,0.277,0.259,-0.097,0.951
1739551580355,2025-02-14T17.46.20.355,0.278,0.255,-0.097,0.952
1739551580358,2025-02-14T17.46.20.358,0.281,0.260,-0.099,0.946
1739551580361,2025-02-14T17.46.20.361,0.284,0.256,-0.097,0.951
1739551580363,2025-02-14T17.46.20.363,0.286,0.258,-0.096,0.947
1739551580366,2025-02-14T17.46.20.366,0.289,0.252,-0.098,0.946
1739551580368,2025-02-14T17.46.20.368,0.291,0.250,-0.097,0.947
1739551580371,2025-02-14T17.46.20.371,0.294,0.251,-0.098,0.953
1739551580373,2025-02-14T17.46.20.373,0.296,0.251,-0.097,0.950
1739551580376,2025-02-14T17.46.20.376,0.299,0.257,-0.093,0.948
1739551580379,2025-02-14T17.46.20.379,0.302,0.257,-0.095,0.945
1739551580380,2025-02-14T17.46.20.380,0.303,0.257,-0.094,0.945
1739551580383,2025-02-14T17.46.20.383,0.306,0.257,-0.096,0.944
1739551580386,2025-02-14T17.46.20.386,0.309,0.254,-0.095,0.947
1739551580389,2025-02-14T17.46.20.389,0.312,0.254,-0.098,0.948
1739551580390,2025-02-14T17.46.20.390,0.313,0.262,-0.098,0.948
1739551580393,2025-02-14T17.46.20.393,0.316,0.257,-0.095,0.949
1739551580396,2025-02-14T17.46.20.396,0.319,0.255,-0.099,0.952
1739551580398,2025-02-14T17.46.20.398,0.321,0.254,-0.098,0.950
1739551580401,2025-02-14T17.46.20.401,0.324,0.258,-0.099,0.950
1739551580404,2025-02-14T17.46.20.404,0.327,0.253,-0.096,0.954
1739551580407,2025-02-14T17.46.20.407,0.330,0.258,-0.099,0.950
1739551580408,2025-02-14T17.46.20.408,0.331,0.255,-0.102,0.947
1739551580411,2025-02-14T17.46.20.411,0.334,0.255,-0.099,0.948
1739551580414,2025-02-14T17.46.20.414,0.337,0.257,-0.100,0.945
1739551580415,2025-02-14T17.46.20.415,0.338,0.252,-0.099,0.950
1739551580418,2025-02-14T17.46.20.418,0.341,0.251,-0.096,0.949
1739551580421,2025-02-14T17.46.20.421,0.344,0.253,-0.095,0.948
1739551580424,2025-02-14T17.46.20.424,0.347,0.258,-0.097,0.951
1739551580426,2025-02-14T17.46.20.426,0.349,0.253,-0.098,0.952
1739551580429,2025-02-14T17.46.20.429,0.352,0.259,-0.097,0.950
1739551580431,2025-02-14T17.46.20.431,0.354,0.254,-0.094,0.954
1739551580433,2025-02-14T17.46.20.433,0.356,0.251,-0.098,0.947
1739551580436,2025-02-14T17.46.20.436,0.359,0.257,-0.100,0.947
1739551580439,2025-02-14T17.46.20.439,0.362,0.257,-0.096,0.952
1739551580442,2025-02-14T17.46.20.442,0.365,0.258,-0.095,0.949
1739551580443,2025-02-14T17.46.20.443,0.366,0.259,-0.096,0.945
1739551580446,2025-02-14T17.46.20.446,0.369,0.257,-0.099,0.945
1739551580449,2025-02-14T17.46.20.449,0.372,0.257,-0.099,0.946
1739551580451,2025-02-14T17.46.20.451,0.374,0.253,-0.100,0.947
1739551580453,2025-02-14T17.46.20.453,0.376,0.255,-0.099,0.949
