epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739551580115,2025-02-14T17.46.20.115,0.000,-0.366,0.854,-0.183
1739551580118,2025-02-14T17.46.20.118,0.003,-0.244,1.098,0.427
1739551580119,2025-02-14T17.46.20.119,0.004,-0.061,0.793,0.183
1739551580122,2025-02-14T17.46.20.122,0.007,0.061,0.793,0.061
1739551580125,2025-02-14T17.46.20.125,0.010,-0.061,1.037,0.061
1739551580127,2025-02-14T17.46.20.127,0.012,-0.122,0.793,0.061
1739551580130,2025-02-14T17.46.20.130,0.015,-0.122,0.732,0.061
1739551580133,2025-02-14T17.46.20.133,0.018,-0.244,0.854,0.000
1739551580136,2025-02-14T17.46.20.136,0.021,-0.366,0.793,-0.061
1739551580137,2025-02-14T17.46.20.137,0.022,-0.244,0.854,0.122
1739551580140,2025-02-14T17.46.20.140,0.025,-0.061,0.793,0.122
1739551580143,2025-02-14T17.46.20.143,0.028,0.061,0.915,0.183
1739551580144,2025-02-14T17.46.20.144,0.029,-0.061,0.915,0.122
1739551580147,2025-02-14T17.46.20.147,0.032,-0.122,0.976,0.183
1739551580150,2025-02-14T17.46.20.150,0.035,-0.061,0.793,0.122
1739551580153,2025-02-14T17.46.20.153,0.038,-0.183,0.915,-0.061
1739551580155,2025-02-14T17.46.20.155,0.040,-0.122,0.793,-0.122
1739551580158,2025-02-14T17.46.20.158,0.043,0.183,0.793,0.061
1739551580160,2025-02-14T17.46.20.160,0.045,-0.061,0.915,0.000
1739551580162,2025-02-14T17.46.20.162,0.047,-0.122,0.915,0.000
1739551580165,2025-02-14T17.46.20.165,0.050,-0.061,0.915,-0.061
1739551580168,2025-02-14T17.46.20.168,0.053,0.183,0.854,-0.061
1739551580171,2025-02-14T17.46.20.171,0.056,-0.061,0.671,0.061
1739551580172,2025-02-14T17.46.20.172,0.057,-0.244,0.732,0.000
1739551580175,2025-02-14T17.46.20.175,0.060,0.122,0.732,0.122
1739551580178,2025-02-14T17.46.20.178,0.063,0.000,0.671,-0.061
1739551580180,2025-02-14T17.46.20.180,0.065,0.122,0.793,0.183
1739551580182,2025-02-14T17.46.20.182,0.067,0.061,0.732,0.183
1739551580185,2025-02-14T17.46.20.185,0.070,-0.061,0.610,0.061
1739551580188,2025-02-14T17.46.20.188,0.073,-0.122,0.671,0.000
1739551580190,2025-02-14T17.46.20.190,0.075,0.000,0.671,0.122
1739551580193,2025-02-14T17.46.20.193,0.078,-0.122,0.793,0.061
1739551580196,2025-02-14T17.46.20.196,0.081,0.061,0.732,0.061
1739551580197,2025-02-14T17.46.20.197,0.082,-0.122,0.854,0.122
1739551580200,2025-02-14T17.46.20.200,0.085,-0.061,0.793,0.061
1739551580203,2025-02-14T17.46.20.203,0.088,0.061,0.610,-0.061
1739551580206,2025-02-14T17.46.20.206,0.091,-0.061,0.793,0.000
1739551580207,2025-02-14T17.46.20.207,0.092,-0.244,0.610,0.122
1739551580210,2025-02-14T17.46.20.210,0.095,-0.061,0.427,0.000
1739551580213,2025-02-14T17.46.20.213,0.098,-0.061,0.854,-0.183
1739551580215,2025-02-14T17.46.20.215,0.100,0.061,0.793,0.000
1739551580218,2025-02-14T17.46.20.218,0.103,-0.061,0.793,-0.122
1739551580221,2025-02-14T17.46.20.221,0.106,-0.183,0.610,0.000
1739551580223,2025-02-14T17.46.20.223,0.108,0.000,0.854,0.000
1739551580225,2025-02-14T17.46.20.225,0.110,-0.061,0.732,0.061
1739551580228,2025-02-14T17.46.20.228,0.113,-0.122,0.854,-0.122
1739551580231,2025-02-14T17.46.20.231,0.116,-0.183,0.854,0.061
1739551580232,2025-02-14T17.46.20.232,0.117,0.000,0.915,0.061
1739551580235,2025-02-14T17.46.20.235,0.120,-0.244,0.854,0.061
1739551580238,2025-02-14T17.46.20.238,0.123,-0.061,0.915,0.061
1739551580241,2025-02-14T17.46.20.241,0.126,-0.122,0.915,0.000
