epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1740772445479,2025-02-28T20.54.05.479,0.000,0.137,-0.261,0.932
1740772445488,2025-02-28T20.54.05.488,0.009,0.143,-0.254,0.941
1740772445498,2025-02-28T20.54.05.498,0.019,0.145,-0.256,0.938
1740772445508,2025-02-28T20.54.05.508,0.029,0.141,-0.258,0.938
1740772445518,2025-02-28T20.54.05.518,0.039,0.142,-0.258,0.946
1740772445529,2025-02-28T20.54.05.529,0.050,0.142,-0.261,0.940
1740772445539,2025-02-28T20.54.05.539,0.060,0.147,-0.264,0.939
1740772445549,2025-02-28T20.54.05.549,0.070,0.150,-0.264,0.944
1740772445558,2025-02-28T20.54.05.558,0.079,0.144,-0.267,0.948
1740772445568,2025-02-28T20.54.05.568,0.089,0.136,-0.264,0.938
1740772445578,2025-02-28T20.54.05.578,0.099,0.143,-0.259,0.934
1740772445589,2025-02-28T20.54.05.589,0.110,0.141,-0.260,0.933
1740772445599,2025-02-28T20.54.05.599,0.120,0.137,-0.253,0.931
1740772445609,2025-02-28T20.54.05.609,0.130,0.131,-0.252,0.933
1740772445619,2025-02-28T20.54.05.619,0.140,0.131,-0.246,0.937
1740772445628,2025-02-28T20.54.05.628,0.149,0.143,-0.251,0.951
1740772445638,2025-02-28T20.54.05.638,0.159,0.151,-0.265,0.951
1740772445649,2025-02-28T20.54.05.649,0.170,0.145,-0.264,0.941
1740772445659,2025-02-28T20.54.05.659,0.180,0.144,-0.253,0.933
1740772445669,2025-02-28T20.54.05.669,0.190,0.142,-0.247,0.934
1740772445679,2025-02-28T20.54.05.679,0.200,0.141,-0.242,0.937
1740772445690,2025-02-28T20.54.05.690,0.211,0.136,-0.235,0.929
1740772445698,2025-02-28T20.54.05.698,0.219,0.127,-0.228,0.924
1740772445709,2025-02-28T20.54.05.709,0.230,0.133,-0.230,0.933
1740772445719,2025-02-28T20.54.05.719,0.240,0.141,-0.239,0.947
