epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1740772445489,2025-02-28T20.54.05.489,0.000,-2.805,-4.878,0.061
1740772445498,2025-02-28T20.54.05.498,0.009,-2.866,-4.878,0.366
1740772445508,2025-02-28T20.54.05.508,0.019,-2.988,-5.305,0.366
1740772445518,2025-02-28T20.54.05.518,0.029,-2.500,-6.768,0.915
1740772445529,2025-02-28T20.54.05.529,0.040,-2.012,-6.524,0.732
1740772445539,2025-02-28T20.54.05.539,0.050,-0.915,-4.207,-0.061
1740772445549,2025-02-28T20.54.05.549,0.060,0.366,-2.073,-0.305
1740772445558,2025-02-28T20.54.05.558,0.069,0.976,-0.549,-1.037
1740772445568,2025-02-28T20.54.05.568,0.079,2.378,0.671,-2.683
1740772445578,2025-02-28T20.54.05.578,0.089,3.598,1.646,-4.939
1740772445589,2025-02-28T20.54.05.589,0.100,4.695,2.744,-6.159
1740772445599,2025-02-28T20.54.05.599,0.110,6.463,4.695,-7.012
1740772445609,2025-02-28T20.54.05.609,0.120,6.646,7.195,-8.049
1740772445619,2025-02-28T20.54.05.619,0.130,6.402,7.866,-9.207
1740772445628,2025-02-28T20.54.05.628,0.139,4.634,5.549,-10.183
1740772445638,2025-02-28T20.54.05.638,0.149,1.951,2.866,-9.634
1740772445649,2025-02-28T20.54.05.649,0.160,1.951,3.293,-9.268
1740772445659,2025-02-28T20.54.05.659,0.170,3.415,5.671,-9.573
1740772445669,2025-02-28T20.54.05.669,0.180,5.244,6.037,-9.390
1740772445679,2025-02-28T20.54.05.679,0.190,5.793,5.610,-8.110
1740772445690,2025-02-28T20.54.05.690,0.201,4.695,5.305,-6.829
1740772445698,2025-02-28T20.54.05.698,0.209,4.329,3.232,-6.707
1740772445709,2025-02-28T20.54.05.709,0.220,4.207,1.280,-7.500
1740772445719,2025-02-28T20.54.05.719,0.230,2.439,-0.061,-6.951
1740772445729,2025-02-28T20.54.05.729,0.240,-0.122,-1.402,-6.159
