epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739458224091,2025-02-13T15.50.24.091,0.000,0.277,-0.125,0.936
1739458224094,2025-02-13T15.50.24.094,0.003,0.280,-0.124,0.947
1739458224097,2025-02-13T15.50.24.097,0.006,0.279,-0.128,0.943
1739458224100,2025-02-13T15.50.24.100,0.009,0.282,-0.128,0.936
1739458224101,2025-02-13T15.50.24.101,0.010,0.279,-0.125,0.943
1739458224104,2025-02-13T15.50.24.104,0.013,0.278,-0.126,0.943
1739458224107,2025-02-13T15.50.24.107,0.016,0.282,-0.125,0.943
1739458224109,2025-02-13T15.50.24.109,0.018,0.282,-0.127,0.944
1739458224112,2025-02-13T15.50.24.112,0.021,0.283,-0.125,0.940
1739458224114,2025-02-13T15.50.24.114,0.023,0.280,-0.128,0.943
1739458224117,2025-02-13T15.50.24.117,0.026,0.278,-0.128,0.941
1739458224119,2025-02-13T15.50.24.119,0.028,0.283,-0.127,0.938
1739458224122,2025-02-13T15.50.24.122,0.031,0.279,-0.125,0.936
1739458224125,2025-02-13T15.50.24.125,0.034,0.278,-0.124,0.947
1739458224126,2025-02-13T15.50.24.126,0.035,0.282,-0.127,0.946
1739458224129,2025-02-13T15.50.24.129,0.038,0.279,-0.124,0.940
1739458224132,2025-02-13T15.50.24.132,0.041,0.279,-0.125,0.941
1739458224135,2025-02-13T15.50.24.135,0.044,0.275,-0.123,0.943
1739458224136,2025-02-13T15.50.24.136,0.045,0.275,-0.125,0.944
1739458224139,2025-02-13T15.50.24.139,0.048,0.282,-0.125,0.938
1739458224142,2025-02-13T15.50.24.142,0.051,0.280,-0.129,0.938
1739458224144,2025-02-13T15.50.24.144,0.053,0.277,-0.120,0.946
1739458224147,2025-02-13T15.50.24.147,0.056,0.281,-0.126,0.944
1739458224150,2025-02-13T15.50.24.150,0.059,0.281,-0.125,0.939
1739458224153,2025-02-13T15.50.24.153,0.062,0.278,-0.128,0.938
1739458224154,2025-02-13T15.50.24.154,0.063,0.281,-0.128,0.940
1739458224157,2025-02-13T15.50.24.157,0.066,0.277,-0.124,0.943
1739458224160,2025-02-13T15.50.24.160,0.069,0.277,-0.125,0.940
1739458224161,2025-02-13T15.50.24.161,0.070,0.277,-0.122,0.938
1739458224164,2025-02-13T15.50.24.164,0.073,0.284,-0.125,0.943
1739458224167,2025-02-13T15.50.24.167,0.076,0.278,-0.128,0.940
1739458224170,2025-02-13T15.50.24.170,0.079,0.281,-0.127,0.939
1739458224172,2025-02-13T15.50.24.172,0.081,0.280,-0.127,0.941
1739458224175,2025-02-13T15.50.24.175,0.084,0.285,-0.121,0.938
1739458224177,2025-02-13T15.50.24.177,0.086,0.277,-0.125,0.944
1739458224179,2025-02-13T15.50.24.179,0.088,0.277,-0.127,0.936
1739458224182,2025-02-13T15.50.24.182,0.091,0.279,-0.124,0.935
1739458224185,2025-02-13T15.50.24.185,0.094,0.282,-0.128,0.943
1739458224188,2025-02-13T15.50.24.188,0.097,0.281,-0.126,0.941
1739458224189,2025-02-13T15.50.24.189,0.098,0.275,-0.128,0.945
1739458224192,2025-02-13T15.50.24.192,0.101,0.277,-0.127,0.944
1739458224195,2025-02-13T15.50.24.195,0.104,0.279,-0.127,0.938
1739458224196,2025-02-13T15.50.24.196,0.105,0.280,-0.125,0.939
1739458224199,2025-02-13T15.50.24.199,0.108,0.279,-0.123,0.935
1739458224202,2025-02-13T15.50.24.202,0.111,0.282,-0.125,0.938
1739458224205,2025-02-13T15.50.24.205,0.114,0.281,-0.128,0.944
1739458224207,2025-02-13T15.50.24.207,0.116,0.279,-0.125,0.947
1739458224210,2025-02-13T15.50.24.210,0.119,0.280,-0.125,0.942
1739458224213,2025-02-13T15.50.24.213,0.122,0.278,-0.125,0.938
1739458224214,2025-02-13T15.50.24.214,0.123,0.276,-0.127,0.942
1739458224217,2025-02-13T15.50.24.217,0.126,0.279,-0.125,0.935
1739458224220,2025-02-13T15.50.24.220,0.129,0.282,-0.126,0.939
1739458224223,2025-02-13T15.50.24.223,0.132,0.279,-0.125,0.940
1739458224224,2025-02-13T15.50.24.224,0.133,0.275,-0.123,0.940
1739458224227,2025-02-13T15.50.24.227,0.136,0.279,-0.126,0.941
1739458224230,2025-02-13T15.50.24.230,0.139,0.276,-0.124,0.943
1739458224232,2025-02-13T15.50.24.232,0.141,0.281,-0.123,0.943
1739458224235,2025-02-13T15.50.24.235,0.144,0.275,-0.125,0.940
1739458224237,2025-02-13T15.50.24.237,0.146,0.278,-0.125,0.942
1739458224240,2025-02-13T15.50.24.240,0.149,0.283,-0.127,0.941
1739458224242,2025-02-13T15.50.24.242,0.151,0.284,-0.125,0.936
1739458224245,2025-02-13T15.50.24.245,0.154,0.280,-0.123,0.937
1739458224248,2025-02-13T15.50.24.248,0.157,0.278,-0.126,0.936
1739458224249,2025-02-13T15.50.24.249,0.158,0.279,-0.125,0.940
1739458224252,2025-02-13T15.50.24.252,0.161,0.279,-0.125,0.938
1739458224255,2025-02-13T15.50.24.255,0.164,0.281,-0.123,0.947
1739458224258,2025-02-13T15.50.24.258,0.167,0.280,-0.125,0.945
1739458224259,2025-02-13T15.50.24.259,0.168,0.280,-0.126,0.942
1739458224262,2025-02-13T15.50.24.262,0.171,0.276,-0.125,0.940
1739458224265,2025-02-13T15.50.24.265,0.174,0.277,-0.125,0.937
1739458224267,2025-02-13T15.50.24.267,0.176,0.280,-0.125,0.939
1739458224270,2025-02-13T15.50.24.270,0.179,0.277,-0.125,0.942
