epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739458224126,2025-02-13T15.50.24.126,0.000,1.768,3.415,-1.037
1739458224129,2025-02-13T15.50.24.129,0.003,0.793,2.744,-0.671
1739458224132,2025-02-13T15.50.24.132,0.006,-0.122,0.793,0.183
1739458224135,2025-02-13T15.50.24.135,0.009,0.061,0.915,0.061
1739458224136,2025-02-13T15.50.24.136,0.010,0.183,1.220,0.305
1739458224139,2025-02-13T15.50.24.139,0.013,0.122,1.220,0.183
1739458224142,2025-02-13T15.50.24.142,0.016,0.183,1.220,0.183
1739458224144,2025-02-13T15.50.24.144,0.018,0.244,1.098,0.061
1739458224147,2025-02-13T15.50.24.147,0.021,0.000,1.159,0.061
1739458224150,2025-02-13T15.50.24.150,0.024,0.061,1.098,0.061
1739458224153,2025-02-13T15.50.24.153,0.027,0.061,0.976,0.244
1739458224154,2025-02-13T15.50.24.154,0.028,-0.122,0.976,0.122
1739458224157,2025-02-13T15.50.24.157,0.031,-0.183,0.976,0.000
1739458224160,2025-02-13T15.50.24.160,0.034,-0.061,1.098,0.061
1739458224161,2025-02-13T15.50.24.161,0.035,0.122,0.976,0.061
1739458224164,2025-02-13T15.50.24.164,0.038,0.061,1.037,0.061
1739458224167,2025-02-13T15.50.24.167,0.041,0.061,1.037,0.061
1739458224170,2025-02-13T15.50.24.170,0.044,0.000,1.037,0.000
1739458224172,2025-02-13T15.50.24.172,0.046,0.122,1.098,0.244
1739458224175,2025-02-13T15.50.24.175,0.049,0.122,0.976,0.122
1739458224177,2025-02-13T15.50.24.177,0.051,-0.061,0.976,0.000
1739458224179,2025-02-13T15.50.24.179,0.053,-0.183,1.098,0.122
1739458224182,2025-02-13T15.50.24.182,0.056,-0.061,0.915,0.061
1739458224185,2025-02-13T15.50.24.185,0.059,-0.061,0.976,0.122
1739458224188,2025-02-13T15.50.24.188,0.062,0.000,1.280,0.061
1739458224189,2025-02-13T15.50.24.189,0.063,0.122,1.159,0.061
1739458224192,2025-02-13T15.50.24.192,0.066,0.122,1.037,0.122
1739458224195,2025-02-13T15.50.24.195,0.069,0.183,1.159,-0.061
1739458224196,2025-02-13T15.50.24.196,0.070,0.183,1.098,0.061
1739458224199,2025-02-13T15.50.24.199,0.073,0.000,1.098,0.183
1739458224202,2025-02-13T15.50.24.202,0.076,0.000,1.098,-0.061
1739458224205,2025-02-13T15.50.24.205,0.079,0.244,1.037,0.000
1739458224207,2025-02-13T15.50.24.207,0.081,0.305,0.915,0.244
1739458224210,2025-02-13T15.50.24.210,0.084,0.061,1.159,0.000
1739458224213,2025-02-13T15.50.24.213,0.087,0.000,1.037,0.061
1739458224216,2025-02-13T15.50.24.216,0.090,0.183,1.220,0.061
1739458224217,2025-02-13T15.50.24.217,0.091,0.000,1.098,0.122
1739458224220,2025-02-13T15.50.24.220,0.094,0.061,1.098,0.122
1739458224223,2025-02-13T15.50.24.223,0.097,0.000,0.976,0.061
1739458224224,2025-02-13T15.50.24.224,0.098,-0.183,1.037,0.061
1739458224227,2025-02-13T15.50.24.227,0.101,0.061,1.037,0.061
1739458224230,2025-02-13T15.50.24.230,0.104,-0.122,0.976,0.061
1739458224232,2025-02-13T15.50.24.232,0.106,0.000,0.976,0.061
1739458224235,2025-02-13T15.50.24.235,0.109,-0.183,0.976,0.061
1739458224237,2025-02-13T15.50.24.237,0.111,-0.061,0.854,0.061
1739458224240,2025-02-13T15.50.24.240,0.114,-0.061,0.915,0.000
1739458224242,2025-02-13T15.50.24.242,0.116,0.122,0.915,0.000
1739458224245,2025-02-13T15.50.24.245,0.119,0.000,0.976,0.061
1739458224248,2025-02-13T15.50.24.248,0.122,-0.061,1.159,-0.061
1739458224249,2025-02-13T15.50.24.249,0.123,0.061,1.220,0.061
1739458224252,2025-02-13T15.50.24.252,0.126,-0.122,1.098,0.061
1739458224255,2025-02-13T15.50.24.255,0.129,-0.305,0.915,0.061
1739458224258,2025-02-13T15.50.24.258,0.132,-0.183,0.915,0.122
1739458224259,2025-02-13T15.50.24.259,0.133,0.000,1.159,0.122
1739458224262,2025-02-13T15.50.24.262,0.136,-0.122,1.159,0.061
1739458224265,2025-02-13T15.50.24.265,0.139,0.061,1.159,0.122
1739458224267,2025-02-13T15.50.24.267,0.141,-0.061,1.037,0.061
1739458224270,2025-02-13T15.50.24.270,0.144,0.000,0.976,0.000
1739458224273,2025-02-13T15.50.24.273,0.147,0.061,1.037,0.183
1739458224276,2025-02-13T15.50.24.276,0.150,-0.122,1.220,0.122
1739458224277,2025-02-13T15.50.24.277,0.151,0.061,1.159,0.122
1739458224280,2025-02-13T15.50.24.280,0.154,-0.122,0.976,0.061
1739458224283,2025-02-13T15.50.24.283,0.157,-0.183,0.915,0.122
1739458224284,2025-02-13T15.50.24.284,0.158,-0.122,1.037,0.122
1739458224287,2025-02-13T15.50.24.287,0.161,0.061,0.915,0.122
1739458224290,2025-02-13T15.50.24.290,0.164,0.000,0.854,0.183
1739458224293,2025-02-13T15.50.24.293,0.167,-0.122,0.976,0.061
1739458224295,2025-02-13T15.50.24.295,0.169,0.000,1.098,0.122
1739458224298,2025-02-13T15.50.24.298,0.172,0.000,1.037,0.061
1739458224300,2025-02-13T15.50.24.300,0.174,-0.061,1.098,0.122
1739458224302,2025-02-13T15.50.24.302,0.176,-0.183,0.976,0.122
1739458224305,2025-02-13T15.50.24.305,0.179,0.000,0.854,0.183
1739458224308,2025-02-13T15.50.24.308,0.182,0.061,0.915,0.122
1739458224311,2025-02-13T15.50.24.311,0.185,-0.183,0.976,-0.061
1739458224312,2025-02-13T15.50.24.312,0.186,-0.183,0.854,0.000
1739458224315,2025-02-13T15.50.24.315,0.189,0.000,1.037,0.244
1739458224318,2025-02-13T15.50.24.318,0.192,0.000,1.098,0.122
1739458224320,2025-02-13T15.50.24.320,0.194,-0.244,0.976,0.061
1739458224322,2025-02-13T15.50.24.322,0.196,-0.305,0.854,0.244
1739458224325,2025-02-13T15.50.24.325,0.199,-0.366,1.037,0.122
1739458224328,2025-02-13T15.50.24.328,0.202,0.000,0.915,0.061
1739458224330,2025-02-13T15.50.24.330,0.204,-0.122,0.854,0.122
1739458224333,2025-02-13T15.50.24.333,0.207,0.000,0.915,0.000
1739458224336,2025-02-13T15.50.24.336,0.210,-0.061,0.915,0.122
1739458224337,2025-02-13T15.50.24.337,0.211,0.000,1.037,0.122
1739458224340,2025-02-13T15.50.24.340,0.214,-0.183,1.037,0.183
1739458224343,2025-02-13T15.50.24.343,0.217,0.000,1.037,0.122
1739458224344,2025-02-13T15.50.24.344,0.218,-0.122,1.098,0.183
1739458224347,2025-02-13T15.50.24.347,0.221,0.000,1.159,0.122
1739458224350,2025-02-13T15.50.24.350,0.224,-0.061,0.976,0.122
1739458224353,2025-02-13T15.50.24.353,0.227,-0.183,1.098,0.061
1739458224355,2025-02-13T15.50.24.355,0.229,-0.244,1.159,0.122
1739458224358,2025-02-13T15.50.24.358,0.232,-0.183,1.037,0.183
1739458224361,2025-02-13T15.50.24.361,0.235,-0.061,0.854,0.244
1739458224362,2025-02-13T15.50.24.362,0.236,-0.183,0.915,0.122
1739458224365,2025-02-13T15.50.24.365,0.239,-0.122,1.037,0.122
1739458224368,2025-02-13T15.50.24.368,0.242,0.000,1.037,0.061
1739458224371,2025-02-13T15.50.24.371,0.245,-0.122,0.854,0.000
1739458224372,2025-02-13T15.50.24.372,0.246,-0.305,1.159,0.122
1739458224375,2025-02-13T15.50.24.375,0.249,-0.183,0.854,0.183
1739458224378,2025-02-13T15.50.24.378,0.252,-0.061,0.732,0.183
1739458224380,2025-02-13T15.50.24.380,0.254,-0.061,0.915,0.122
1739458224383,2025-02-13T15.50.24.383,0.257,-0.061,0.915,0.061
1739458224385,2025-02-13T15.50.24.385,0.259,-0.061,0.671,0.061
1739458224388,2025-02-13T15.50.24.388,0.262,-0.122,0.915,0.183
1739458224390,2025-02-13T15.50.24.390,0.264,-0.122,0.915,0.061
1739458224393,2025-02-13T15.50.24.393,0.267,0.061,0.854,0.000
1739458224396,2025-02-13T15.50.24.396,0.270,-0.122,0.793,0.183
1739458224397,2025-02-13T15.50.24.397,0.271,-0.244,0.732,0.244
1739458224400,2025-02-13T15.50.24.400,0.274,-0.061,0.671,0.000
1739458224403,2025-02-13T15.50.24.403,0.277,0.183,0.732,0.061
1739458224406,2025-02-13T15.50.24.406,0.280,0.061,0.915,0.122
1739458224407,2025-02-13T15.50.24.407,0.281,-0.183,0.915,0.244
1739458224410,2025-02-13T15.50.24.410,0.284,-0.061,0.976,0.183
1739458224413,2025-02-13T15.50.24.413,0.287,-0.244,0.732,0.000
1739458224415,2025-02-13T15.50.24.415,0.289,-0.183,0.976,0.122
1739458224418,2025-02-13T15.50.24.418,0.292,0.000,0.732,0.183
