epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739458461516,2025-02-13T15.54.21.516,0.000,1.951,3.049,-0.915
1739458461518,2025-02-13T15.54.21.518,0.002,0.732,2.439,-0.610
1739458461521,2025-02-13T15.54.21.521,0.005,-0.244,0.671,0.244
1739458461524,2025-02-13T15.54.21.524,0.008,0.122,0.915,0.122
1739458461526,2025-02-13T15.54.21.526,0.010,0.183,0.854,0.122
1739458461529,2025-02-13T15.54.21.529,0.013,-0.061,0.793,0.061
1739458461532,2025-02-13T15.54.21.532,0.016,0.122,0.976,0.061
1739458461533,2025-02-13T15.54.21.533,0.017,0.183,0.915,0.122
1739458461536,2025-02-13T15.54.21.536,0.020,0.122,0.854,0.183
1739458461539,2025-02-13T15.54.21.539,0.023,-0.122,0.793,0.061
1739458461542,2025-02-13T15.54.21.542,0.026,-0.061,0.915,-0.061
1739458461543,2025-02-13T15.54.21.543,0.027,-0.061,0.854,0.061
1739458461546,2025-02-13T15.54.21.546,0.030,-0.183,0.671,0.183
1739458461549,2025-02-13T15.54.21.549,0.033,0.000,0.915,0.122
1739458461551,2025-02-13T15.54.21.551,0.035,-0.244,1.037,0.061
1739458461554,2025-02-13T15.54.21.554,0.038,-0.122,0.915,0.061
1739458461557,2025-02-13T15.54.21.557,0.041,-0.061,0.854,0.061
1739458461559,2025-02-13T15.54.21.559,0.043,0.061,0.976,0.061
1739458461561,2025-02-13T15.54.21.561,0.045,0.000,0.976,0.122
1739458461564,2025-02-13T15.54.21.564,0.048,-0.122,0.854,0.000
1739458461567,2025-02-13T15.54.21.567,0.051,-0.122,0.854,0.000
1739458461568,2025-02-13T15.54.21.568,0.052,0.122,0.854,0.122
1739458461571,2025-02-13T15.54.21.571,0.055,0.244,0.915,0.000
1739458461574,2025-02-13T15.54.21.574,0.058,0.000,1.037,0.000
1739458461577,2025-02-13T15.54.21.577,0.061,0.000,0.976,0.061
1739458461579,2025-02-13T15.54.21.579,0.063,0.000,0.915,0.183
1739458461581,2025-02-13T15.54.21.581,0.065,0.000,0.854,0.122
1739458461584,2025-02-13T15.54.21.584,0.068,-0.061,0.793,0.122
1739458461586,2025-02-13T15.54.21.586,0.070,0.061,0.915,0.183
1739458461589,2025-02-13T15.54.21.589,0.073,-0.061,1.037,0.122
1739458461592,2025-02-13T15.54.21.592,0.076,0.000,0.915,0.061
1739458461595,2025-02-13T15.54.21.595,0.079,0.061,0.854,0.061
1739458461596,2025-02-13T15.54.21.596,0.080,-0.061,0.915,-0.061
1739458461599,2025-02-13T15.54.21.599,0.083,0.000,0.793,0.183
1739458461602,2025-02-13T15.54.21.602,0.086,0.061,0.915,0.183
1739458461603,2025-02-13T15.54.21.603,0.087,-0.061,0.915,0.122
1739458461606,2025-02-13T15.54.21.606,0.090,0.000,0.793,0.000
1739458461609,2025-02-13T15.54.21.609,0.093,0.000,0.854,0.183
1739458461612,2025-02-13T15.54.21.612,0.096,0.000,0.976,0.183
1739458461614,2025-02-13T15.54.21.614,0.098,0.061,0.915,0.061
1739458461617,2025-02-13T15.54.21.617,0.101,0.061,0.915,0.061
1739458461620,2025-02-13T15.54.21.620,0.104,-0.061,0.854,0.061
1739458461621,2025-02-13T15.54.21.621,0.105,0.000,0.915,0.183
1739458461624,2025-02-13T15.54.21.624,0.108,-0.061,0.976,0.183
1739458461627,2025-02-13T15.54.21.627,0.111,0.061,1.037,0.244
1739458461630,2025-02-13T15.54.21.630,0.114,-0.122,0.854,0.183
1739458461631,2025-02-13T15.54.21.631,0.115,-0.061,0.793,0.061
1739458461634,2025-02-13T15.54.21.634,0.118,0.000,0.793,0.000
1739458461637,2025-02-13T15.54.21.637,0.121,0.122,0.976,0.122
1739458461639,2025-02-13T15.54.21.639,0.123,-0.061,0.915,0.061
