epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1739554481746,2025-02-14T18.34.41.746,0.000,0.245,-0.152,0.943
1739554481749,2025-02-14T18.34.41.749,0.003,0.252,-0.147,0.950
1739554481752,2025-02-14T18.34.41.752,0.006,0.250,-0.146,0.949
1739554481754,2025-02-14T18.34.41.754,0.008,0.252,-0.149,0.950
1739554481756,2025-02-14T18.34.41.756,0.010,0.251,-0.150,0.942
1739554481759,2025-02-14T18.34.41.759,0.013,0.248,-0.147,0.948
1739554481761,2025-02-14T18.34.41.761,0.015,0.242,-0.150,0.950
1739554481764,2025-02-14T18.34.41.764,0.018,0.246,-0.152,0.945
1739554481767,2025-02-14T18.34.41.767,0.021,0.249,-0.148,0.946
1739554481770,2025-02-14T18.34.41.770,0.024,0.247,-0.145,0.949
1739554481771,2025-02-14T18.34.41.771,0.025,0.250,-0.142,0.951
1739554481774,2025-02-14T18.34.41.774,0.028,0.247,-0.146,0.948
1739554481777,2025-02-14T18.34.41.777,0.031,0.250,-0.147,0.955
1739554481778,2025-02-14T18.34.41.778,0.032,0.248,-0.148,0.950
1739554481781,2025-02-14T18.34.41.781,0.035,0.244,-0.145,0.948
1739554481784,2025-02-14T18.34.41.784,0.038,0.246,-0.147,0.946
1739554481787,2025-02-14T18.34.41.787,0.041,0.251,-0.149,0.954
1739554481789,2025-02-14T18.34.41.789,0.043,0.247,-0.146,0.951
1739554481792,2025-02-14T18.34.41.792,0.046,0.246,-0.147,0.945
1739554481795,2025-02-14T18.34.41.795,0.049,0.253,-0.148,0.943
1739554481796,2025-02-14T18.34.41.796,0.050,0.248,-0.147,0.950
1739554481799,2025-02-14T18.34.41.799,0.053,0.248,-0.151,0.954
1739554481802,2025-02-14T18.34.41.802,0.056,0.254,-0.150,0.951
1739554481805,2025-02-14T18.34.41.805,0.059,0.249,-0.146,0.951
1739554481806,2025-02-14T18.34.41.806,0.060,0.253,-0.147,0.944
1739554481809,2025-02-14T18.34.41.809,0.063,0.250,-0.149,0.952
1739554481812,2025-02-14T18.34.41.812,0.066,0.245,-0.150,0.949
1739554481814,2025-02-14T18.34.41.814,0.068,0.248,-0.150,0.948
1739554481817,2025-02-14T18.34.41.817,0.071,0.251,-0.146,0.950
1739554481819,2025-02-14T18.34.41.819,0.073,0.243,-0.145,0.946
1739554481822,2025-02-14T18.34.41.822,0.076,0.249,-0.147,0.951
1739554481824,2025-02-14T18.34.41.824,0.078,0.244,-0.150,0.949
1739554481827,2025-02-14T18.34.41.827,0.081,0.247,-0.149,0.945
1739554481830,2025-02-14T18.34.41.830,0.084,0.247,-0.147,0.947
1739554481831,2025-02-14T18.34.41.831,0.085,0.251,-0.147,0.954
1739554481834,2025-02-14T18.34.41.834,0.088,0.249,-0.145,0.949
1739554481837,2025-02-14T18.34.41.837,0.091,0.242,-0.147,0.952
1739554481840,2025-02-14T18.34.41.840,0.094,0.246,-0.148,0.945
1739554481841,2025-02-14T18.34.41.841,0.095,0.251,-0.146,0.944
1739554481844,2025-02-14T18.34.41.844,0.098,0.247,-0.146,0.950
1739554481847,2025-02-14T18.34.41.847,0.101,0.247,-0.148,0.954
1739554481849,2025-02-14T18.34.41.849,0.103,0.250,-0.148,0.948
1739554481852,2025-02-14T18.34.41.852,0.106,0.246,-0.145,0.946
1739554481855,2025-02-14T18.34.41.855,0.109,0.249,-0.145,0.947
1739554481858,2025-02-14T18.34.41.858,0.112,0.248,-0.146,0.951
1739554481859,2025-02-14T18.34.41.859,0.113,0.248,-0.149,0.948
1739554481862,2025-02-14T18.34.41.862,0.116,0.246,-0.147,0.947
1739554481865,2025-02-14T18.34.41.865,0.119,0.248,-0.150,0.947
1739554481866,2025-02-14T18.34.41.866,0.120,0.249,-0.147,0.947
1739554481869,2025-02-14T18.34.41.869,0.123,0.251,-0.151,0.950
1739554481872,2025-02-14T18.34.41.872,0.126,0.247,-0.150,0.942
1739554481875,2025-02-14T18.34.41.875,0.129,0.248,-0.146,0.944
1739554481877,2025-02-14T18.34.41.877,0.131,0.249,-0.148,0.952
1739554481880,2025-02-14T18.34.41.880,0.134,0.247,-0.148,0.951
1739554481882,2025-02-14T18.34.41.882,0.136,0.248,-0.146,0.947
