epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739554481784,2025-02-14T18.34.41.784,0.000,0.122,0.610,0.366
1739554481787,2025-02-14T18.34.41.787,0.003,-0.549,1.037,0.366
1739554481789,2025-02-14T18.34.41.789,0.005,-0.244,0.671,0.183
1739554481792,2025-02-14T18.34.41.792,0.008,-0.183,0.854,0.122
1739554481795,2025-02-14T18.34.41.795,0.011,-0.183,0.915,0.244
1739554481796,2025-02-14T18.34.41.796,0.012,0.000,0.793,0.244
1739554481799,2025-02-14T18.34.41.799,0.015,-0.244,0.854,0.122
1739554481802,2025-02-14T18.34.41.802,0.018,-0.061,0.610,0.122
1739554481805,2025-02-14T18.34.41.805,0.021,0.061,0.854,0.183
1739554481806,2025-02-14T18.34.41.806,0.022,0.000,0.671,0.244
1739554481809,2025-02-14T18.34.41.809,0.025,-0.122,0.732,0.061
1739554481812,2025-02-14T18.34.41.812,0.028,-0.183,0.793,0.183
1739554481814,2025-02-14T18.34.41.814,0.030,-0.061,0.793,0.000
1739554481817,2025-02-14T18.34.41.817,0.033,-0.183,0.732,0.000
1739554481819,2025-02-14T18.34.41.819,0.035,-0.366,0.793,0.122
1739554481822,2025-02-14T18.34.41.822,0.038,-0.183,0.793,0.061
1739554481824,2025-02-14T18.34.41.824,0.040,-0.244,0.793,0.122
1739554481827,2025-02-14T18.34.41.827,0.043,-0.305,0.793,0.061
1739554481830,2025-02-14T18.34.41.830,0.046,-0.366,0.793,0.183
1739554481831,2025-02-14T18.34.41.831,0.047,-0.183,0.915,0.122
1739554481834,2025-02-14T18.34.41.834,0.050,-0.183,0.732,0.122
1739554481837,2025-02-14T18.34.41.837,0.053,-0.305,0.793,0.122
1739554481840,2025-02-14T18.34.41.840,0.056,-0.183,0.854,0.183
1739554481841,2025-02-14T18.34.41.841,0.057,-0.305,0.793,0.061
1739554481844,2025-02-14T18.34.41.844,0.060,-0.183,0.854,0.244
1739554481847,2025-02-14T18.34.41.847,0.063,-0.183,0.793,0.122
1739554481849,2025-02-14T18.34.41.849,0.065,-0.183,0.671,0.000
1739554481852,2025-02-14T18.34.41.852,0.068,-0.244,0.793,0.122
1739554481855,2025-02-14T18.34.41.855,0.071,-0.244,0.793,0.244
1739554481858,2025-02-14T18.34.41.858,0.074,-0.183,0.732,0.183
1739554481859,2025-02-14T18.34.41.859,0.075,-0.183,0.732,0.122
1739554481862,2025-02-14T18.34.41.862,0.078,-0.305,0.793,0.061
1739554481865,2025-02-14T18.34.41.865,0.081,-0.305,0.854,0.061
1739554481866,2025-02-14T18.34.41.866,0.082,-0.305,0.793,0.061
1739554481869,2025-02-14T18.34.41.869,0.085,-0.244,0.671,0.000
1739554481872,2025-02-14T18.34.41.872,0.088,0.000,0.793,0.122
1739554481875,2025-02-14T18.34.41.875,0.091,0.061,0.976,0.122
1739554481877,2025-02-14T18.34.41.877,0.093,-0.183,0.732,0.061
1739554481880,2025-02-14T18.34.41.880,0.096,-0.183,0.793,0.061
1739554481882,2025-02-14T18.34.41.882,0.098,-0.122,0.854,0.183
1739554481884,2025-02-14T18.34.41.884,0.100,-0.122,0.671,0.244
1739554481887,2025-02-14T18.34.41.887,0.103,-0.183,0.793,0.061
1739554481890,2025-02-14T18.34.41.890,0.106,-0.183,0.976,0.122
1739554481893,2025-02-14T18.34.41.893,0.109,-0.122,0.732,0.122
1739554481894,2025-02-14T18.34.41.894,0.110,-0.122,0.793,0.122
1739554481897,2025-02-14T18.34.41.897,0.113,-0.244,0.793,0.061
1739554481900,2025-02-14T18.34.41.900,0.116,0.000,0.732,0.122
1739554481902,2025-02-14T18.34.41.902,0.118,-0.122,0.854,0.122
1739554481904,2025-02-14T18.34.41.904,0.120,-0.061,0.732,0.244
1739554481907,2025-02-14T18.34.41.907,0.123,-0.366,0.732,0.183
1739554481910,2025-02-14T18.34.41.910,0.126,-0.244,0.915,0.183
1739554481912,2025-02-14T18.34.41.912,0.128,-0.244,0.854,0.183
1739554481915,2025-02-14T18.34.41.915,0.131,0.061,0.854,0.183
1739554481918,2025-02-14T18.34.41.918,0.134,0.061,0.732,0.000
1739554481919,2025-02-14T18.34.41.919,0.135,-0.305,0.915,0.061
1739554481922,2025-02-14T18.34.41.922,0.138,-0.305,1.037,0.183
1739554481925,2025-02-14T18.34.41.925,0.141,-0.305,0.732,0.244
1739554481928,2025-02-14T18.34.41.928,0.144,-0.488,0.793,0.183
1739554481929,2025-02-14T18.34.41.929,0.145,-0.244,0.793,0.244
1739554481932,2025-02-14T18.34.41.932,0.148,-0.244,0.854,0.305
1739554481935,2025-02-14T18.34.41.935,0.151,-0.122,0.732,0.244
1739554481937,2025-02-14T18.34.41.937,0.153,-0.366,0.671,0.061
