epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1740682476994,2025-02-27T19.54.36.994,0.000,0.208,0.896,0.137
1740682477004,2025-02-27T19.54.37.004,0.010,0.215,0.901,0.136
1740682477014,2025-02-27T19.54.37.014,0.020,0.219,0.895,0.138
1740682477024,2025-02-27T19.54.37.024,0.030,0.219,0.898,0.140
1740682477035,2025-02-27T19.54.37.035,0.041,0.220,0.899,0.139
1740682477045,2025-02-27T19.54.37.045,0.051,0.219,0.900,0.139
1740682477054,2025-02-27T19.54.37.054,0.060,0.214,0.902,0.139
1740682477064,2025-02-27T19.54.37.064,0.070,0.213,0.904,0.132
1740682477074,2025-02-27T19.54.37.074,0.080,0.212,0.907,0.130
1740682477084,2025-02-27T19.54.37.084,0.090,0.216,0.909,0.132
1740682477095,2025-02-27T19.54.37.095,0.101,0.215,0.908,0.133
1740682477105,2025-02-27T19.54.37.105,0.111,0.216,0.904,0.134
1740682477115,2025-02-27T19.54.37.115,0.121,0.216,0.901,0.138
1740682477124,2025-02-27T19.54.37.124,0.130,0.219,0.898,0.136
1740682477134,2025-02-27T19.54.37.134,0.140,0.222,0.897,0.138
1740682477144,2025-02-27T19.54.37.144,0.150,0.219,0.896,0.139
1740682477155,2025-02-27T19.54.37.155,0.161,0.217,0.900,0.138
1740682477165,2025-02-27T19.54.37.165,0.171,0.217,0.901,0.138
1740682477175,2025-02-27T19.54.37.175,0.181,0.218,0.904,0.133
1740682477185,2025-02-27T19.54.37.185,0.191,0.218,0.906,0.137
1740682477194,2025-02-27T19.54.37.194,0.200,0.219,0.905,0.138
1740682477204,2025-02-27T19.54.37.204,0.210,0.222,0.903,0.138
1740682477215,2025-02-27T19.54.37.215,0.221,0.225,0.899,0.140
1740682477225,2025-02-27T19.54.37.225,0.231,0.227,0.896,0.140
1740682477235,2025-02-27T19.54.37.235,0.241,0.222,0.897,0.141
1740682477246,2025-02-27T19.54.37.246,0.252,0.216,0.898,0.139
1740682477256,2025-02-27T19.54.37.256,0.262,0.215,0.902,0.137
1740682477265,2025-02-27T19.54.37.265,0.271,0.215,0.904,0.137
1740682477275,2025-02-27T19.54.37.275,0.281,0.213,0.905,0.132
1740682477285,2025-02-27T19.54.37.285,0.291,0.218,0.902,0.128
1740682477295,2025-02-27T19.54.37.295,0.301,0.219,0.906,0.128
1740682477306,2025-02-27T19.54.37.306,0.312,0.215,0.912,0.139
1740682477316,2025-02-27T19.54.37.316,0.322,0.212,0.905,0.140
1740682477325,2025-02-27T19.54.37.325,0.331,0.211,0.904,0.133
1740682477335,2025-02-27T19.54.37.335,0.341,0.215,0.903,0.132
1740682477345,2025-02-27T19.54.37.345,0.351,0.214,0.902,0.136
1740682477355,2025-02-27T19.54.37.355,0.361,0.215,0.902,0.139
1740682477366,2025-02-27T19.54.37.366,0.372,0.216,0.905,0.134
1740682477376,2025-02-27T19.54.37.376,0.382,0.222,0.903,0.132
1740682477386,2025-02-27T19.54.37.386,0.392,0.224,0.904,0.132
1740682477395,2025-02-27T19.54.37.395,0.401,0.219,0.907,0.134
1740682477405,2025-02-27T19.54.37.405,0.411,0.215,0.909,0.132
1740682477415,2025-02-27T19.54.37.415,0.421,0.218,0.910,0.132
1740682477426,2025-02-27T19.54.37.426,0.432,0.216,0.906,0.134
1740682477436,2025-02-27T19.54.37.436,0.442,0.215,0.903,0.135
1740682477446,2025-02-27T19.54.37.446,0.452,0.218,0.903,0.137
1740682477456,2025-02-27T19.54.37.456,0.462,0.221,0.902,0.138
1740682477465,2025-02-27T19.54.37.465,0.471,0.223,0.901,0.136
1740682477475,2025-02-27T19.54.37.475,0.481,0.222,0.902,0.139
1740682477486,2025-02-27T19.54.37.486,0.492,0.228,0.904,0.139
1740682477496,2025-02-27T19.54.37.496,0.502,0.229,0.902,0.138
1740682477506,2025-02-27T19.54.37.506,0.512,0.229,0.899,0.133
1740682477517,2025-02-27T19.54.37.517,0.523,0.229,0.899,0.133
1740682477527,2025-02-27T19.54.37.527,0.533,0.231,0.900,0.136
1740682477536,2025-02-27T19.54.37.536,0.542,0.232,0.899,0.137
1740682477546,2025-02-27T19.54.37.546,0.552,0.231,0.896,0.138
1740682477556,2025-02-27T19.54.37.556,0.562,0.231,0.895,0.143
1740682477566,2025-02-27T19.54.37.566,0.572,0.229,0.899,0.147
1740682477577,2025-02-27T19.54.37.577,0.583,0.228,0.899,0.142
1740682477587,2025-02-27T19.54.37.587,0.593,0.227,0.898,0.142
1740682477597,2025-02-27T19.54.37.597,0.603,0.229,0.900,0.140
1740682477606,2025-02-27T19.54.37.606,0.612,0.228,0.900,0.135
1740682477616,2025-02-27T19.54.37.616,0.622,0.230,0.899,0.135
1740682477626,2025-02-27T19.54.37.626,0.632,0.229,0.901,0.138
1740682477637,2025-02-27T19.54.37.637,0.643,0.229,0.897,0.133
1740682477647,2025-02-27T19.54.37.647,0.653,0.230,0.899,0.135
1740682477657,2025-02-27T19.54.37.657,0.663,0.227,0.899,0.139
1740682477666,2025-02-27T19.54.37.666,0.672,0.229,0.897,0.136
1740682477676,2025-02-27T19.54.37.676,0.682,0.230,0.900,0.138
1740682477686,2025-02-27T19.54.37.686,0.692,0.231,0.901,0.138
1740682477697,2025-02-27T19.54.37.697,0.703,0.233,0.899,0.139
1740682477707,2025-02-27T19.54.37.707,0.713,0.234,0.897,0.134
1740682477717,2025-02-27T19.54.37.717,0.723,0.230,0.905,0.140
1740682477727,2025-02-27T19.54.37.727,0.733,0.230,0.906,0.135
1740682477736,2025-02-27T19.54.37.736,0.742,0.229,0.904,0.135
1740682477746,2025-02-27T19.54.37.746,0.752,0.226,0.901,0.133
1740682477757,2025-02-27T19.54.37.757,0.763,0.228,0.903,0.138
1740682477767,2025-02-27T19.54.37.767,0.773,0.230,0.903,0.142
1740682477777,2025-02-27T19.54.37.777,0.783,0.230,0.899,0.138
1740682477788,2025-02-27T19.54.37.788,0.794,0.229,0.902,0.139
1740682477798,2025-02-27T19.54.37.798,0.804,0.229,0.905,0.136
1740682477807,2025-02-27T19.54.37.807,0.813,0.236,0.903,0.136
1740682477817,2025-02-27T19.54.37.817,0.823,0.235,0.904,0.134
1740682477827,2025-02-27T19.54.37.827,0.833,0.235,0.904,0.137
1740682477837,2025-02-27T19.54.37.837,0.843,0.235,0.900,0.137
1740682477848,2025-02-27T19.54.37.848,0.854,0.233,0.900,0.138
1740682477858,2025-02-27T19.54.37.858,0.864,0.232,0.900,0.140
1740682477868,2025-02-27T19.54.37.868,0.874,0.230,0.901,0.139
1740682477877,2025-02-27T19.54.37.877,0.883,0.231,0.901,0.137
1740682477887,2025-02-27T19.54.37.887,0.893,0.228,0.900,0.139
1740682477897,2025-02-27T19.54.37.897,0.903,0.225,0.899,0.138
1740682477908,2025-02-27T19.54.37.908,0.914,0.226,0.900,0.136
1740682477918,2025-02-27T19.54.37.918,0.924,0.227,0.898,0.137
1740682477928,2025-02-27T19.54.37.928,0.934,0.224,0.899,0.140
1740682477937,2025-02-27T19.54.37.937,0.943,0.223,0.901,0.140
1740682477947,2025-02-27T19.54.37.947,0.953,0.229,0.902,0.138
1740682477957,2025-02-27T19.54.37.957,0.963,0.230,0.901,0.140
1740682477968,2025-02-27T19.54.37.968,0.974,0.228,0.903,0.143
1740682477978,2025-02-27T19.54.37.978,0.984,0.227,0.904,0.138
1740682477988,2025-02-27T19.54.37.988,0.994,0.229,0.902,0.133
1740682477998,2025-02-27T19.54.37.998,1.004,0.228,0.899,0.134
1740682478007,2025-02-27T19.54.38.007,1.013,0.231,0.902,0.140
1740682478017,2025-02-27T19.54.38.017,1.023,0.231,0.901,0.144
1740682478028,2025-02-27T19.54.38.028,1.034,0.229,0.899,0.142
1740682478038,2025-02-27T19.54.38.038,1.044,0.230,0.899,0.137
1740682478048,2025-02-27T19.54.38.048,1.054,0.229,0.904,0.137
1740682478058,2025-02-27T19.54.38.058,1.064,0.226,0.901,0.140
1740682478069,2025-02-27T19.54.38.069,1.075,0.222,0.898,0.142
1740682478078,2025-02-27T19.54.38.078,1.084,0.226,0.900,0.142
1740682478088,2025-02-27T19.54.38.088,1.094,0.227,0.900,0.142
1740682478098,2025-02-27T19.54.38.098,1.104,0.231,0.901,0.143
1740682478108,2025-02-27T19.54.38.108,1.114,0.230,0.904,0.140
1740682478119,2025-02-27T19.54.38.119,1.125,0.231,0.903,0.137
1740682478129,2025-02-27T19.54.38.129,1.135,0.232,0.902,0.138
1740682478139,2025-02-27T19.54.38.139,1.145,0.232,0.903,0.136
1740682478148,2025-02-27T19.54.38.148,1.154,0.230,0.902,0.135
1740682478158,2025-02-27T19.54.38.158,1.164,0.231,0.899,0.137
1740682478168,2025-02-27T19.54.38.168,1.174,0.230,0.901,0.137
1740682478179,2025-02-27T19.54.38.179,1.185,0.232,0.900,0.140
1740682478189,2025-02-27T19.54.38.189,1.195,0.229,0.900,0.144
1740682478199,2025-02-27T19.54.38.199,1.205,0.228,0.902,0.144
1740682478208,2025-02-27T19.54.38.208,1.214,0.229,0.903,0.140
1740682478218,2025-02-27T19.54.38.218,1.224,0.229,0.904,0.140
1740682478228,2025-02-27T19.54.38.228,1.234,0.229,0.903,0.141
1740682478239,2025-02-27T19.54.38.239,1.245,0.232,0.902,0.142
1740682478249,2025-02-27T19.54.38.249,1.255,0.231,0.902,0.145
1740682478259,2025-02-27T19.54.38.259,1.265,0.231,0.899,0.145
1740682478269,2025-02-27T19.54.38.269,1.275,0.236,0.899,0.139
1740682478278,2025-02-27T19.54.38.278,1.284,0.239,0.899,0.140
1740682478288,2025-02-27T19.54.38.288,1.294,0.239,0.899,0.141
1740682478299,2025-02-27T19.54.38.299,1.305,0.238,0.898,0.139
1740682478309,2025-02-27T19.54.38.309,1.315,0.237,0.902,0.139
1740682478319,2025-02-27T19.54.38.319,1.325,0.238,0.898,0.144
1740682478329,2025-02-27T19.54.38.329,1.335,0.241,0.902,0.145
1740682478340,2025-02-27T19.54.38.340,1.346,0.236,0.898,0.143
1740682478349,2025-02-27T19.54.38.349,1.355,0.240,0.896,0.142
1740682478359,2025-02-27T19.54.38.359,1.365,0.238,0.897,0.141
1740682478369,2025-02-27T19.54.38.369,1.375,0.236,0.896,0.142
1740682478379,2025-02-27T19.54.38.379,1.385,0.232,0.896,0.146
1740682478390,2025-02-27T19.54.38.390,1.396,0.233,0.899,0.145
1740682478400,2025-02-27T19.54.38.400,1.406,0.235,0.898,0.141
1740682478410,2025-02-27T19.54.38.410,1.416,0.241,0.896,0.141
1740682478419,2025-02-27T19.54.38.419,1.425,0.237,0.901,0.142
1740682478429,2025-02-27T19.54.38.429,1.435,0.237,0.900,0.140
1740682478439,2025-02-27T19.54.38.439,1.445,0.237,0.900,0.138
1740682478450,2025-02-27T19.54.38.450,1.456,0.235,0.903,0.137
1740682478460,2025-02-27T19.54.38.460,1.466,0.235,0.903,0.136
1740682478470,2025-02-27T19.54.38.470,1.476,0.234,0.904,0.139
1740682478479,2025-02-27T19.54.38.479,1.485,0.235,0.905,0.137
1740682478489,2025-02-27T19.54.38.489,1.495,0.235,0.902,0.137
1740682478499,2025-02-27T19.54.38.499,1.505,0.236,0.899,0.138
1740682478510,2025-02-27T19.54.38.510,1.516,0.234,0.901,0.140
1740682478520,2025-02-27T19.54.38.520,1.526,0.235,0.900,0.143
1740682478530,2025-02-27T19.54.38.530,1.536,0.237,0.903,0.143
1740682478540,2025-02-27T19.54.38.540,1.546,0.237,0.902,0.140
1740682478549,2025-02-27T19.54.38.549,1.555,0.233,0.900,0.137
1740682478559,2025-02-27T19.54.38.559,1.565,0.234,0.899,0.137
1740682478570,2025-02-27T19.54.38.570,1.576,0.234,0.900,0.137
1740682478580,2025-02-27T19.54.38.580,1.586,0.236,0.901,0.136
1740682478590,2025-02-27T19.54.38.590,1.596,0.236,0.899,0.133
1740682478600,2025-02-27T19.54.38.600,1.606,0.233,0.899,0.135
1740682478611,2025-02-27T19.54.38.611,1.617,0.236,0.901,0.136
1740682478620,2025-02-27T19.54.38.620,1.626,0.238,0.901,0.136
1740682478630,2025-02-27T19.54.38.630,1.636,0.237,0.904,0.139
1740682478640,2025-02-27T19.54.38.640,1.646,0.237,0.900,0.137
1740682478650,2025-02-27T19.54.38.650,1.656,0.239,0.899,0.136
1740682478661,2025-02-27T19.54.38.661,1.667,0.240,0.902,0.136
1740682478671,2025-02-27T19.54.38.671,1.677,0.243,0.902,0.137
