epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1740682477004,2025-02-27T19.54.37.004,0.000,-0.122,-1.585,0.061
1740682477014,2025-02-27T19.54.37.014,0.010,-0.427,-1.463,-0.183
1740682477024,2025-02-27T19.54.37.024,0.020,-0.183,-1.463,-0.305
1740682477035,2025-02-27T19.54.37.035,0.031,-0.061,-1.220,-0.183
1740682477045,2025-02-27T19.54.37.045,0.041,0.000,-1.280,-0.183
1740682477054,2025-02-27T19.54.37.054,0.050,0.061,-1.220,-0.183
1740682477064,2025-02-27T19.54.37.064,0.060,0.061,-1.159,-0.183
1740682477074,2025-02-27T19.54.37.074,0.070,0.122,-0.976,-0.244
1740682477084,2025-02-27T19.54.37.084,0.080,0.122,-0.854,-0.244
1740682477095,2025-02-27T19.54.37.095,0.091,0.122,-0.854,-0.305
1740682477105,2025-02-27T19.54.37.105,0.101,0.244,-0.915,-0.366
1740682477115,2025-02-27T19.54.37.115,0.111,0.305,-0.915,-0.366
1740682477124,2025-02-27T19.54.37.124,0.120,0.366,-0.793,-0.366
1740682477134,2025-02-27T19.54.37.134,0.130,0.488,-0.488,-0.244
1740682477144,2025-02-27T19.54.37.144,0.140,0.549,-0.549,-0.305
1740682477155,2025-02-27T19.54.37.155,0.151,0.427,-0.732,-0.427
1740682477165,2025-02-27T19.54.37.165,0.161,0.244,-0.976,-0.366
1740682477175,2025-02-27T19.54.37.175,0.171,0.183,-0.854,-0.427
1740682477185,2025-02-27T19.54.37.185,0.181,0.061,-0.366,-0.244
1740682477194,2025-02-27T19.54.37.194,0.190,0.061,0.183,0.183
1740682477204,2025-02-27T19.54.37.204,0.200,0.061,0.488,0.427
1740682477215,2025-02-27T19.54.37.215,0.211,-0.122,0.488,0.488
1740682477225,2025-02-27T19.54.37.225,0.221,-0.366,0.061,0.610
1740682477235,2025-02-27T19.54.37.235,0.231,-0.244,-0.244,0.610
1740682477246,2025-02-27T19.54.37.246,0.242,-0.183,-0.305,0.732
1740682477256,2025-02-27T19.54.37.256,0.252,-0.061,-0.122,0.915
1740682477265,2025-02-27T19.54.37.265,0.261,-0.061,0.122,0.915
1740682477275,2025-02-27T19.54.37.275,0.271,-0.122,0.366,0.854
1740682477285,2025-02-27T19.54.37.285,0.281,-0.305,0.549,0.793
1740682477295,2025-02-27T19.54.37.295,0.291,-0.549,0.610,0.732
1740682477306,2025-02-27T19.54.37.306,0.302,-0.305,0.793,0.976
1740682477316,2025-02-27T19.54.37.316,0.312,0.183,0.915,1.098
1740682477325,2025-02-27T19.54.37.325,0.321,0.000,0.549,0.854
1740682477335,2025-02-27T19.54.37.335,0.331,-0.244,0.366,0.671
1740682477345,2025-02-27T19.54.37.345,0.341,-0.122,0.549,0.549
1740682477355,2025-02-27T19.54.37.355,0.351,0.183,0.732,0.488
1740682477366,2025-02-27T19.54.37.366,0.362,0.000,0.976,0.488
