epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1740692234684,2025-02-27T22.37.14.684,0.000,0.160,0.906,-0.210
1740692234695,2025-02-27T22.37.14.695,0.011,0.176,0.911,-0.221
1740692234705,2025-02-27T22.37.14.705,0.021,0.165,0.906,-0.222
1740692234715,2025-02-27T22.37.14.715,0.031,0.155,0.906,-0.214
1740692234724,2025-02-27T22.37.14.724,0.040,0.154,0.905,-0.213
1740692234734,2025-02-27T22.37.14.734,0.050,0.147,0.909,-0.216
1740692234745,2025-02-27T22.37.14.745,0.061,0.147,0.915,-0.217
1740692234755,2025-02-27T22.37.14.755,0.071,0.152,0.914,-0.221
1740692234765,2025-02-27T22.37.14.765,0.081,0.148,0.911,-0.220
1740692234775,2025-02-27T22.37.14.775,0.091,0.138,0.912,-0.220
1740692234786,2025-02-27T22.37.14.786,0.102,0.130,0.911,-0.223
1740692234796,2025-02-27T22.37.14.796,0.112,0.129,0.912,-0.227
1740692234806,2025-02-27T22.37.14.806,0.122,0.128,0.911,-0.226
1740692234816,2025-02-27T22.37.14.816,0.132,0.136,0.910,-0.220
1740692234827,2025-02-27T22.37.14.827,0.143,0.131,0.910,-0.219
1740692234835,2025-02-27T22.37.14.835,0.151,0.120,0.906,-0.216
1740692234846,2025-02-27T22.37.14.846,0.162,0.115,0.909,-0.216
1740692234856,2025-02-27T22.37.14.856,0.172,0.116,0.908,-0.221
1740692234866,2025-02-27T22.37.14.866,0.182,0.123,0.907,-0.220
1740692234876,2025-02-27T22.37.14.876,0.192,0.144,0.907,-0.219
1740692234887,2025-02-27T22.37.14.887,0.203,0.157,0.905,-0.220
1740692234897,2025-02-27T22.37.14.897,0.213,0.167,0.907,-0.223
1740692234907,2025-02-27T22.37.14.907,0.223,0.182,0.906,-0.229
1740692234917,2025-02-27T22.37.14.917,0.233,0.191,0.903,-0.233
1740692234928,2025-02-27T22.37.14.928,0.244,0.185,0.905,-0.222
1740692234938,2025-02-27T22.37.14.938,0.254,0.173,0.907,-0.224
1740692234947,2025-02-27T22.37.14.947,0.263,0.139,0.905,-0.223
1740692234957,2025-02-27T22.37.14.957,0.273,0.117,0.914,-0.221
1740692234967,2025-02-27T22.37.14.967,0.283,0.139,0.917,-0.229
1740692234977,2025-02-27T22.37.14.977,0.293,0.158,0.909,-0.225
1740692234988,2025-02-27T22.37.14.988,0.304,0.176,0.916,-0.223
1740692234998,2025-02-27T22.37.14.998,0.314,0.174,0.896,-0.229
1740692235008,2025-02-27T22.37.15.008,0.324,0.118,0.909,-0.201
