epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1740692264855,2025-02-27T22.37.44.855,0.000,-0.976,1.098,-0.061
1740692264865,2025-02-27T22.37.44.865,0.010,-0.915,1.098,-0.061
1740692264875,2025-02-27T22.37.44.875,0.020,-0.915,1.037,0.183
1740692264886,2025-02-27T22.37.44.886,0.031,-0.793,1.098,0.122
1740692264896,2025-02-27T22.37.44.896,0.041,-0.793,1.341,0.061
1740692264906,2025-02-27T22.37.44.906,0.051,-0.610,1.402,0.000
1740692264915,2025-02-27T22.37.44.915,0.060,-0.488,1.220,-0.122
1740692264925,2025-02-27T22.37.44.925,0.070,-0.427,0.976,-0.183
1740692264935,2025-02-27T22.37.44.935,0.080,-0.427,0.976,-0.305
1740692264946,2025-02-27T22.37.44.946,0.091,-0.366,0.976,-0.427
1740692264956,2025-02-27T22.37.44.956,0.101,-0.488,0.915,-0.488
1740692264966,2025-02-27T22.37.44.966,0.111,-0.427,0.915,-0.427
1740692264976,2025-02-27T22.37.44.976,0.121,-0.183,1.037,-0.427
1740692264985,2025-02-27T22.37.44.985,0.130,-0.061,1.037,-0.488
1740692264995,2025-02-27T22.37.44.995,0.140,-0.061,0.793,-0.488
1740692265006,2025-02-27T22.37.45.006,0.151,-0.061,0.671,-0.427
1740692265016,2025-02-27T22.37.45.016,0.161,-0.305,0.427,-0.549
1740692265026,2025-02-27T22.37.45.026,0.171,-0.244,0.488,-0.427
1740692265036,2025-02-27T22.37.45.036,0.181,-0.305,0.427,-0.488
1740692265047,2025-02-27T22.37.45.047,0.192,-0.305,0.305,-0.488
1740692265055,2025-02-27T22.37.45.055,0.200,-0.244,0.244,-0.488
1740692265066,2025-02-27T22.37.45.066,0.211,-0.305,0.244,-0.549
1740692265076,2025-02-27T22.37.45.076,0.221,-0.427,0.305,-0.549
1740692265086,2025-02-27T22.37.45.086,0.231,-0.427,0.183,-0.488
1740692265097,2025-02-27T22.37.45.097,0.242,-0.610,0.244,-0.549
1740692265107,2025-02-27T22.37.45.107,0.252,-0.549,0.427,-0.427
1740692265117,2025-02-27T22.37.45.117,0.262,-0.305,0.488,-0.366
1740692265126,2025-02-27T22.37.45.126,0.271,-0.549,0.427,-0.366
1740692265136,2025-02-27T22.37.45.136,0.281,-0.915,-0.061,-0.427
1740692265146,2025-02-27T22.37.45.146,0.291,-1.098,-0.366,-0.549
1740692265157,2025-02-27T22.37.45.157,0.302,-1.280,-0.244,-0.549
1740692265167,2025-02-27T22.37.45.167,0.312,-1.280,-0.244,-0.488
1740692265177,2025-02-27T22.37.45.177,0.322,-1.341,0.000,-0.549
1740692265187,2025-02-27T22.37.45.187,0.332,-1.524,-0.244,-0.549
1740692265196,2025-02-27T22.37.45.196,0.341,-1.463,-0.488,-0.366
1740692265206,2025-02-27T22.37.45.206,0.351,-1.220,-0.427,-0.183
1740692265217,2025-02-27T22.37.45.217,0.362,-0.976,0.061,-0.061
1740692265227,2025-02-27T22.37.45.227,0.372,-0.915,0.671,0.000
1740692265237,2025-02-27T22.37.45.237,0.382,-1.098,0.915,-0.061
1740692265247,2025-02-27T22.37.45.247,0.392,-1.341,0.610,-0.122
1740692265256,2025-02-27T22.37.45.256,0.401,-1.280,0.183,0.000
1740692265266,2025-02-27T22.37.45.266,0.411,-1.098,0.061,-0.061
1740692265277,2025-02-27T22.37.45.277,0.422,-0.976,-0.183,-0.061
1740692265287,2025-02-27T22.37.45.287,0.432,-0.793,-1.037,-0.061
1740692265297,2025-02-27T22.37.45.297,0.442,-0.549,-1.646,-0.122
1740692265307,2025-02-27T22.37.45.307,0.452,-0.244,-1.890,-0.244
1740692265318,2025-02-27T22.37.45.318,0.463,-0.061,-2.073,-0.305
1740692265326,2025-02-27T22.37.45.326,0.471,0.305,-2.073,-0.427
1740692265337,2025-02-27T22.37.45.337,0.482,0.549,-2.256,-0.488
1740692265347,2025-02-27T22.37.45.347,0.492,0.488,-2.317,-0.549
1740692265357,2025-02-27T22.37.45.357,0.502,0.488,-2.012,-0.488
1740692265368,2025-02-27T22.37.45.368,0.513,0.549,-1.707,-0.427
1740692265378,2025-02-27T22.37.45.378,0.523,0.366,-1.463,-0.427
1740692265388,2025-02-27T22.37.45.388,0.533,0.183,-1.402,-0.366
1740692265397,2025-02-27T22.37.45.397,0.542,0.122,-1.280,-0.244
1740692265407,2025-02-27T22.37.45.407,0.552,0.244,-1.098,-0.183
1740692265417,2025-02-27T22.37.45.417,0.562,0.122,-0.976,-0.122
1740692265428,2025-02-27T22.37.45.428,0.573,0.183,-0.732,-0.122
1740692265438,2025-02-27T22.37.45.438,0.583,0.244,-0.732,-0.183
1740692265448,2025-02-27T22.37.45.448,0.593,0.305,-0.610,-0.183
1740692265457,2025-02-27T22.37.45.457,0.602,0.305,-0.305,-0.061
1740692265467,2025-02-27T22.37.45.467,0.612,0.061,0.183,-0.122
1740692265477,2025-02-27T22.37.45.477,0.622,0.000,0.366,-0.183
1740692265488,2025-02-27T22.37.45.488,0.633,-0.061,0.488,-0.244
1740692265498,2025-02-27T22.37.45.498,0.643,0.183,0.549,-0.183
1740692265508,2025-02-27T22.37.45.508,0.653,0.244,0.488,-0.183
1740692265518,2025-02-27T22.37.45.518,0.663,0.488,0.610,-0.183
1740692265527,2025-02-27T22.37.45.527,0.672,0.549,0.671,-0.244
1740692265537,2025-02-27T22.37.45.537,0.682,0.488,0.732,-0.305
1740692265548,2025-02-27T22.37.45.548,0.693,0.549,0.976,-0.427
1740692265558,2025-02-27T22.37.45.558,0.703,0.549,1.220,-0.427
1740692265568,2025-02-27T22.37.45.568,0.713,0.549,1.402,-0.366
1740692265578,2025-02-27T22.37.45.578,0.723,0.610,1.646,-0.366
1740692265589,2025-02-27T22.37.45.589,0.734,0.793,1.829,-0.305
1740692265597,2025-02-27T22.37.45.597,0.742,0.854,1.829,-0.305
1740692265608,2025-02-27T22.37.45.608,0.753,0.732,1.768,-0.305
1740692265618,2025-02-27T22.37.45.618,0.763,0.610,1.646,-0.427
1740692265628,2025-02-27T22.37.45.628,0.773,0.793,1.646,-0.427
1740692265639,2025-02-27T22.37.45.639,0.784,0.915,1.646,-0.549
1740692265649,2025-02-27T22.37.45.649,0.794,0.793,1.646,-0.610
1740692265659,2025-02-27T22.37.45.659,0.804,0.854,1.585,-0.610
1740692265668,2025-02-27T22.37.45.668,0.813,1.098,1.463,-0.610
1740692265678,2025-02-27T22.37.45.678,0.823,0.915,1.524,-0.671
1740692265688,2025-02-27T22.37.45.688,0.833,0.793,1.768,-0.610
1740692265699,2025-02-27T22.37.45.699,0.844,0.915,1.890,-0.488
1740692265709,2025-02-27T22.37.45.709,0.854,0.793,1.951,-0.427
1740692265719,2025-02-27T22.37.45.719,0.864,0.671,1.829,-0.427
1740692265728,2025-02-27T22.37.45.728,0.873,0.854,1.829,-0.427
1740692265738,2025-02-27T22.37.45.738,0.883,0.854,1.890,-0.427
1740692265748,2025-02-27T22.37.45.748,0.893,0.793,1.829,-0.488
1740692265759,2025-02-27T22.37.45.759,0.904,0.671,1.585,-0.427
1740692265769,2025-02-27T22.37.45.769,0.914,0.610,1.463,-0.427
1740692265779,2025-02-27T22.37.45.779,0.924,0.488,1.341,-0.427
1740692265789,2025-02-27T22.37.45.789,0.934,0.488,1.159,-0.427
1740692265800,2025-02-27T22.37.45.800,0.945,0.549,1.402,-0.366
1740692265808,2025-02-27T22.37.45.808,0.953,0.488,1.646,-0.366
1740692265819,2025-02-27T22.37.45.819,0.964,0.488,1.829,-0.305
1740692265829,2025-02-27T22.37.45.829,0.974,0.610,2.134,-0.366
1740692265839,2025-02-27T22.37.45.839,0.984,0.427,2.012,-0.244
1740692265849,2025-02-27T22.37.45.849,0.994,0.366,1.707,-0.244
1740692265860,2025-02-27T22.37.45.860,1.005,0.305,1.585,-0.244
1740692265868,2025-02-27T22.37.45.868,1.013,0.366,1.524,-0.244
1740692265879,2025-02-27T22.37.45.879,1.024,0.427,1.646,-0.183
1740692265889,2025-02-27T22.37.45.889,1.034,0.610,1.707,-0.183
1740692265899,2025-02-27T22.37.45.899,1.044,0.549,1.585,-0.183
1740692265909,2025-02-27T22.37.45.909,1.054,0.549,1.159,-0.122
1740692265920,2025-02-27T22.37.45.920,1.065,0.610,1.159,-0.183
1740692265930,2025-02-27T22.37.45.930,1.075,0.549,1.159,-0.183
1740692265939,2025-02-27T22.37.45.939,1.084,0.366,1.098,-0.305
1740692265949,2025-02-27T22.37.45.949,1.094,0.366,1.098,-0.244
1740692265959,2025-02-27T22.37.45.959,1.104,0.427,1.098,-0.122
1740692265970,2025-02-27T22.37.45.970,1.115,0.366,0.854,-0.183
1740692265980,2025-02-27T22.37.45.980,1.125,0.366,0.366,-0.183
1740692265990,2025-02-27T22.37.45.990,1.135,0.427,0.061,-0.122
1740692265999,2025-02-27T22.37.45.999,1.144,0.427,0.061,-0.183
1740692266009,2025-02-27T22.37.46.009,1.154,0.488,0.061,-0.183
