epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1740777397931,2025-02-28T22.16.37.931,0.000,0.144,-0.086,0.960
1740777397941,2025-02-28T22.16.37.941,0.010,0.147,-0.088,0.977
1740777397951,2025-02-28T22.16.37.951,0.020,0.147,-0.087,0.969
1740777397960,2025-02-28T22.16.37.960,0.029,0.145,-0.087,0.971
1740777397970,2025-02-28T22.16.37.970,0.039,0.143,-0.085,0.971
1740777397981,2025-02-28T22.16.37.981,0.050,0.139,-0.086,0.968
1740777397991,2025-02-28T22.16.37.991,0.060,0.135,-0.081,0.972
1740777398001,2025-02-28T22.16.38.001,0.070,0.149,-0.111,1.022
1740777398011,2025-02-28T22.16.38.011,0.080,0.105,-0.090,0.913
1740777398022,2025-02-28T22.16.38.022,0.091,0.104,-0.084,0.927
1740777398030,2025-02-28T22.16.38.030,0.099,0.128,-0.110,0.980
1740777398041,2025-02-28T22.16.38.041,0.110,0.129,-0.106,0.969
1740777398051,2025-02-28T22.16.38.051,0.120,0.132,-0.110,0.972
1740777398061,2025-02-28T22.16.38.061,0.130,0.138,-0.113,0.975
1740777398071,2025-02-28T22.16.38.071,0.140,0.136,-0.107,0.976
1740777398082,2025-02-28T22.16.38.082,0.151,0.138,-0.109,0.985
1740777398092,2025-02-28T22.16.38.092,0.161,0.106,-0.104,0.931
1740777398101,2025-02-28T22.16.38.101,0.170,0.100,-0.091,0.944
1740777398111,2025-02-28T22.16.38.111,0.180,0.104,-0.102,0.952
1740777398121,2025-02-28T22.16.38.121,0.190,0.100,-0.099,0.942
1740777398131,2025-02-28T22.16.38.131,0.200,0.102,-0.097,0.946
1740777398142,2025-02-28T22.16.38.142,0.211,0.107,-0.101,0.954
1740777398152,2025-02-28T22.16.38.152,0.221,0.113,-0.106,0.964
1740777398161,2025-02-28T22.16.38.161,0.230,0.125,-0.112,0.977
1740777398171,2025-02-28T22.16.38.171,0.240,0.126,-0.109,0.981
1740777398181,2025-02-28T22.16.38.181,0.250,0.127,-0.095,0.973
1740777398191,2025-02-28T22.16.38.191,0.260,0.133,-0.087,0.972
1740777398202,2025-02-28T22.16.38.202,0.271,0.135,-0.083,0.970
1740777398212,2025-02-28T22.16.38.212,0.281,0.135,-0.077,0.962
1740777398222,2025-02-28T22.16.38.222,0.291,0.139,-0.080,0.961
1740777398231,2025-02-28T22.16.38.231,0.300,0.135,-0.085,0.962
1740777398241,2025-02-28T22.16.38.241,0.310,0.125,-0.093,0.958
1740777398252,2025-02-28T22.16.38.252,0.321,0.125,-0.102,0.960
1740777398262,2025-02-28T22.16.38.262,0.331,0.128,-0.099,0.951
1740777398272,2025-02-28T22.16.38.272,0.341,0.135,-0.102,0.956
1740777398282,2025-02-28T22.16.38.282,0.351,0.135,-0.099,0.962
1740777398293,2025-02-28T22.16.38.293,0.362,0.133,-0.090,0.954
1740777398301,2025-02-28T22.16.38.301,0.370,0.123,-0.085,0.944
1740777398312,2025-02-28T22.16.38.312,0.381,0.114,-0.082,0.936
1740777398322,2025-02-28T22.16.38.322,0.391,0.105,-0.083,0.934
1740777398332,2025-02-28T22.16.38.332,0.401,0.100,-0.087,0.932
1740777398342,2025-02-28T22.16.38.342,0.411,0.102,-0.093,0.945
1740777398353,2025-02-28T22.16.38.353,0.422,0.110,-0.098,0.954
1740777398361,2025-02-28T22.16.38.361,0.430,0.124,-0.103,0.964
1740777398372,2025-02-28T22.16.38.372,0.441,0.134,-0.102,0.976
1740777398382,2025-02-28T22.16.38.382,0.451,0.135,-0.092,0.970
1740777398392,2025-02-28T22.16.38.392,0.461,0.131,-0.085,0.963
1740777398402,2025-02-28T22.16.38.402,0.471,0.120,-0.083,0.956
1740777398413,2025-02-28T22.16.38.413,0.482,0.108,-0.084,0.951
1740777398423,2025-02-28T22.16.38.423,0.492,0.099,-0.086,0.950
1740777398432,2025-02-28T22.16.38.432,0.501,0.103,-0.089,0.954
