epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1740777397951,2025-02-28T22.16.37.951,0.000,-4.756,4.817,1.280
1740777397960,2025-02-28T22.16.37.960,0.009,-5.000,5.305,1.341
1740777397970,2025-02-28T22.16.37.970,0.019,-5.976,5.976,1.646
1740777397981,2025-02-28T22.16.37.981,0.030,-7.683,6.463,1.524
1740777397991,2025-02-28T22.16.37.991,0.040,-8.110,7.073,3.354
1740777398001,2025-02-28T22.16.38.001,0.050,-20.610,6.098,7.073
1740777398011,2025-02-28T22.16.38.011,0.060,-33.841,3.780,8.476
1740777398022,2025-02-28T22.16.38.022,0.071,-11.037,5.183,5.854
1740777398030,2025-02-28T22.16.38.030,0.079,-0.976,5.305,3.720
1740777398041,2025-02-28T22.16.38.041,0.090,-4.390,3.841,1.280
1740777398051,2025-02-28T22.16.38.051,0.100,-2.012,3.841,0.610
1740777398061,2025-02-28T22.16.38.061,0.110,0.793,4.695,2.195
1740777398071,2025-02-28T22.16.38.071,0.120,0.000,4.817,1.341
1740777398082,2025-02-28T22.16.38.082,0.131,-3.354,4.085,-0.488
1740777398092,2025-02-28T22.16.38.092,0.141,-7.317,2.744,-0.488
1740777398101,2025-02-28T22.16.38.101,0.150,1.524,3.659,-3.354
1740777398111,2025-02-28T22.16.38.111,0.160,2.500,3.537,-3.963
1740777398121,2025-02-28T22.16.38.121,0.170,-0.366,3.049,-0.854
1740777398131,2025-02-28T22.16.38.131,0.180,-0.183,3.902,0.549
1740777398142,2025-02-28T22.16.38.142,0.191,-0.793,3.110,-0.305
1740777398152,2025-02-28T22.16.38.152,0.201,-0.061,2.378,-1.280
1740777398161,2025-02-28T22.16.38.161,0.210,3.171,3.476,-0.854
1740777398171,2025-02-28T22.16.38.171,0.220,3.415,3.537,-0.366
1740777398181,2025-02-28T22.16.38.181,0.230,2.622,2.805,-1.951
1740777398191,2025-02-28T22.16.38.191,0.240,2.927,2.561,-3.110
1740777398202,2025-02-28T22.16.38.202,0.251,2.378,3.110,-2.134
1740777398212,2025-02-28T22.16.38.212,0.261,0.671,4.146,-0.976
1740777398222,2025-02-28T22.16.38.222,0.271,-0.488,5.244,-1.341
1740777398231,2025-02-28T22.16.38.231,0.280,-1.768,5.244,-0.854
1740777398241,2025-02-28T22.16.38.241,0.290,-2.439,4.207,-1.220
1740777398252,2025-02-28T22.16.38.252,0.301,-1.037,3.841,-2.378
1740777398262,2025-02-28T22.16.38.262,0.311,0.854,3.293,-2.744
1740777398272,2025-02-28T22.16.38.272,0.321,4.329,3.232,-2.683
1740777398282,2025-02-28T22.16.38.282,0.331,4.573,4.024,-2.500
1740777398293,2025-02-28T22.16.38.293,0.342,3.476,4.146,-2.683
1740777398301,2025-02-28T22.16.38.301,0.350,4.146,4.451,-2.012
1740777398312,2025-02-28T22.16.38.312,0.361,2.927,4.329,-2.134
1740777398322,2025-02-28T22.16.38.322,0.371,0.793,3.720,-2.134
1740777398332,2025-02-28T22.16.38.332,0.381,-0.610,3.171,0.183
1740777398342,2025-02-28T22.16.38.342,0.391,-0.671,2.500,1.220
