Timestamp,Acc x (g),Acc y (g),Acc z (g),Gyro x (deg/s),Gyro y (deg/s),Gyro z (deg/s),Beccheggio/Pitch (deg/s),Rollio/Roll (deg/s),Imbardata/Yaw (deg/s),Mag x (microTesla),Mag y (microTesla),Mag z (microTesla),Pressione (milliBar),Altitudine (m)
0.0,0.171,-0.168,0.948,1.646,4.329,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.166,-0.164,0.947,1.402,3.902,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.163,-0.15,0.941,2.439,3.537,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.031,0.16266666666666668,-0.15333333333333332,0.943,4.024,4.451,-0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.16233333333333333,-0.15666666666666668,0.945,3.902,5.427,-0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.162,-0.16,0.947,4.512,5.854,-0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.171,-0.161,0.935,6.524,7.073,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.167,-0.154,0.928,8.049,7.256,-0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.081,0.168,-0.153,0.94,7.683,5.915,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.091,0.169,-0.152,0.952,6.768,5.305,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.101,0.171,-0.153,0.954,4.207,3.72,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.1695,-0.1545,0.959,1.098,0.793,1.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.168,-0.156,0.964,0.671,0.915,2.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.162,-0.16,0.963,1.768,1.585,3.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.141,0.165,-0.1575,0.967,2.805,3.902,5.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.151,0.168,-0.155,0.971,3.78,6.951,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.161,0.165,-0.149,0.966,3.598,8.963,6.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.171,0.158,-0.154,0.964,3.415,9.329,7.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.1535,-0.14450000000000002,0.9604999999999999,3.049,9.329,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.149,-0.135,0.957,2.134,8.415,5.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.201,0.14350000000000002,-0.1335,0.962,-1.768,4.024,5.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.211,0.138,-0.132,0.967,-6.159,0.427,5.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.221,0.144,-0.145,0.957,-6.89,0.671,4.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.231,0.151,-0.153,0.944,-4.329,2.195,5.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.15,-0.147,0.948,-2.744,3.232,5.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.149,-0.141,0.952,-3.049,3.171,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.261,0.1515,-0.1405,0.951,-3.171,2.744,3.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.271,0.154,-0.14,0.95,-1.037,2.927,1.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.281,0.146,-0.141,0.927,2.866,2.622,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.291,0.145,-0.138,0.939,3.415,2.317,-1.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.302,0.1465,-0.14175000000000001,0.94275,1.341,0.854,-2.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31,0.148,-0.14550000000000002,0.9464999999999999,-0.549,-0.732,-1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.321,0.1495,-0.14925,0.9502499999999999,-2.134,-0.854,-1.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.331,0.151,-0.153,0.954,-2.5,-0.61,-0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.341,0.151,-0.153,0.953,-1.585,-0.915,-0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.352,0.151,-0.14650000000000002,0.9564999999999999,-0.305,-1.28,-0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.362,0.151,-0.14,0.96,-1.341,-0.976,-0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.372,0.157,-0.156,0.971,-2.012,0.915,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.381,0.153,-0.1575,0.9624999999999999,-1.951,1.159,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.391,0.149,-0.159,0.954,-1.768,0.183,1.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.401,0.148,-0.147,0.952,-1.524,0.366,1.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.412,0.145,-0.1445,0.95,-1.89,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.422,0.142,-0.142,0.948,-1.524,-1.28,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.432,0.14,-0.14,0.952,-1.768,-1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.442,0.153,-0.141,0.972,-4.512,-1.951,0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.451,0.152,-0.15,0.9784999999999999,-7.378,-2.744,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.461,0.151,-0.159,0.985,-9.573,-3.72,1.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.472,0.154,-0.1625,0.974,-7.866,-0.976,2.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.482,0.157,-0.166,0.963,-4.939,1.159,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.492,0.155,-0.157,0.957,-4.207,1.951,2.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.502,0.148,-0.154,0.958,-3.963,1.463,2.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.511,0.15,-0.1535,0.9555,-4.268,0.793,1.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.521,0.152,-0.153,0.953,-4.878,1.341,1.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.532,0.153,-0.161,0.9544999999999999,-4.207,3.049,2.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.542,0.154,-0.169,0.956,-3.78,4.024,2.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.552,0.15,-0.165,0.958,-5.732,2.988,3.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.562,0.142,-0.157,0.955,-7.317,1.037,2.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.573,0.143,-0.15925,0.95025,-7.256,0.549,1.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.581,0.144,-0.1615,0.9455,-4.573,1.22,1.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.592,0.145,-0.16375,0.94075,-1.707,1.829,0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.602,0.146,-0.166,0.936,0.549,1.768,-0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.612,0.147,-0.167,0.939,2.988,2.378,-1.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.623,0.1505,-0.167,0.946,4.024,3.415,-1.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.633,0.154,-0.167,0.953,3.902,3.902,-1.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.643,0.148,-0.176,0.954,4.817,3.72,-1.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.652,0.14350000000000002,-0.16099999999999998,0.952,4.329,2.744,-1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.662,0.139,-0.146,0.95,1.524,-0.549,-3.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.672,0.126,-0.134,0.939,-1.341,-5.976,-6.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.683,0.1375,-0.14350000000000002,0.9455,-3.171,-9.573,-10.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.693,0.149,-0.153,0.952,1.829,-8.598,-12.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.703,0.163,-0.177,0.961,8.354,-4.939,-10.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.713,0.17,-0.176,0.964,8.232,-2.561,-8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.722,0.17,-0.174,0.9604999999999999,5.122,-2.927,-6.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.732,0.17,-0.172,0.957,2.988,-2.317,-4.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.743,0.169,-0.17049999999999998,0.9524999999999999,2.561,-0.244,-3.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.753,0.168,-0.169,0.948,2.988,0.061,-2.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.763,0.167,-0.162,0.946,3.354,-0.61,-1.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
