Timestamp,Acc x (g),Acc y (g),Acc z (g),Gyro x (deg/s),Gyro y (deg/s),Gyro z (deg/s),Beccheggio/Pitch (deg/s),Rollio/Roll (deg/s),Imbardata/Yaw (deg/s),Mag x (microTesla),Mag y (microTesla),Mag z (microTesla),Pressione (milliBar),Altitudine (m)
0.0,0.266,-0.131,0.938,0.0,1.28,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.266,-0.131,0.946,0.122,1.22,-0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019,0.0,0.0,0.0,0.061,0.854,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.267,-0.132,0.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.029,0.268,-0.131,0.941,-0.061,0.915,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.039,0.268,-0.13,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.061,0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.267,-0.13,0.941,0.0,0.854,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.266,-0.131,0.946,-0.122,0.976,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.266,-0.131,0.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.071,0.0,0.0,0.0,0.0,0.915,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.081,0.268,-0.131,0.943,0.061,0.976,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.089,0.268,-0.129,0.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.0,0.061,0.915,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.268,-0.129,0.941,0.061,0.915,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.266,-0.131,0.94,0.0,0.915,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.268,-0.131,0.946,0.0,0.915,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.266,-0.131,0.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.131,0.0,0.0,0.0,0.0,0.976,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.141,0.269,-0.131,0.944,-0.061,0.976,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,-0.122,0.732,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.151,0.268,-0.13,0.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.265,-0.13,0.943,-0.061,0.854,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.267,-0.13,0.942,-0.061,0.854,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.266,-0.132,0.942,-0.122,0.854,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.269,-0.13,0.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
