Timestamp,Acc x (g),Acc y (g),Acc z (g),Gyro x (deg/s),Gyro y (deg/s),Gyro z (deg/s),Beccheggio/Pitch (deg/s),Rollio/Roll (deg/s),Imbardata/Yaw (deg/s),Mag x (microTesla),Mag y (microTesla),Mag z (microTesla),Pressione (milliBar),Altitudine (m)
0.0,0.208,0.896,0.137,-0.122,-1.585,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.215,0.901,0.136,-0.427,-1.463,-0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.219,0.895,0.138,-0.183,-1.463,-0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.031,0.2195,0.897,0.1385,-0.061,-1.22,-0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.041,0.22,0.899,0.139,0.0,-1.28,-0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.217,0.9005000000000001,0.139,0.061,-1.22,-0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.214,0.902,0.139,0.061,-1.159,-0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.213,0.904,0.132,0.122,-0.976,-0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.212,0.907,0.13,0.122,-0.854,-0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.091,0.2135,0.9075,0.1315,0.122,-0.854,-0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.101,0.215,0.908,0.133,0.244,-0.915,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.111,0.216,0.904,0.134,0.305,-0.915,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.2175,0.901,0.135,0.366,-0.793,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.219,0.898,0.136,0.488,-0.488,-0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.222,0.897,0.138,0.549,-0.549,-0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.151,0.2195,0.8985000000000001,0.138,0.427,-0.732,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.161,0.217,0.9,0.138,0.244,-0.976,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.171,0.217,0.901,0.138,0.183,-0.854,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.181,0.218,0.904,0.133,0.061,-0.366,-0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.2185,0.9045000000000001,0.1355,0.061,0.183,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.219,0.905,0.138,0.061,0.488,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.211,0.222,0.902,0.139,-0.122,0.488,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.221,0.225,0.899,0.14,-0.366,0.061,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.231,0.227,0.896,0.14,-0.244,-0.244,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.242,0.2215,0.897,0.1395,-0.183,-0.305,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.252,0.216,0.898,0.139,-0.061,-0.122,0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.261,0.2155,0.901,0.138,-0.061,0.122,0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.271,0.215,0.904,0.137,-0.122,0.366,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.281,0.213,0.905,0.132,-0.305,0.549,0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.291,0.218,0.902,0.128,-0.549,0.61,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.302,0.2165,0.907,0.1335,-0.305,0.793,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.312,0.215,0.912,0.139,0.183,0.915,1.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.321,0.213,0.908,0.136,0.0,0.549,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.331,0.211,0.904,0.133,-0.244,0.366,0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.341,0.215,0.903,0.132,-0.122,0.549,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.351,0.214,0.902,0.136,0.183,0.732,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.362,0.215,0.9035,0.135,0.0,0.976,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.372,0.216,0.905,0.134,-0.122,1.159,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.382,0.222,0.903,0.132,-0.061,1.463,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.391,0.2205,0.905,0.133,-0.122,1.524,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.401,0.219,0.907,0.134,-0.183,1.402,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.411,0.215,0.909,0.132,0.0,1.341,0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.422,0.2155,0.9075,0.133,0.183,1.524,0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.432,0.216,0.906,0.134,0.244,1.951,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.442,0.215,0.903,0.135,0.122,2.195,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.452,0.218,0.903,0.137,-0.061,2.439,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.461,0.2205,0.902,0.1365,-0.061,2.561,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.471,0.223,0.901,0.136,-0.061,2.5,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.482,0.2255,0.9025000000000001,0.1375,0.0,2.256,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.492,0.228,0.904,0.139,0.122,1.951,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
