Timestamp,Acc x (g),Acc y (g),Acc z (g),Gyro x (deg/s),Gyro y (deg/s),Gyro z (deg/s),Beccheggio/Pitch (deg/s),Rollio/Roll (deg/s),Imbardata/Yaw (deg/s),Mag x (microTesla),Mag y (microTesla),Mag z (microTesla),Pressione (milliBar),Altitudine (m)
0.0,0.215,-0.233,0.964,4.878,1.951,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.222,-0.237,0.972,4.329,1.951,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.21933333333333332,-0.239,0.9713333333333333,3.963,3.232,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.21666666666666667,-0.241,0.9706666666666667,3.72,5.122,1.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.041,0.214,-0.243,0.97,3.902,6.707,2.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049,0.21266666666666667,-0.238,0.9583333333333334,5.366,6.768,4.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.21133333333333332,-0.233,0.9466666666666667,8.537,7.988,5.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.21,-0.228,0.935,12.195,9.451,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.2085,-0.218,0.931,12.744,8.415,5.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.091,0.207,-0.208,0.927,11.098,7.134,5.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.101,0.204,-0.2,0.933,9.207,7.256,4.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.111,0.2034,-0.19640000000000002,0.934,5.854,7.073,3.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.2028,-0.1928,0.935,0.976,5.732,2.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.2022,-0.1892,0.9359999999999999,-1.829,5.244,2.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.2016,-0.1856,0.9369999999999999,-1.829,5.915,1.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.151,0.201,-0.182,0.938,-0.732,5.854,1.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.161,0.196,-0.174,0.928,0.976,4.878,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.171,0.19920000000000002,-0.1754,0.9364,3.598,3.659,-1.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.181,0.2024,-0.17679999999999998,0.9448,3.841,2.134,-3.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.2056,-0.1782,0.9532,1.159,0.854,-5.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.20879999999999999,-0.17959999999999998,0.9616,-1.951,0.061,-6.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.211,0.212,-0.181,0.97,-4.634,0.0,-6.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.221,0.222,-0.195,0.975,-5.366,0.488,-5.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.231,0.22466666666666668,-0.20333333333333334,0.9733333333333333,-4.512,1.585,-4.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.241,0.22733333333333333,-0.21166666666666667,0.9716666666666667,-3.963,2.744,-4.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.252,0.23,-0.22,0.97,-4.329,2.195,-4.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.22766666666666668,-0.223,0.9646666666666667,-2.988,2.317,-4.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.271,0.22533333333333333,-0.226,0.9593333333333333,0.671,3.902,-4.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.281,0.223,-0.229,0.954,2.561,4.451,-4.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.291,0.218,-0.23033333333333333,0.9503333333333333,3.537,3.72,-3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.301,0.213,-0.2316666666666667,0.9466666666666667,5.0,2.378,-3.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.312,0.208,-0.233,0.943,5.122,1.646,-4.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.20633333333333334,-0.22933333333333333,0.947,4.817,0.61,-5.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.331,0.20466666666666666,-0.22566666666666668,0.951,5.854,0.427,-5.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.341,0.203,-0.222,0.955,6.341,2.683,-4.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.351,0.20633333333333334,-0.229,0.9616666666666667,6.341,5.122,-3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.361,0.20966666666666667,-0.236,0.9683333333333333,5.0,7.988,-2.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.372,0.213,-0.243,0.975,3.476,9.817,-0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.382,0.213,-0.239,0.969,2.317,9.939,-0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.391,0.20675,-0.235,0.9592499999999999,-0.061,7.805,-0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.401,0.2005,-0.23099999999999998,0.9495,-3.963,3.598,-0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.411,0.19425,-0.227,0.9397500000000001,-5.427,1.402,-0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.422,0.188,-0.223,0.93,-3.293,0.183,-0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.432,0.191,-0.229,0.921,0.793,0.061,-0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.442,0.1936,-0.2278,0.9296,5.061,2.378,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.452,0.19619999999999999,-0.2266,0.9382,6.463,3.963,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.461,0.1988,-0.22540000000000002,0.9468,4.39,4.207,0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.471,0.2014,-0.2242,0.9554,0.427,3.11,1.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.482,0.204,-0.223,0.964,-1.768,2.073,2.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.492,0.207,-0.229,0.957,-0.549,1.463,3.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.502,0.20066666666666666,-0.222,0.94,1.463,0.244,3.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.512,0.19433333333333333,-0.215,0.923,3.598,-0.976,3.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.523,0.188,-0.208,0.906,5.061,-0.122,2.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.531,0.1895,-0.203,0.9115,5.244,2.012,2.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.542,0.191,-0.198,0.917,3.537,2.317,3.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
