time;seconds_elapsed;z;y;x;;delta_time
1,74E+18;0,028528809;0,086101828;0,083675067;0,127935749;;0,010069092
1,74E+18;0,0385979;0,073380878;0,09655834;0,033508338;;0,010068848
1,74E+18;0,048666748;-0,036306408;0,052247302;-0,043432771;;0,010068115
1,74E+18;0,058734863;-0,145543612;-0,01043257;-0,081798231;;0,010068848
1,74E+18;0,068803711;-0,178912214;-0,053836777;-0,090737068;;0,010069092
1,74E+18;0,078872803;-0,152124744;-0,034339081;-0,073005446;;0,010067871
1,74E+18;0,088940674;-0,027474282;0,007921253;-0,036562168;;0,010069336
1,74E+18;0,09901001;0,056025839;0,043959613;0,019042451;;0,010068604
1,74E+18;0,109078613;0,068297876;0,058135465;0,075649133;;0,010068115
1,74E+18;0,119146729;0,046602177;0,043165512;0,10422239;;0,010069092
1,74E+18;0,12921582;-0,039290977;0,036233398;0,068937945;;0,010069092
1,74E+18;0,139284912;-0,096454295;0,005490848;-0,009338621;;0,010067627
1,74E+18;0,149352539;0,066350833;-0,0433162;-0,044848876;;0,010069336
1,74E+18;0,159421875;-0,009216157;-0,121611916;0,000384168;;0,010069092
1,74E+18;0,169490967;0,001706804;-0,179243546;0,080296183;;0,010067871
1,74E+18;0,179558838;0,116777537;-0,16796421;0,11780761;;0,010069092
1,74E+18;0,18962793;0,017117724;-0,089526998;0,071781654;;0,010069092
1,74E+18;0,199697021;0,035073651;0,010233828;0,003778304;;0,010067871
1,74E+18;0,209764893;0,022504093;0,06369672;-0,034126313;;0,010068848
1,74E+18;0,21983374;-0,121149176;0,088331943;-0,051620151;;0,010069336
1,74E+18;0,229903076;-0,103941436;0,100706162;-0,047879069;;0,010067871
1,74E+18;0,239970947;-0,037352702;0,121613926;-0,042826394;;0,010068848
1,74E+18;0,250039795;-0,044236617;0,11126344;-0,022757013;;0,010069092
1,74E+18;0,260108887;0,03252689;0,081808752;0,017266589;;0,010068115
1,74E+18;0,270177002;0,067692896;0,023048566;0,054128152;;0,010068848
1,74E+18;0,28024585;-0,008920973;-0,020796846;0,058282586;;0,010069092
1,74E+18;0,290314941;0,034324879;-0,028608693;0,025467929;;0,010067871
1,74E+18;0,300382813;0,002602876;-0,008784789;-0,006371645;;0,010069092
1,74E+18;0,310451904;-0,052763037;0,003035089;-0,0260812;;0,010069092
1,74E+18;0,320520996;-0,043335868;-0,016829604;-0,013710418;;0,010067871
1,74E+18;0,330588867;-0,039744566;-0,052331925;0,02011209;;0,010069092
1,74E+18;0,340657959;0,009933365;-0,088459113;0,047182059;;0,010068848
1,74E+18;0,350726807;0,011280688;-0,100733653;0,046021966;;0,010068359
1,74E+18;0,360795166;-0,042289574;-0,105839397;0,014278568;;0,010068604
1,74E+18;0,37086377;-0,082391867;-0,077399311;-0,02433508;;0,010069092
1,74E+18;0,380932861;-0,086880411;-0,038748134;-0,054125576;;0,010068115
1,74E+18;0,391000977;0,010087094;0,003201577;-0,034437274;;0,010068848
1,74E+18;0,401069824;0,04809563;0,037452806;0,022607788;;0,010069092
1,74E+18;0,411138916;0,128899352;0,054329908;0,092484807;;0,010068115
1,74E+18;0,421207031;0,098521749;0,080376071;0,119206983;;0,010068604
1,74E+18;0,431275635;0,071135145;0,093300288;0,074150821;;0,010069336
1,74E+18;0,441344971;0,016963994;0,07448383;0,022762417;;0,010067871
1,74E+18;0,451412842;-0,035111645;0,022817629;-0,02314069;;0,010068848
1,74E+18;0,461481689;-0,119658061;0,001988982;-0,059572201;;0,010069336
1,74E+18;0,471551025;-0,099006318;0,008239347;-0,076597429;;0,010067871
1,74E+18;0,481618896;-0,038401335;0,03443449;-0,057844633;;0,010069092
1,74E+18;0,491687988;-0,010566402;0,044497354;-0,013563938;;0,010068848
1,74E+18;0,501756836;0,04824293;0,02552877;0,044696521;;0,010068115
1,74E+18;0,511824951;0,065151979;0,012767127;0,077395648;;0,010068848
1,74E+18;0,521893799;-0,009366963;0,001644991;0,066941968;;0,010069092
1,74E+18;0,531962891;-0,050666942;-0,009884667;0,012746504;;0,010067871
1,74E+18;0,542030762;0,016069091;-0,057924069;-0,011895518;;0,01006958
1,74E+18;0,552100342;0,044199207;-0,113389867;-0,003766903;;0,010068848
1,74E+18;0,562169189;-0,011765841;-0,149955291;0,041837378;;0,010068359
1,74E+18;0,572237549;0,022650223;-0,133000987;0,066649058;;0,010068604
1,74E+18;0,582306152;0,008285013;-0,087163466;0,062867622;;0,010069336
1,74E+18;0,592375488;0,00125263;-0,021727231;0,017654111;;0,010067871
1,74E+18;0,602443359;0,052577744;0,050716891;-0,016547723;;0,010068848
1,74E+18;0,612512207;0,007087912;0,088655412;-0,016496779;;0,010069336
1,74E+18;0,622581543;-0,040049102;0,111863808;-0,024542663;;0,010067871
1,74E+18;0,632649414;-0,019698388;0,125692847;-0,014377485;;0,010069092
1,74E+18;0,642718506;-0,028527591;0,118613739;0,003857301;;0,010068848
1,74E+18;0,652787354;-0,001595745;0,090977435;0,015991016;;0,010068115
1,74E+18;0,662855469;0,029977205;0,043723164;0,013860455;;0,010069092
1,74E+18;0,672924561;-0,025239071;0,005154757;0,005919581;;0,010068848
1,74E+18;0,682993408;-0,005187047;-0,027226952;-0,011728386;;0,010067871
1,74E+18;0,693061279;0,007232289;-0,052835098;0,000349578;;0,010069336
1,74E+18;0,703130615;-0,014762685;-0,048408509;0,014285923;;0,010068604
1,74E+18;0,713199219;-0,016257892;-0,035868898;0,02197534;;0,010068115
1,74E+18;0,723267334;0,022049919;-0,028283416;0,039283296;;0,010069092
1,74E+18;0,733336426;0,021152094;-0,031096761;0,03300009;;0,010068848
1,74E+18;0,743405273;-0,043491351;-0,049288489;0,020307606;;0,010068115
1,74E+18;0,753473389;0,009480361;-0,055360036;-0,002312688;;0,010069092
1,74E+18;0,76354248;-0,071323946;-0,046573563;-0,012732268;;0,010068604
1,74E+18;0,773611084;0,000950433;-0,033578714;0,013220081;;0,010068359
1,74E+18;0,783679443;0,16914193;-0,027637917;0,058424095;;0,010069092
1,74E+18;0,793748535;0,083398999;-0,021509944;0,094732759;;0,010068848
1,74E+18;0,803817383;0,035962125;0,006538329;0,083494933;;0,010068115
1,74E+18;0,813885498;0,062446812;0,053661754;0,027298627;;0,010068848
1,74E+18;0,823954346;-0,020305121;0,071771571;-0,039041427;;0,010069092
1,74E+18;0,834023438;-0,074176412;0,083963391;-0,081268215;;0,010067871
1,74E+18;0,844091309;-0,097370241;0,067990673;-0,089561312;;0,010069092
1,74E+18;0,8541604;-0,119665075;0,065892445;-0,062068114;;0,010068848
1,74E+18;0,864229248;-0,032574236;0,05494514;-0,033866052;;0,010068115
1,74E+18;0,874297363;0,073819269;0,044760873;0,015070152;;0,010069092
1,74E+18;0,884366455;0,072474285;0,028694942;0,063861766;;0,010068848
1,74E+18;0,894435303;0,077114219;0,002217799;0,088213322;;0,010067871
1,74E+18;0,904503174;0,039404959;-0,021045898;0,073113642;;0,010069336
1,74E+18;0,91457251;-0,020151977;-0,038658657;0,032718834;;0,010068604
1,74E+18;0,924641113;-0,073121935;-0,0384999;-0,022139385;;0,010068115
1,74E+18;0,934709229;-0,043943187;-0,045272312;-0,047404803;;0,010069092
1,74E+18;0,94477832;-0,008180384;-0,064366436;-0,028223772;;0,010069092
1,74E+18;0,954847412;0,006484686;-0,099477515;0,039454725;;0,010067871
1,74E+18;0,964915283;0,052721536;-0,124885659;0,112059203;;0,010069092
1,74E+18;0,974984375;0,103596568;-0,092169202;0,124781322;;0,010069092
